epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,419.803560384,0.01,9.9554360946,159.306170758,201.209915161,8.96037054062,86.5383529663
1,175.738242594,0.01,6.78482546806,91.9426061081,77.9906272888,3.47358798981,18.315818578
2,124.2281751,0.01,7.09768994649,72.6046634677,49.7975273132,2.50000047684,6.37264060974
3,120.895278676,0.01,7.47483736674,77.863812542,51.8803710938,2.49999952316,8.84665998816
4,109.918290202,0.01,7.06827157338,69.02896746,50.7235660553,2.50000047684,7.57009536028
5,109.661396535,0.01,7.28261909485,69.7971643766,47.7331066132,2.49999952316,6.92689085007
6,109.345080566,0.01,7.11230697632,69.1645838579,48.591337204,2.50000095367,8.91050377488
7,110.340764872,0.01,7.14303448995,70.6391016801,48.0383071899,2.49999904633,7.87232559919
8,108.838494873,0.01,7.12189375559,69.0982194265,49.7272434235,2.49999904633,8.65353044868
9,112.325004832,0.01,6.90613021851,72.5087602456,52.0205154419,2.5805888176,12.9094409735
10,107.977561442,0.01,6.81062157949,68.5027616103,47.1449756622,2.50000143051,7.95180475712
11,108.998235575,0.01,7.17157166799,69.436553669,48.8051719666,2.49999904633,8.01611852646
12,109.68138326,0.01,7.31083386739,69.9474252065,48.8589916229,2.50000238419,6.57867693901
13,110.393685659,0.01,7.34470163981,70.862371858,50.3326950073,2.50000476837,8.85038021207
14,109.883107249,0.01,7.02742328644,69.8236419837,48.0334396362,2.49999475479,9.075799793
15,110.193425496,0.01,7.03714192708,70.5892416795,47.9145126343,2.49998807907,8.9642804265
16,110.523360952,0.01,6.9942533493,71.1665876389,50.8288478851,2.5000128746,10.7351465374
17,95.2888451894,0.005,6.93580951691,68.8141229391,28.3276090622,2.50000095367,8.22018539906
18,88.957244873,0.005,7.0391427358,69.2677450021,28.1129713058,2.49999952316,8.57281109691
19,90.0575843811,0.005,7.3888888677,72.153852272,24.2144107819,2.50000238419,7.13986253738
20,87.1968900045,0.005,7.139417394,69.75173165,25.4716291428,2.49999809265,8.01242214441
21,87.320267868,0.005,7.2119919459,70.1358446439,24.4620923996,2.49999904633,7.29132258892
22,85.9208611806,0.005,7.1428937912,68.6890336672,26.1544389725,2.5000038147,8.0254470706
23,85.4297302246,0.005,6.98711535136,68.2369425138,26.2231025696,2.49993801117,9.32608747482
24,85.8411749522,0.005,6.90626818339,68.6414784273,27.0699272156,2.50001478195,9.74308107793
25,86.1847979228,0.005,6.92327302297,68.9886336962,26.4088077545,2.49997997284,8.83919239044
26,80.7349948247,0.0025,6.99548581441,68.4064570268,19.5147008896,2.50000333786,8.53124177456
27,78.2962052663,0.0025,7.00473829905,68.4757537047,18.5094666481,2.49999904633,8.50831130147
28,77.458570989,0.0025,7.02401078542,68.5333355904,17.1002812386,2.50000858307,8.20863223076
29,77.5265879313,0.0025,7.07524445852,68.8819124858,17.5599532127,2.50000572205,8.74662709236
30,76.8682905197,0.0025,6.99543806712,68.3640837193,17.0805025101,2.49999713898,8.44027417898
