epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,169.607739385,0.01,10.0307531118,163.871732932,88.8734455109,9.00652313232,87.3676300049
1,92.8856559594,0.01,7.30193983714,91.9831062794,18.4079834223,3.43443584442,18.0453546643
2,80.1741923332,0.01,7.66521288554,79.9730161349,6.43011856079,2.5,6.34730243683
3,69.4079165459,0.01,7.3263174057,69.3636700948,7.35246145725,2.5,7.33476817608
4,69.0908727646,0.01,7.18885784149,69.0811045329,8.86535456777,2.5,8.86138254404
5,72.4797129949,0.01,6.91534531911,72.4775981704,14.0126424544,2.7859992981,14.0117916577
6,68.8967112223,0.01,6.80734806061,68.8962559303,8.60749977827,2.5,8.6073192656
7,69.7313612302,0.01,7.16334031423,69.7312660535,7.73271644115,2.5,7.73267734051
8,73.7925256968,0.01,7.10598246257,73.7925067504,11.2387321852,2.5,11.238724187
9,68.4966126283,0.005,6.86689427694,68.4966109276,8.30337709188,2.5,8.303376019
10,75.0106513341,0.005,7.65680529277,75.0106512705,6.5783149004,2.5,6.57831478119
11,72.4923432986,0.005,7.21225846608,72.4923432986,9.88117522001,2.5,9.88117519021
12,69.2253678958,0.005,6.95195147196,69.2253678958,8.27854150534,2.5,8.27854150534
13,69.8215632439,0.005,7.15768413544,69.8215632439,7.99033540487,2.5,7.99033540487
14,68.6650764465,0.0025,7.05950857798,68.6650764465,8.40560227633,2.5,8.40560227633
15,69.1581121127,0.0025,7.08770631154,69.1581121127,7.88638317585,2.5,7.88638317585
16,68.7944817861,0.0025,7.04268169403,68.7944817861,8.84612643719,2.5,8.84612643719
17,69.7669190248,0.0025,6.95148868561,69.7669190248,9.89772044122,2.5,9.89772044122
18,69.2392031988,0.0025,6.95690453847,69.2392031988,8.24831318855,2.5,8.24831318855
19,68.5754716873,0.00125,7.05120588938,68.5754716873,8.00258815289,2.5,8.00258815289
20,68.9164645831,0.00125,7.10205078125,68.9164645831,7.74716967344,2.5,7.74716967344
21,68.3980050405,0.00125,7.07872009277,68.3980050405,8.06522375345,2.5,8.06522375345
22,68.702362442,0.00125,7.04729003906,68.702362442,8.41330713034,2.5,8.41330713034
