epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,216.878229268,0.01,9.73465811412,126.083374453,122.682460785,8.82535839081,84.1369533539
1,88.0534350077,0.01,6.71018813451,63.074373859,26.1203269958,2.5,10.0635796636
2,42.7323326747,0.01,4.59104391734,30.3247356256,17.1610608101,2.5,7.84376353025
3,39.9175965627,0.01,4.51513957977,31.263823838,15.2065672874,2.5,6.88226318359
4,41.6715476036,0.01,4.92077503204,33.9033103863,17.9665226936,2.5,10.1109668463
5,40.1306986491,0.01,4.787510554,32.6933270017,16.33897686,2.5,8.74280026555
6,39.212661012,0.01,4.66958897909,31.7249215742,16.8328838348,2.5,9.41593775153
7,38.3212301254,0.01,4.63742656708,30.9465563059,15.9969611168,2.5,8.46517390013
8,38.346401151,0.01,4.64750766754,30.9016793807,16.4725484848,2.5,8.92810881138
9,38.1965178808,0.01,4.64668382009,30.8187394659,15.4102396965,2.5,8.02889353037
10,35.8850063324,0.005,4.60342795054,30.8622674942,13.0557384491,2.5,9.03175118566
11,35.0439577103,0.005,4.66334883372,31.3566259146,12.1942555904,2.5,8.50704085827
12,33.9849426905,0.005,4.62064647675,30.5535123348,12.62604177,2.5,9.27362760901
13,34.3015398343,0.005,4.62592283885,30.9881463329,11.363612175,2.5,8.08422553539
14,34.3946341832,0.005,4.66026515961,31.1137992303,13.2160381079,2.5,9.89348836243
15,36.0831459681,0.005,4.76853307088,32.797232462,13.7983087301,2.5,10.4337069243
16,34.2156819026,0.005,4.62307332357,30.9227202892,10.890805006,2.5,7.60889220238
17,34.6269556204,0.005,4.63834673564,31.3689468781,10.6746346951,2.5,7.31548392773
18,34.3038434029,0.005,4.61276874542,31.0284833729,11.3659963608,2.5,8.00148755312
19,33.5367846489,0.005,4.61799793243,30.2252801776,12.9164592028,2.5,9.57127034664
20,35.0380468527,0.005,4.68203099569,31.7753697912,11.5866737366,2.5,8.21385669708
21,34.5210937182,0.005,4.74560178121,31.2379724463,14.1115309,2.5,10.8551643416
22,34.9639348666,0.005,4.72192490896,31.6942832748,13.4716815948,2.5,10.2053596228
23,34.3433088462,0.005,4.64669863383,31.067715023,12.3205354214,2.5,9.0146369338
24,34.1487521648,0.0025,4.71115328471,31.8182995021,9.64485538006,2.5,7.67914116383
25,32.3926790555,0.0025,4.60716107686,30.5718983173,10.6122945547,2.5,8.74133321643
26,32.8858495076,0.0025,4.68961340586,31.1876519124,11.5557533503,2.5,9.87257753313
27,32.1181099256,0.0025,4.63658644358,30.4750829577,10.9732948542,2.5,9.25835427642
28,32.2317897002,0.0025,4.63050848643,30.5949099263,10.6525166035,2.5,8.99259254336
29,32.4076325734,0.0025,4.6466753006,30.7719720364,10.2568266392,2.5,8.56625849009
30,32.2839749495,0.0025,4.62347844442,30.6344218214,10.0897461176,2.5,8.47046864033
31,31.8150822163,0.00125,4.63110663096,30.6743149916,9.89433002472,2.5,8.93934798241
32,31.4148238818,0.00125,4.62549273173,30.5054999391,9.30622786283,2.5,8.41131019592
33,31.314872845,0.00125,4.60413455963,30.4820063313,9.19825017452,2.5,8.36185759306
34,31.2228813728,0.00125,4.60522549947,30.4030211608,9.27279567719,2.5,8.43698132038
35,31.2736173471,0.00125,4.60553067525,30.4610013604,9.28325253725,2.5,8.4713075161
36,31.439916261,0.00125,4.62594579061,30.624983263,9.9154919982,2.5,9.09683838487
37,31.5239946683,0.00125,4.64972470601,30.7060525656,10.1581651568,2.5,9.34189325571
38,31.515110898,0.00125,4.65409679413,30.7084730506,9.39871138334,2.5,8.57527223229
39,31.3849231243,0.00125,4.61785017649,30.5703189135,9.21220803261,2.5,8.37813746929
40,31.0010473808,0.000625,4.60308411916,30.4118201176,8.98906898499,2.5,8.48041051626
41,30.890832154,0.000625,4.60781428019,30.4355097413,9.11126643419,2.5,8.65350607038
42,30.7823961655,0.000625,4.60769106547,30.3733915528,9.00482189655,2.5,8.59250786901
43,30.7986387968,0.000625,4.61002744039,30.3982872049,9.12494516373,2.5,8.72048389912
44,30.8343920549,0.000625,4.61089865367,30.4375049512,8.91927331686,2.5,8.52395558357
45,31.0417898099,0.000625,4.62799180349,30.6429998279,8.72568297386,2.5,8.31780737638
46,30.7853856405,0.000625,4.60422223409,30.3877982299,9.0675804019,2.5,8.65886354446
47,30.7500858227,0.000625,4.60521469116,30.3527824839,9.06738889217,2.5,8.65408578515
48,30.7936004321,0.000625,4.60639476776,30.3989130815,9.08410954475,2.5,8.67677715421
49,30.8220848719,0.000625,4.61168289185,30.421082449,9.2336999774,2.5,8.82760679722
50,30.7993890842,0.000625,4.61082267761,30.4069290161,9.29989236593,2.5,8.87916353345
51,30.778963391,0.000625,4.60866374969,30.3801830053,9.14168798923,2.5,8.74514308572
52,30.6699624936,0.0003125,4.61189549764,30.3909574111,9.0658339262,2.5,8.82378944755
53,30.630819726,0.0003125,4.6111691157,30.4094330907,8.85811394453,2.5,8.63450965285
54,30.5745842298,0.0003125,4.60427049001,30.3702651143,8.91440165043,2.5,8.71515950561
55,30.562766242,0.0003125,4.60845705668,30.3655250907,8.96135944128,2.5,8.75486636162
56,30.553654472,0.0003125,4.60560525258,30.356263109,8.87024742365,2.5,8.67190718651
57,30.4798535903,0.00015625,4.60515677134,30.3399698257,8.81596106291,2.5,8.69435140491
58,30.4573988676,0.00015625,4.60515047709,30.3450939775,8.78366941214,2.5,8.67219758034
59,30.4458646496,0.00015625,4.60460853577,30.3442692121,8.76153641939,2.5,8.65725648403
