epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,7852.10545777,0.316769,41.8512198766,2669.76619327,7800.7644043,88.2865447998,7800.76367188
1,9810.00924835,0.316769,78.209408315,9787.66225306,69062.9648438,244.860908508,67983.9814453
2,13654.9499715,0.316769,87.1720919291,10896.5446899,4636.10107422,63.6205825806,4191.8494873
3,22658.5095988,0.316769,118.151272964,20504.6749075,193901.292969,416.070175171,192619.835938
4,25232.7939941,0.316769,121.00401001,23140.0352702,2757926.125,1660.10552979,2755952.625
5,26210.3492513,0.316769,117.70088412,24109.0754384,3962300.375,1912.36865234,3960112.5
6,18054.1563965,0.316769,102.376197561,15965.8021679,42149892.0,6491.84008789,42147720.0
7,11301.3988607,0.316769,76.9390731176,9228.50556806,26018125.0,5092.7956543,26016009.0
8,13366.9387533,0.316769,82.271737353,11302.9854132,28281419.0,5280.16308594,28279340.0
9,20490.7633301,0.316769,95.5976027648,18430.2181237,591032032.0,24304.2636719,591029920.0
10,20348.0500977,0.316769,106.401911863,18288.1832184,144620024.0,11747.4208984,144617964.0
11,32838.6580241,0.316769,146.717864736,30778.5924042,12180210.0,3412.19970703,12178152.5
12,25463.171696,0.316769,126.537770589,23402.8203954,36419452.0,5994.98779297,36417393.0
