epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,395.683361816,0.01,9.63694846233,122.071735729,214.568344116,8.63866138458,80.8764286041
1,154.334060669,0.01,6.71645606359,54.2133918126,83.3424530029,2.50002145767,7.8268507123
2,100.892628988,0.01,4.69349110921,31.6630396863,70.2397499084,2.50000238419,7.17235076427
3,94.163646698,0.01,4.72278703054,32.2539324393,67.4849624634,2.49998760223,6.73214244843
4,90.9398763021,0.01,4.57376441956,31.4750301386,71.9236068726,2.50001716614,7.46407234669
5,92.3347846985,0.01,4.71478169759,33.8155675379,73.194644928,3.05661773682,15.5928830951
6,90.0022880554,0.01,4.64057369232,31.1742786547,67.9380912781,2.50001525879,9.33280047774
7,91.1045051575,0.01,4.77745043437,32.5424497763,66.6554813385,2.50000333786,9.22809022665
8,91.1872698466,0.01,4.95364538829,32.9743051648,68.0282173157,2.49983263016,6.38433694839
9,91.9051773071,0.01,4.65653629303,33.1758832581,66.4411792755,2.50012731552,10.891452983
10,89.289974467,0.01,4.68422997793,31.4017285044,67.718793869,2.50008487701,8.8680241704
11,90.9177874247,0.01,4.76795895894,32.7229641676,68.7566432953,2.50047969818,10.4649776742
12,91.3324279785,0.01,4.79357153575,33.0989964146,74.8492126465,2.49966859818,11.4294327032
13,90.7661483765,0.01,4.76074199677,32.5401806623,65.069688797,2.4998588562,6.59218561649
14,89.747761027,0.01,4.52689590454,30.9856126153,66.331987381,2.50023365021,8.22231012583
15,88.9535636902,0.01,4.6672498703,30.5729982853,66.004940033,2.49989271164,10.6919986159
16,89.7667956034,0.01,4.78082764943,32.2428892086,72.6591281891,2.50032997131,11.9785033637
17,89.6736274719,0.01,4.70327129364,31.2313192368,63.5598907471,2.49908304214,7.36821758747
18,89.1174463908,0.01,4.59700336456,30.9942027936,67.3224105835,2.50499296188,7.41066157818
19,93.1162279765,0.01,5.00171292623,34.7385812958,71.6583061218,2.61913728714,13.0413211463
20,91.3309013367,0.01,4.83268572489,33.3041309277,70.3767566681,2.49786663055,8.31168705225
21,89.2910077413,0.01,4.6883430481,30.9644226154,64.9704170227,2.51313781738,8.37237077951
22,90.0147209167,0.01,4.67491137187,31.7936954737,67.4381885529,2.53051757813,8.17055767775
23,89.4940073649,0.01,4.67950019836,31.341429019,65.3264408112,2.47188091278,9.01529532671
24,69.519636027,0.005,4.70903536479,31.2371965925,41.9648647308,2.50183725357,9.90139512718
25,59.3757713318,0.005,4.64470551809,30.7686683396,39.6927042007,2.49973964691,9.74953687191
26,58.061311086,0.005,4.64373226166,31.4884377321,32.8793954849,2.50087976456,7.79317355156
27,55.8982467651,0.005,4.60971660614,30.6390985847,33.2367305756,2.49032020569,8.30867981911
28,56.3330510457,0.005,4.68915723165,31.1226754904,35.1184015274,2.50436210632,9.30822011828
29,56.8102190653,0.005,4.67644875844,31.5291068693,32.4865942001,2.48783159256,7.62060624361
30,56.4266108195,0.005,4.6604162852,31.2376802365,32.9632968903,2.47035980225,7.65496873856
31,56.1140691121,0.005,4.64160989126,30.9755836685,34.4138689041,2.46165037155,8.14666503668
32,56.1974220276,0.005,4.67042261759,31.1273483237,34.3316736221,2.48151683807,8.32062137127
33,56.9059960683,0.005,4.67934195201,31.4447279016,33.2222042084,2.46094179153,7.48138272762
34,55.9013329824,0.005,4.69443709056,30.9134166956,33.9120168686,2.38744306564,8.61695808172
35,56.9408444722,0.005,4.73516419729,31.5924845358,33.4098100662,2.53686666489,9.44571572542
36,48.1711049398,0.0025,4.70144265493,30.8861223896,24.3741941452,2.52757263184,8.69657880068
37,44.9404506048,0.0025,4.65058701833,30.8059038758,23.0968284607,2.50209283829,9.03077375889
38,43.8894017537,0.0025,4.65393733978,31.0407015165,20.6163215637,2.49430751801,7.74991673231
39,43.1481735229,0.0025,4.62102737427,30.5604994535,20.787519455,2.47678470612,8.44261446595
40,43.1241266886,0.0025,4.63652235667,30.7897249182,21.5119810104,2.48547410965,8.61885562539
41,43.2153240204,0.0025,4.60909665426,30.6373477459,20.5579891205,2.54809093475,8.21882754564
