epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,151.508938154,0.01,9.50547314882,125.911953994,93.878993988,8.62187099457,80.5866909027
1,64.1461415609,0.01,6.18812621435,54.5895232956,14.194208622,2.5,8.13830471039
2,39.9747327487,0.01,4.66475817362,32.9257603037,13.035171032,2.5,6.51866257191
3,37.6351469676,0.01,4.4262336731,31.0681798262,17.066996336,2.5,10.3858227283
4,39.5784089088,0.01,4.80650850932,33.363353509,15.482421875,2.49999904633,8.31201714277
5,39.8370853106,0.01,4.68550580343,33.241937675,12.0975341797,2.5,6.87893688679
6,39.6860966047,0.01,4.75694923401,33.4024554457,18.8391451836,2.5,11.929359192
7,38.2407152812,0.01,4.75356705983,31.4695167899,14.2751097679,2.49999952316,8.42124152184
8,39.5843480428,0.01,4.68717536926,32.989116019,14.4271712303,2.49999904633,7.17624282837
9,37.959207948,0.01,4.61343008677,31.1886177752,19.051857233,2.63044261932,13.1692284634
10,37.9633494377,0.01,4.72609965007,31.2803618451,16.7072553635,2.5,9.81711339951
11,40.8098302841,0.01,4.88107732137,34.0467567062,12.7730016708,2.50000238419,6.6410535574
12,35.411095651,0.005,4.60699952443,30.6175474425,13.2035207748,2.50000095367,9.04925402999
13,34.3182487488,0.005,4.67741400401,31.0186749101,12.30636549,2.5,10.3808056638
14,35.8415640036,0.005,4.79315223694,32.8251450499,10.6753009558,2.5,8.53944191337
15,34.3107414246,0.005,4.61710255941,30.7275814931,12.2721837759,2.5,9.77368025482
16,33.7539588451,0.005,4.65930493673,30.8637884299,11.5526070595,2.5,9.76349417865
17,34.969008859,0.005,4.72552687327,32.3884961247,10.8113124371,2.5,7.81228327751
18,33.2058084329,0.005,4.61213417053,30.6701183836,12.2544608116,2.49999952316,8.87287300825
19,33.6093861103,0.005,4.65903275808,30.7892797828,11.8121826649,2.49999952316,9.44957056642
20,34.2366475264,0.005,4.71096032461,31.470732832,10.4292521477,2.5,8.16101819277
21,33.4766083876,0.005,4.61930185954,30.6837984681,10.6675382853,2.49999952316,8.37798601389
22,34.9910613696,0.005,4.75275802612,32.2659817497,13.317355752,2.49999809265,10.08001782
23,33.6377386252,0.005,4.65018138885,30.8227930029,11.23952806,2.5,9.29816418886
24,33.9623829365,0.005,4.63262214661,31.1732159456,10.4878152609,2.50000095367,8.11400747299
25,34.8373078823,0.005,4.73685379028,32.0490528156,12.4859775305,2.49999332428,10.1293874085
26,34.8765758832,0.005,4.7579222997,32.1439128975,10.5786340237,2.49997377396,7.37087619305
27,32.2891156991,0.0025,4.57488460541,30.5568050186,9.17918801308,2.50000047684,8.20950883627
28,31.6942988475,0.0025,4.6125392278,30.5637071172,9.86154699326,2.5,8.37682145834
29,31.8407944997,0.0025,4.61596482595,30.6427348892,9.90892499685,2.5,9.21846118569
30,31.5416296244,0.0025,4.62824815114,30.5078371604,9.46819114685,2.5,8.63903871179
31,32.2069527388,0.0025,4.71569627126,31.1112400611,10.677942872,2.50000095367,9.53215424716
32,33.5355335553,0.0025,4.73171831767,32.3888341546,8.67855477333,2.49999856949,7.65756243467
33,31.7259078582,0.0025,4.58584925334,30.5408420285,9.5440467,2.50000095367,8.71888816357
34,31.635317564,0.0025,4.62068983714,30.4825803081,9.84408736229,2.5,8.74514016509
35,31.698432978,0.0025,4.64265378316,30.5772968888,10.8460592628,2.50000047684,9.45648381114
36,32.3997926712,0.0025,4.65169080098,31.2888340155,9.14764499664,2.49998998642,8.21574383974
37,31.6706000169,0.0025,4.62722854614,30.5851570686,10.284073472,2.50002288818,9.06484636664
38,31.7713521401,0.0025,4.64340527852,30.6027366638,10.3628675938,2.50000524521,9.38398328424
39,31.090242672,0.00125,4.61292152405,30.4620445967,9.66887676716,2.50000047684,9.09314316511
40,31.2265657504,0.00125,4.63050282796,30.4883614381,9.79837810993,2.5,9.22391942143
41,30.8874141852,0.00125,4.61446075439,30.3893409848,9.20603379607,2.5,9.01689231396
42,31.0573254267,0.00125,4.62642148336,30.5140353998,9.16241633892,2.50000047684,8.48238575459
43,31.3587347269,0.00125,4.63185914358,30.7471144795,9.40723323822,2.5,9.02858635783
44,30.7357113759,0.000625,4.61536725362,30.3796086748,9.42066067457,2.5,8.97010472417
45,30.8181610584,0.000625,4.61541353861,30.4163273176,9.39784944057,2.5,8.91973754764
46,30.8267950694,0.000625,4.61790091197,30.4525686185,8.8075632751,2.5,8.68843570352
47,30.7803946018,0.000625,4.60795822144,30.3927866459,9.03800332546,2.5,8.70459705591
48,30.7922527711,0.000625,4.61149565379,30.4272348245,9.07545876503,2.5,8.74433892965
49,30.6441068649,0.0003125,4.60617974599,30.3443438888,8.8659760654,2.5,8.72989746928
50,30.5778107047,0.0003125,4.60819371541,30.3732827266,9.0581831336,2.5,8.80878952146
51,30.5281593402,0.0003125,4.60786539714,30.3721837441,8.85410287976,2.5,8.72686475515
52,30.5201860587,0.0003125,4.60654907227,30.3571311394,8.84257096052,2.5,8.6877810061
