epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,0.5,131.561138407,24664.0539571,nan,172.265197754,29681.5488281
1,nan,0.5,82.8006851196,13036.7792585,nan,92.8062667847,8619.25292969
2,nan,0.5,61.761369578,6332.51410395,nan,142.01751709,20175.2246094
3,nan,0.5,123.575559616,21996.2003734,nan,179.128570557,32093.2949219
4,nan,0.5,114.550523249,18328.937206,nan,94.4775238037,8932.25244141
5,nan,0.5,112.614852715,19558.916573,nan,28.0187683105,791.301361084
6,nan,0.25,106.601994642,18731.3786947,nan,57.465675354,3308.55395508
7,nan,0.25,118.777613576,25967.9500203,nan,51.1815834045,2625.80444336
8,nan,0.25,70.1239293416,7302.53688151,nan,29.665017128,886.263244629
9,nan,0.25,77.8481073062,9868.68077901,nan,69.1566848755,4788.8972168
10,nan,0.25,83.6159546534,9570.04624939,nan,46.2088241577,2141.50543213
11,nan,0.125,49.3746747017,3265.88255624,nan,11.3909626007,136.004032135
12,nan,0.125,53.5023169835,3503.45468089,nan,2.5,9.13455468416
13,nan,0.125,50.1684644063,3435.01840528,nan,70.7055053711,5005.51831055
14,nan,0.125,60.0142397563,5138.41868896,nan,44.444355011,1981.55065918
15,nan,0.125,39.3058179855,2340.06591816,nan,5.9243144989,41.3475041389
16,nan,0.0625,49.5812727928,3910.53688393,nan,2.5,12.1429357333
17,nan,0.0625,31.3072269122,1801.92133376,nan,30.8846817017,960.113586426
18,nan,0.0625,36.0928058624,1638.81679281,nan,3.162981987,16.2544557899
19,nan,0.0625,32.9137489955,1716.59545761,nan,25.3053321838,646.609832764
