epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,417.911518351,0.01,9.85207148393,127.281701868,312.238250732,9.82208704948,102.723402023
1,252.178955078,0.01,7.37513127327,73.4985175282,198.066650391,6.38086867332,46.9655928612
2,215.43739624,0.01,5.71898749669,47.1667136967,210.017936707,3.97500658035,22.0506561995
3,210.682750448,0.01,5.31161495845,41.1923411682,161.261863708,2.50010919571,12.1585646414
4,195.006236776,0.01,4.73794104258,28.3139250393,195.546615601,2.49999570847,9.28938901424
5,201.528490194,0.01,4.57636369069,32.4420592864,157.583595276,2.50038337708,7.56685942411
6,201.784613037,0.01,5.06539090474,35.0948465407,192.961761475,2.5001502037,7.74952590466
7,207.638548787,0.01,5.17067381541,38.6370695725,158.784667969,2.50083398819,7.7909271121
8,200.695901489,0.01,4.66340923309,33.9481467903,192.301246643,2.5011920929,8.05289649963
9,200.938984172,0.01,4.50945504506,32.0051377063,160.095100403,2.50251483917,8.17360627651
10,198.198687744,0.01,4.50058135986,31.3935220008,191.967407227,2.50215291977,8.62855106592
11,202.077074178,0.01,4.98115844727,33.2064373851,161.647026062,2.49735975266,8.84860301018
12,122.763867696,0.005,4.72815885544,35.0716619319,102.85017395,2.50005674362,9.45936512947
13,120.583478292,0.005,4.88551565806,36.3235481209,80.7899742126,2.50021600723,9.50886388123
14,120.083097839,0.005,4.62143262227,37.3395808433,105.246910095,2.49996471405,8.94419065118
15,119.929358927,0.005,5.22831169764,35.4962803637,80.5118408203,2.50015163422,9.61088517308
16,123.622153727,0.005,5.43378925323,40.8752760713,105.915298462,2.50057888031,9.78353430331
17,112.249564107,0.005,4.40421040853,27.8300929338,81.0756225586,2.5002374649,9.86188556254
18,121.275405375,0.005,5.20314254761,38.5065888538,104.810115814,2.5032992363,9.01923382282
19,115.209618632,0.005,4.53899237315,30.8130837586,80.3386154175,2.50272464752,8.78106710315
20,121.334591166,0.005,4.88714866638,38.5431795925,103.48651886,2.49812841415,8.03735411167
21,125.037508138,0.005,5.15165405273,40.6638710936,80.7337760925,2.50935506821,8.83936592937
22,110.474052938,0.005,4.39713230133,27.660486261,103.972080231,2.50380945206,8.85549020767
23,120.566860453,0.005,5.06873311996,36.2154236197,80.6753845215,2.53190374374,8.4534919858
24,122.583088175,0.005,5.51183636983,39.7479983966,103.589416504,2.51043272018,8.79605510831
25,120.492911784,0.005,5.14795398712,36.163052093,81.8315963745,2.55395555496,9.29138478637
26,68.2374160767,0.0025,3.96310513814,24.6097530663,38.3385267258,2.49998044968,8.36516386271
27,70.8833527883,0.0025,4.55973027547,29.9078754584,59.8223285675,2.50197219849,8.07658487558
28,77.0953122457,0.0025,5.08524424235,34.7423887988,41.6877155304,2.49996376038,9.15067437291
