epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,347.23395284,0.1,7.38010291258,83.2701153614,128.142822266,2.5,11.8707783641
1,218.14332428,0.1,6.57422227859,81.1839163137,124.421154022,2.5,10.7910049111
2,182.063842265,0.1,6.241579024,65.7424738665,204.071411133,6.8493616581,53.1637544632
3,207.386351013,0.1,7.59017512004,88.4293441653,134.24212265,5.60470414162,37.6627078056
4,162.995820109,0.1,5.60450309118,45.4909668778,176.798416138,8.56860637665,79.6710147858
5,189.053563944,0.1,6.62369608084,72.2936332431,146.850597382,4.36248350143,25.2812601328
6,195.020058187,0.1,7.93562927246,80.8184177399,195.218925476,6.5374879837,48.9887475967
7,149.668020121,0.1,4.71984389623,31.450027666,120.906974792,4.07492637634,22.8550246954
8,166.63232015,0.1,5.94345229467,48.9490809441,101.47719574,2.5,7.3328974247
9,165.837455241,0.1,5.29342476527,49.2004919688,128.761249542,2.50000047684,7.49984866381
10,155.865611776,0.1,5.34249178569,41.7101042483,158.178764343,2.5,11.9214204336
11,152.173302205,0.1,4.63636767069,33.9839784071,107.238571167,2.49999952316,9.41074383259
12,161.099185689,0.1,5.20409911474,43.4946662933,121.47353363,4.58466219902,27.2691240311
13,166.956016032,0.1,6.03297198613,50.3803786417,128.471763611,2.49999713898,7.13550806046
14,164.602891032,0.1,5.79432303111,50.4222935537,173.548355103,4.60206031799,27.4289693832
15,118.146963247,0.05,5.33288755417,39.3338228007,70.6456851959,2.5,11.8179284101
16,90.5224221547,0.05,5.58690115611,43.613921082,76.2576255798,2.5,8.26184177399
17,95.8713226318,0.05,5.44950154622,44.6068038687,49.8534660339,2.50000047684,6.63355064392
18,96.9520971934,0.05,5.18848571777,40.0760864486,54.8502807617,2.5,8.48611712456
19,86.0219947815,0.05,5.7590426445,41.7663988829,47.6962528229,2.611805439,13.0715254736
20,86.4603136698,0.05,5.41951560974,48.2893765405,40.4191551208,2.5,6.31151199341
21,68.2059328715,0.05,4.76295595169,35.4272753,65.792175293,3.73231077194,20.1801469922
22,75.4482461294,0.05,4.74278961817,33.9176565831,57.2056369781,2.5,9.24859324098
23,76.1820615133,0.05,4.59280141195,34.4602112825,46.150932312,2.50000095367,6.56072902679
24,80.1114959717,0.05,5.38067919413,40.5042755963,69.9784965515,3.10044622421,15.8627641946
25,77.3318084717,0.05,4.64902318319,37.4591399391,57.6526641846,2.5,7.36800956726
26,74.3059534709,0.05,4.77192722956,33.5144227783,45.7759685516,2.49999952316,6.25583219528
27,64.7577478409,0.025,4.92241477966,34.2197962463,44.6505470276,2.50002145767,12.5001049044
28,56.7183233261,0.025,4.92339166005,36.2503315603,37.4799957275,2.5,6.25152397156
29,47.8407253265,0.025,4.46959775289,27.8593829393,23.3139896393,2.5,7.55264663696
30,50.6912665049,0.025,4.92466246287,33.1142380397,28.6758403778,2.5,8.2559158206
