epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,82.6353113969,0.01,7.88787327607,82.3325070331,21.1001834273,3.85279178619,21.0940045714
1,35.8325893571,0.01,4.98688373566,35.7057125429,8.63428395987,2.50000238419,8.50084021688
2,34.7227379461,0.01,4.9002248764,34.5908325195,8.2134590745,2.50004148483,8.07835841179
3,34.0953492026,0.01,4.89427814484,33.9582194708,10.7613013387,2.49991416931,10.616200611
4,33.3788389126,0.01,4.978834788,33.2403443535,7.77007478476,2.5002746582,7.62643295527
5,34.7417171836,0.01,4.74074064891,34.6049169893,9.31097555161,2.50000715256,9.17085117102
6,34.3180706779,0.01,4.8853922526,34.1815782507,8.38949251175,2.5000538826,8.25200712681
7,34.4437030147,0.01,4.81879628499,34.3073878631,9.48520120978,2.50016546249,9.34877559543
8,33.2132258256,0.01,4.91012617747,33.0769382636,7.09783709049,2.49971675873,6.96166980267
9,34.2451183319,0.01,4.96670443217,34.1088127891,6.73407173157,2.49952554703,6.59787797928
10,32.4883645862,0.01,4.45698362986,32.3520394297,12.4102657363,2.49925994873,12.2739989188
11,34.5279428283,0.01,4.9989083608,34.3916046937,9.17031994462,2.49492549896,9.03400483727
12,34.4289222459,0.01,4.8583674113,34.2925810277,9.91169819236,2.50171327591,9.77536180615
13,33.7375717084,0.01,4.89203090668,33.6012285173,7.05497717857,2.48472213745,6.91863250732
14,34.0538005044,0.01,4.6965801239,33.9174582904,6.91510808468,2.51476192474,6.77876353264
15,33.3570665618,0.01,4.78686033885,33.2207246358,6.20317316055,2.46276760101,6.06682825089
16,33.8820964416,0.01,4.96129252116,33.7457565943,11.5907518491,2.52812576294,11.4544131905
17,33.8596360127,0.01,4.88183625539,33.7232971072,11.855196856,2.42725992203,11.7188582939
18,33.6978034308,0.01,4.8674050649,33.5614642808,7.6101872921,2.5702495575,7.47384738922
19,34.403474164,0.01,4.746686999,34.2671354334,8.54044502974,2.31526994705,8.40410648286
20,33.6298343092,0.01,4.88356793722,33.4934952284,7.89896023273,2.59430456161,7.76262032986
21,34.0528646668,0.01,4.69637851715,33.9165252705,13.6469963193,3.03639793396,13.5106578171
22,32.3236931523,0.005,4.81798922221,32.3146040003,9.63897411525,2.5,9.63897411525
23,32.5517373085,0.005,4.79735666911,32.5517373085,8.60780262947,2.5,8.60780262947
24,32.1884240627,0.005,4.7724826177,32.1870103737,8.05910074711,2.5,8.05902576447
25,32.2571187894,0.005,4.85519727071,32.2566833893,8.31796914339,2.50000190735,8.31424748898
26,32.2283228775,0.005,4.74453512828,32.2272920003,7.95901858807,2.49999952316,7.95711898804
27,31.1478499413,0.0025,4.64223499298,31.1477229873,7.71234422922,2.5,7.71234422922
28,31.4594532053,0.0025,4.66913630168,31.4594532053,8.21517747641,2.5,8.21517747641
29,31.3790303071,0.0025,4.66426137288,31.3786866903,8.13371527195,2.5,8.13371282816
30,31.3376008252,0.0025,4.62415892283,31.3373845855,8.43808430433,2.5,8.43788427114
31,31.3695625265,0.0025,4.65887578328,31.3693493207,8.27264624834,2.5,8.27243119478
32,30.8500259757,0.00125,4.63117020925,30.8500115752,8.31360238791,2.5,8.31360238791
33,30.8666852276,0.00125,4.61526838938,30.8666852276,8.41483610868,2.5,8.41483610868
34,30.7921851118,0.00125,4.61011460622,30.7921002626,8.63843119144,2.5,8.63843083382
35,30.8317225456,0.00125,4.63343785604,30.8316680392,8.60690411925,2.5,8.60686293244
