epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,608038.220433,1.0,466.383901532,562872.83158,691.50579834,26.1682739258,691.028564453
1,106817.066419,1.0,273.468932343,106762.435654,90464.65625,300.34387207,90210.0546875
2,175628.697168,1.0,329.558355459,152058.306974,759.871124268,16.7361631393,338.597579956
3,79534.4030029,1.0,201.028502401,62437.5763957,23443.9716797,138.240783691,19114.2099609
4,175901.503906,1.0,324.357483419,159702.937207,614533.3125,776.141815186,604602.3125
5,284959.929557,1.0,450.403449758,268197.57026,45300.4316406,174.323692322,30867.2363281
6,99034.0604167,1.0,242.452916972,81880.8206462,21913.6738281,63.9065990448,5108.89593506
7,44160.2722083,0.5,146.309710884,43039.7962074,9022.22412109,94.9524841309,9022.22412109
8,42964.2669159,0.5,186.531958071,42964.263087,29776.3105469,172.537910461,29775.5800781
9,55111.1676503,0.5,179.154198583,49262.3358042,45474.8876953,207.941429138,45341.8154297
10,47113.8254873,0.5,167.381782786,42770.3614681,12836.5913086,77.9012699127,11574.7054734
11,25595.9971354,0.5,117.708253098,21408.9110219,23947.7626953,135.328533173,20955.1960449
12,13250.4716728,0.25,94.4811911265,13050.3830523,741.128204346,27.1086368561,741.128204346
13,9012.67585246,0.25,74.7105091095,9004.83684387,25768.0673828,139.188724518,24289.4746094
14,16114.3919942,0.25,100.6924462,14680.0340627,7223.71606445,81.9095230103,6724.44165039
15,11087.9394572,0.25,87.7241401672,9912.35817871,4429.34082031,56.4929141998,3209.05737305
16,4921.69760335,0.25,50.4761494001,3770.03906606,7224.8190918,75.6667747498,5805.03417969
17,5782.26349691,0.125,64.1057159424,5687.58768311,224.343078613,14.7679748535,224.343078613
18,2253.3891674,0.125,38.6129179955,2253.3505511,2476.8953495,38.1822137833,2469.63734055
19,5860.45674845,0.125,57.3753142675,5495.66944936,20756.4296875,143.718032837,20743.9609375
20,2837.40734507,0.125,34.8233581543,2563.96632791,4707.49023438,67.2275924683,4616.69335938
21,1873.567895,0.125,26.9007701238,1609.14404578,15812.2243652,120.051811218,15610.2099609
22,1872.80229899,0.125,30.3683346748,1601.92204425,1712.77412415,30.8049683571,1443.33313751
23,2127.46089478,0.125,33.4587556839,1855.15972951,24180.2138672,152.536178589,23895.6298828
24,1852.63852812,0.0625,38.46065588,1833.66541615,308.952445984,17.3983459473,308.952445984
25,417.85112888,0.0625,15.9886658669,417.851121998,87.4251022339,9.00965309143,87.4238452911
26,964.671327559,0.0625,22.5585503896,871.304189843,444.868759155,20.9230880737,443.940475464
27,1129.32911374,0.0625,22.6718862851,1061.74271073,3061.75982666,42.6194095612,3046.91510391
28,1199.8504069,0.0625,30.6071692149,1136.24889221,18103.3398438,128.920406342,18065.7436523
29,1237.36018651,0.0625,26.1333055496,1171.63358456,43045.0949707,169.521949768,42988.210083
30,1413.13637288,0.0625,30.7879922231,1345.90352801,5286.40307617,71.5884399414,5219.78149414
31,566.691311646,0.0625,18.2668063164,499.181670078,21179.5859375,143.693695068,21110.6689453
32,469.030599769,0.03125,17.6169722239,464.436094077,16.0992141962,3.13834571838,16.0992141962
33,689.637334188,0.03125,22.3671074549,689.637334188,6.45496439934,2.5,6.45490431786
34,545.922478104,0.03125,17.7754636129,522.464137487,1218.04559326,34.8176059723,1217.84832764
35,441.498571269,0.03125,16.1987058322,424.749019011,133779.4375,365.744995117,133775.765625
36,502.920462545,0.03125,17.0882225037,487.226807276,5152.67883301,68.137512207,5143.76245117
37,159.912969335,0.03125,10.1744750977,143.660150719,19767.8085938,139.772071838,19754.3583984
38,400.618995539,0.03125,13.3507493337,383.921324341,110121.296875,322.627075195,110105.166016
39,393.502691396,0.03125,15.5425262133,376.66603549,3933.48907471,54.4052867889,3916.47045898
40,153.758463399,0.015625,9.81224381129,152.623859568,68.9106616974,7.91584873199,68.9106616974
41,173.885859209,0.015625,10.3950498899,173.885859016,27.0298805237,4.55849218369,27.0298507214
42,422.18334616,0.015625,15.5010468801,416.438109954,1199.61212158,34.5445899963,1199.52996826
43,190.198529625,0.015625,12.0148668925,186.012766897,208351.929688,454.541824341,208350.929688
44,122.70347325,0.015625,8.73094205856,118.712652846,143322.638184,289.916854858,143320.149902
45,423.393895117,0.0078125,17.0667610168,423.228480943,8.56573304534,2.5,8.56573304534
46,125.733045948,0.0078125,8.56904738744,125.732339593,507.409622192,22.4258079529,507.269760132
47,219.646501615,0.0078125,11.9166351,218.232072049,1230.69467163,34.8016643524,1230.52996826
48,321.511357228,0.0078125,14.9358038584,320.402043343,28224.0976563,160.523647308,28223.387207
49,338.152665726,0.0078125,13.9316408475,337.061898817,158570.460938,397.277252197,158569.289063
50,245.582443118,0.00390625,12.8463698705,245.504463585,19.5407835245,3.645652771,19.5407835245
51,138.075989821,0.00390625,8.72252353032,138.075595087,26264.0986328,162.059844971,26264.0244141
52,216.140156015,0.00390625,13.0075856209,215.787972212,5291.38964844,72.6835746765,5291.33886719
53,172.304171324,0.00390625,9.86677417755,172.025378698,123009.667969,348.775222778,123009.476563
