epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,1495.3326945,0.1,7.3336719195,103.004621486,721.833282471,2.5,7.40790176392
1,859.974654134,0.1,6.21650773684,57.6909825275,814.505767822,7.94498825073,69.3728380203
2,806.846565755,0.1,7.78667011261,82.9926819864,812.973297119,4.94462108612,30.699277401
3,777.50871582,0.1,5.64696114858,50.658797733,675.567932129,3.92871379852,21.6847922802
4,774.90793457,0.1,6.16696343422,59.8516133524,622.500274658,2.5,8.30960941315
5,776.90550944,0.1,6.28919868469,58.8904528717,790.43649292,2.5,6.64712023735
6,769.794702148,0.1,7.29430497487,67.5398490906,826.548095703,2.5,12.1976753392
7,781.793408203,0.1,6.24748678207,58.1225296686,677.815490723,2.5,7.6717197299
8,765.971427409,0.1,5.9633073171,49.5311884562,624.171813965,5.58460450172,37.4378056526
9,784.388533529,0.1,6.86518888474,68.0130641699,779.361450195,2.5,7.212433815
10,753.395776367,0.1,5.81088984807,52.568264542,818.74017334,2.5,6.28496217728
11,773.354121908,0.1,5.733665212,50.5313220461,679.805877686,2.5,11.5016194452
12,764.389042155,0.1,5.70492127736,48.7845295226,631.319122314,6.20646476746,44.7702045441
13,760.427738444,0.1,5.5982486407,44.8007979605,786.967559814,2.99589443207,15.2253831252
