epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,0.5,47.6667287827,4317.95783463,nan,150.144744873,22549.6943359
1,nan,0.5,141.590879822,28460.7168257,nan,109.372886658,11968.6782227
2,nan,0.5,114.283037504,24456.8342237,nan,96.6579818726,9349.015625
3,nan,0.5,125.754237779,30592.0570869,nan,59.1296806335,3502.5690918
4,nan,0.5,181.327791087,41366.2405111,nan,54.9572029114,3026.54406738
5,nan,0.5,127.295319653,20903.5837168,nan,58.1538238525,3388.1171875
6,nan,0.25,70.188390557,8842.3029836,nan,23.8541564941,575.270782471
7,nan,0.25,83.0773958842,9830.60069173,nan,20.9236564636,444.0493927
8,nan,0.25,69.0001995722,7504.80571086,nan,36.4945335388,1338.10095215
9,nan,0.25,93.3844872793,11705.7842912,nan,34.0400381088,1164.97418213
10,nan,0.25,54.3735260328,4839.57940518,nan,10.9241218567,125.586437225
11,nan,0.125,47.8836114248,3006.14663086,nan,52.4543380737,2757.70751953
12,nan,0.125,44.6295540492,3360.44184348,nan,29.1028137207,853.2237854
13,nan,0.125,38.8567339579,2166.65722872,nan,19.711894989,394.808807373
14,nan,0.125,23.413386631,1062.49370537,nan,5.49770784378,36.47479105
15,nan,0.125,32.0793271065,1523.33597717,nan,16.6705164909,284.15612793
16,nan,0.0625,33.3857961019,2318.64916265,nan,2.77453804016,13.9480611645
17,nan,0.0625,23.8175148646,925.024669075,nan,2.5,11.9169562571
18,nan,0.0625,21.6967068354,805.761918894,nan,2.8060836792,14.1241055354
19,nan,0.0625,28.3230829239,1136.02704519,nan,13.0904445648,177.609741211
