epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,149.470496845,0.05,9.62809440295,140.606824509,9.03481936455,2.50034284592,6.59285712242
1,77.589552927,0.05,7.61039937337,76.070136102,9.47499006987,2.49999713898,8.92435568571
2,77.5997643511,0.05,6.93630046844,77.2607043624,14.8318846673,2.90628385544,14.696488589
3,77.7945049286,0.05,7.99956289927,77.7175499201,6.29195261002,2.5,6.25931215286
4,70.6068509936,0.05,6.79278761546,70.5897833109,7.53594481945,2.5,7.52899628878
5,77.1363933881,0.05,7.22619253794,77.1326589425,11.2869690806,2.5,11.2854697406
6,81.1069802562,0.05,7.818400383,81.106176281,6.45178079605,2.5,6.45147037506
7,79.2015813549,0.05,6.8236451149,79.2014116506,9.57290484011,2.5,9.57283551991
8,76.3459303409,0.05,7.51261367798,76.3458964909,6.75253391266,2.5,6.75251841545
9,78.8020513952,0.05,7.51426537832,78.8020461281,12.556414718,2.51125717163,12.5564121626
10,83.638058273,0.025,7.35646502177,83.6380577445,12.8395351586,2.56700897217,12.8395349113
11,66.7651514303,0.025,6.72877244949,66.7651513807,8.46725839376,2.5,8.46725839376
12,67.9953657319,0.025,7.10886955261,67.9953657309,6.7175219059,2.5,6.7175219059
13,70.9413658659,0.025,7.21409152349,70.9413658659,7.16278266907,2.5,7.16278266907
14,72.0746350845,0.025,6.73449878693,72.0746350845,8.19169706106,2.5,8.19169706106
15,79.648199816,0.0125,7.65481255849,79.648199816,8.64488214254,2.5,8.64488214254
16,77.8444890817,0.0125,7.64003264109,77.8444890817,10.3908133879,2.5,10.3908133879
17,79.2025822026,0.0125,7.44063755671,79.2025822026,12.3463461937,2.5,12.3463461937
18,61.7496606038,0.0125,6.42720769246,61.7496606038,8.10351008177,2.5,8.10351008177
19,77.8583717982,0.0125,7.75245478948,77.8583717982,7.28180980682,2.5,7.28180980682
20,87.0856992705,0.00625,7.60568326314,87.0856992705,9.15545701981,2.5,9.15545701981
21,78.181657963,0.00625,7.37356351217,78.181657963,11.20378929,2.5,11.20378929
22,67.8700393181,0.00625,6.78249950409,67.8700393181,11.5163122322,2.5,11.5163122322
23,84.5487282594,0.00625,7.59835046132,84.5487282594,10.3057926148,2.5,10.3057926148
