epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,1373.54767253,0.01,10.525646011,180.079514942,696.108337402,11.1572542191,130.734325409
1,536.366475423,0.01,9.21990688642,146.3252493,360.551330566,8.47806334496,78.1275615692
2,346.768844604,0.01,7.76996390025,102.42631851,243.046463013,5.1281504631,32.5479269028
3,286.995206706,0.01,6.26470861435,78.5089547797,222.613220215,3.02256393433,15.3858928084
4,260.114221191,0.01,6.70987256368,60.6580887556,222.808624268,2.5,7.01355361938
5,260.714818319,0.01,6.99009882609,64.6749018828,207.401817322,2.5,6.80832207203
6,277.256173706,0.01,7.69817790985,79.5192921086,209.119163513,2.5,8.75190848112
7,272.143651326,0.01,7.23252779643,76.6603962362,202.756942749,2.5,7.25599980354
8,262.3293986,0.01,6.94870115916,67.5162401766,213.535499573,2.5,8.28783714771
9,255.450680542,0.01,6.53140614827,60.1603541295,199.749908447,2.5,8.5891803205
10,266.417556763,0.01,7.07449715932,73.0220389103,203.646636963,2.5,6.80392718315
11,258.484440104,0.01,6.99377930959,64.0585774322,200.967758179,2.5,7.71476727724
12,272.337783813,0.01,7.12311372757,78.13889977,218.858703613,2.5,8.06117624044
13,253.667247518,0.01,6.7509355545,59.8932781504,209.294136047,2.5,7.85940754414
14,270.785275269,0.01,7.19354934692,77.6190933158,207.012336731,2.5,11.0998530462
15,260.502269491,0.01,6.89910736084,66.7923651223,197.542304993,2.5,11.3394217175
16,259.950631714,0.01,6.95323581696,67.712988925,208.499824524,2.49999952316,9.58471462131
17,275.045550537,0.01,7.66844520569,82.5407226642,198.764160156,2.5,7.70047169924
18,260.005451457,0.01,7.30467643738,67.9253087362,208.715316772,2.50000047684,6.87136983871
19,265.130995687,0.01,7.20383529663,71.6966814116,204.994728088,2.5,11.3762615696
20,259.305237834,0.01,6.59841868083,67.8666262198,216.800102234,2.49999761581,9.702851668
21,278.71783549,0.01,7.52266089122,86.7884959206,202.397384644,2.49999904633,9.32805594802
22,194.335558065,0.005,6.21205282211,64.0641435529,112.987289429,2.49999952316,8.75970706344
23,148.15401357,0.005,6.08669916789,53.0418063641,102.296749115,2.5,8.7022061348
24,152.76324056,0.005,6.63461894989,65.5454117698,96.8000869751,2.5,8.34073996544
25,147.796819051,0.005,6.86929941177,61.9774611314,92.6930541992,2.5,8.40063685179
26,167.003009542,0.005,7.57944100698,82.7095978295,97.5549049377,2.5,8.94979271293
27,161.138526408,0.005,7.43384145101,76.097313571,95.6549072266,2.50000047684,8.24414271116
28,157.91952769,0.005,7.0790924708,73.2416845157,96.5361099243,2.5,9.28907972574
29,143.652257792,0.005,5.74322576523,58.8221491119,94.587474823,2.5,7.68636709452
30,166.549627686,0.005,8.15830806096,82.6625592232,96.6235122681,2.5,8.4751265049
31,152.235070801,0.005,6.59194374084,66.2432183014,92.4416275024,2.50000047684,7.91232991219
32,136.7848231,0.005,6.51841462453,53.2522534211,95.5793609619,2.49999904633,7.56573206186
33,149.777993774,0.005,6.85968974431,64.7280355473,90.9644546509,2.5,7.67203354836
34,144.217807007,0.005,6.68820927938,60.1037230512,95.4793395996,2.50000286102,7.76261079311
35,165.918159485,0.005,7.78622102737,81.5044945528,94.5419998169,2.49999809265,9.13344672322
36,142.413629659,0.005,6.33219909668,58.2661133612,97.2468643188,2.49999713898,8.18613183498
37,151.660774231,0.005,6.8180920283,66.847497948,92.5926818848,2.49997377396,8.43434494734
38,144.809166463,0.005,6.59258550008,60.9526028077,98.7380218506,2.50000286102,9.23885214329
39,165.38460439,0.005,7.54361718496,80.911499083,92.9625892639,2.50000619888,8.66798427701
40,117.972723134,0.0025,6.42770862579,58.7539836327,60.5072517395,2.5,8.03746145964
41,114.2948349,0.0025,6.83473345439,66.5007875403,56.9298324585,2.49999904633,9.0217911005
42,118.287933604,0.0025,7.14132461548,73.8879137059,53.9677963257,2.5,8.65889650583
43,113.275009155,0.0025,6.76891288757,69.6733337872,53.313117981,2.50000047684,8.99797812104
44,125.506354268,0.0025,7.33279759089,82.5535070082,53.7781791687,2.5,8.93135854602
45,115.919476573,0.0025,6.91887133916,72.5318209631,52.4985637665,2.49999904633,9.27813249826
46,99.4786682129,0.0025,6.08686873118,56.3107873271,53.3465805054,2.5,8.9058997035
47,113.072316488,0.0025,6.96791470846,69.8987227415,53.2357006073,2.49999952316,8.70917016268
48,106.559813944,0.0025,6.75018138885,63.5922556527,53.376241684,2.49999713898,8.1531124711
49,112.801894887,0.0025,6.81064860026,69.5675988634,52.3532218933,2.5,8.37969017029
50,109.326846568,0.0025,6.93642171224,66.3934658984,53.7976722717,2.49998950958,8.13084727526
51,104.756532033,0.0025,6.31398305893,61.4785855571,50.7691497803,2.50000333786,8.40795910358
52,106.272646332,0.0025,6.54017127355,63.3802238318,52.6240386963,2.49999523163,8.22810548544
53,110.835410563,0.0025,6.41550381978,67.7107551369,52.2457275391,2.50000953674,8.34059160948
54,112.627944946,0.0025,6.72756999334,69.6876499226,52.0232124329,2.50000333786,7.76888847351
55,110.788135529,0.0025,6.98608258565,67.6805075417,52.0191421509,2.49999570847,8.15689742565
56,110.667102305,0.0025,6.53070532481,67.8452031806,53.1704959869,2.49998807907,7.95805168152
57,127.691176351,0.0025,7.42265446981,84.5038301406,51.0556945801,2.50000905991,8.19731545448
58,102.334664154,0.00125,7.61000582377,72.2433353106,34.2616682053,2.5,8.4899777174
59,87.1231412252,0.00125,6.83029448191,63.3414019744,32.7335567474,2.5,8.59153789282
