epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,133.642583206,0.05,7.28436800639,96.3165135173,17.5695810318,3.34049797058,17.408926338
1,90.2736311595,0.05,7.16581878662,77.4859184227,34.6801757813,2.49997282028,9.64199705422
2,103.885816828,0.05,7.33990605672,85.971764912,31.1459903717,2.60960626602,13.060461964
3,100.478712591,0.05,7.07217257818,82.4967491552,25.7336463928,2.49983453751,8.08682900667
4,101.021798833,0.05,7.66799885432,83.2492796981,30.547542572,2.53041362762,12.6515201605
5,107.125370153,0.05,7.90194365184,89.4000851727,33.1360750198,2.99563741684,15.227474764
6,103.627319082,0.05,7.4202428182,85.9345664074,54.8549079895,5.55032753944,37.0497498512
7,90.1799949138,0.025,7.29165449142,88.9929524867,6.25622367859,2.5,6.25622367859
8,78.259163475,0.025,8.30446421305,78.2591478348,17.8767677844,3.40960693359,17.8754195273
9,81.6803200682,0.025,7.18098843892,75.5048051198,20.6595942974,3.78833580017,20.6014881134
10,81.6124152581,0.025,6.99314117432,77.2135528715,27.2807321548,4.46925354004,26.2242275476
11,72.9076660315,0.025,7.05377744039,68.7815771619,31.8095440865,4.80965566635,29.3827896118
12,79.7476370811,0.025,6.93413677216,75.4695048441,13.7605731487,2.50000524521,10.2131831497
13,89.6280879339,0.025,8.13263839086,85.2329372406,20.5044896603,3.16830158234,16.2877966166
14,71.9744624991,0.0125,7.15283184052,71.6933044804,13.4969329145,2.69201278687,13.4969329145
15,87.4039009163,0.0125,7.01688191096,87.403900805,8.05281978846,2.5,8.05257970095
16,75.1847098827,0.0125,7.48733812968,73.6767336528,11.8750974759,2.5,11.8409864986
17,82.7458285133,0.0125,7.50464700063,81.6246183497,13.888728112,2.70443534851,13.5639705602
18,73.6808318615,0.0125,6.70419969559,72.6007883383,7.93264222145,2.5,7.1578348875
19,70.727717336,0.00625,7.03946654002,70.6759097894,8.10349738598,2.5,8.10349738598
20,96.5483563185,0.00625,8.52434107463,96.5460755269,11.5097641051,2.5,11.0826716758
21,84.2307330608,0.00625,7.29889001846,83.8614266555,10.4959293157,2.5,10.3642724901
22,68.2645865599,0.00625,7.0256682078,67.9612377485,9.28922480345,2.5,8.97066414356
23,75.9383038561,0.00625,7.31201121012,75.6411944658,10.2965040803,2.5,9.92812466621
24,72.616915832,0.003125,7.1669506073,72.5923514704,9.36617565155,2.5,9.36617565155
25,73.566883413,0.003125,7.10546220144,73.5668757836,9.35362285376,2.5,9.35214480758
26,55.6429235776,0.003125,6.55206832886,55.5491435528,9.91381195188,2.5,9.91059438884
27,66.3505336205,0.003125,7.05090840658,66.2801781853,10.6437225342,2.5,10.6201853231
