epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,193.838496653,0.01,10.3661239823,170.913689421,129.910068512,10.7394299507,121.585350037
1,129.424832916,0.01,8.79809277852,125.445447572,59.3088407516,7.2021214962,58.1205539703
2,87.5850529989,0.01,6.4835038503,86.8110944907,17.9038789868,3.36169242859,17.5509768426
3,78.4303324938,0.01,7.2290986379,78.2525487681,7.77488523722,2.5,7.70546996593
4,63.6753874143,0.01,6.80824356079,63.6362310568,7.4232364893,2.5,7.40871441364
5,78.0593238711,0.01,7.8199947993,78.0508995096,6.64384257793,2.5,6.64067161083
6,79.0581579292,0.01,7.25415477753,79.05634592,10.4386317655,2.5,10.4379483163
7,77.6483004361,0.01,7.0645526886,77.6479111483,12.504836978,2.50093746185,12.5046877487
8,66.0990547568,0.01,6.44527263641,66.0989717779,11.8326881407,2.5,11.832655183
9,67.7089984072,0.01,6.71362584432,67.7089812507,8.74688619375,2.5,8.74687877297
10,58.4931637287,0.01,6.40029659271,58.4931614399,6.69449448586,2.5,6.69449329376
11,65.9806498686,0.01,7.16360390981,65.9806496302,8.00361090899,2.5,8.00361073017
12,73.6619591514,0.005,7.39971014659,73.6619591435,8.66004210711,2.5,8.6600420773
13,70.0085496103,0.005,6.94745680491,70.0085496093,10.2746045887,2.5,10.2746045813
14,71.9826819266,0.005,6.60269432068,71.9826819261,8.65685403347,2.5,8.65685403347
15,62.2992572169,0.005,6.35995585124,62.2992572169,8.86693322659,2.5,8.86693322659
16,80.4404070427,0.005,7.63622500102,80.4404070427,8.39658850431,2.5,8.39658850431
17,80.4487993747,0.0025,7.41845054626,80.4487993747,9.04730960727,2.5,9.04730960727
18,63.4704995473,0.0025,7.04981702169,63.4704995473,9.68485918641,2.5,9.68485918641
19,65.8134789646,0.0025,6.86835492452,65.8134789646,9.53546094894,2.5,9.53546094894
20,67.1062275092,0.0025,6.91671015422,67.1062275092,8.99669072032,2.5,8.99669072032
21,72.2159821828,0.0025,7.19913714727,72.2159821828,8.64095160365,2.5,8.64095160365
22,76.3571391235,0.00125,7.18633480072,76.3571391235,8.71534776688,2.5,8.71534776688
23,70.3804058532,0.00125,6.89063313802,70.3804058532,8.57405599952,2.5,8.57405599952
24,68.9755754391,0.00125,7.04388065338,68.9755754391,8.66497507691,2.5,8.66497507691
25,72.4466694832,0.00125,7.282868131,72.4466694832,8.58235362172,2.5,8.58235362172
