epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,154.580768712,0.01,9.95068089167,126.790537492,95.3296642303,8.77139377594,83.18800354
1,57.1023777644,0.01,6.1198135376,49.8977934087,14.1098091602,2.49999856949,9.54069815576
2,38.7300111771,0.01,4.97432804108,35.3564667821,8.72104024887,2.50000047684,6.25131320953
3,33.9313743273,0.01,4.71306330363,31.6913880845,11.5382527113,2.5,9.36170631647
4,33.3432804585,0.01,4.67355848948,31.3839731336,10.4791638851,2.5,8.51347592473
5,33.1133628209,0.01,4.6645503362,31.2313929717,10.9072836637,2.5,8.99652951956
6,36.5234499216,0.01,4.88901882172,34.6333263631,13.6406284571,2.5,11.7759941667
7,32.7407445113,0.01,4.59392407735,30.8692132264,9.18572187424,2.5,7.25554656982
8,34.1413667043,0.01,4.72391401927,32.2282323052,10.58505404,2.50000047684,8.67847186327
9,32.8112246195,0.005,4.66786340078,31.5385558526,10.986740768,2.5,9.9608669728
10,31.56735092,0.005,4.63306986491,30.6496251365,9.6834012866,2.5,8.76193800569
11,31.9067276557,0.005,4.61486047109,31.0511232654,8.41308319569,2.5,7.62261849642
12,32.0679769198,0.005,4.73214365641,31.2377330621,10.0735093951,2.5,9.25088584423
13,32.5837886572,0.005,4.6861333847,31.7787518819,9.04982256889,2.5,8.23543536663
14,32.8557678858,0.005,4.70776557922,32.0488740404,11.6405574083,2.5,10.8039960191
15,31.8645959695,0.005,4.64340629578,31.052274702,9.73200881481,2.5,8.92138642073
16,32.1165792783,0.005,4.67362194061,31.3154047052,9.95626908541,2.5,9.12379705906
17,31.4354346116,0.005,4.63662815094,30.6224054138,9.15950387716,2.5,8.35213452578
18,31.1455981652,0.0025,4.61154193878,30.5654512882,8.96472603083,2.5,8.4612044692
19,30.9538507859,0.0025,4.61041552226,30.5011617899,9.31533795595,2.49999952316,8.84994995594
20,30.8882098675,0.0025,4.61940530141,30.4750270526,9.26697659492,2.5,8.85552328825
21,31.089781038,0.0025,4.64414017995,30.6846019268,8.7113366127,2.5,8.29359728098
22,31.1207022111,0.0025,4.6302845637,30.7185567419,9.08723282814,2.5,8.65923696756
23,30.7145148118,0.00125,4.6089302063,30.4202150663,8.74364292622,2.5,8.49934196472
24,30.7095696131,0.00125,4.61290168762,30.4756944418,9.02246904373,2.5,8.77951410413
25,30.9219107548,0.00125,4.63358071645,30.707644999,8.60553258657,2.5,8.41392427683
26,30.977601258,0.00125,4.64434013367,30.7697258949,9.34962683916,2.50000047684,9.12601926923
27,30.9458791971,0.00125,4.6419321696,30.737787346,8.59828716516,2.49999952316,8.40006262064
28,30.5262136459,0.000625,4.60054327647,30.3795464118,8.72415626049,2.5,8.59184515476
29,30.5521931012,0.000625,4.61262054443,30.4353773554,8.79636329412,2.5,8.67660224438
30,30.629518795,0.000625,4.61779015859,30.5187582612,8.89847537875,2.5,8.79687410593
31,30.5318101962,0.000625,4.61164239248,30.4249400735,8.65818047523,2.5,8.54742589593
