epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,538.194074504,0.01,9.23948097229,148.97810613,408.406295776,7.23016738892,58.5249996185
1,341.830502319,0.01,6.80803206762,87.6454971535,174.570137024,3.26453542709,16.9073838592
2,306.822023519,0.01,6.9617790858,74.730117629,325.395950317,2.49999427795,9.66224080324
3,316.607068888,0.01,7.20306955973,75.8714659611,167.229545593,2.49986314774,9.59797638655
4,302.965218099,0.01,6.77278486888,72.9884902596,317.851654053,2.49977684021,7.47889453173
5,315.694080607,0.01,7.37616271973,75.7445385297,170.104187012,2.50008535385,8.37105935812
6,304.18205363,0.01,7.45597902934,74.0305816968,317.043334961,2.49955129623,10.8912644461
7,312.495939128,0.01,7.0805112203,72.849212265,176.056358337,2.49980401993,10.2843012214
8,303.182364909,0.01,6.64251785278,72.7756464069,309.308425903,2.49951219559,7.10379803181
9,314.515318807,0.01,7.53917051951,75.1352841695,178.828186035,2.49998378754,9.23568069935
10,192.214287821,0.005,7.24540220896,71.5536918163,155.189880371,2.5,9.62227785587
11,191.958134969,0.005,6.9927163442,72.7401956916,97.3005104065,2.49985408783,8.73878276348
12,187.404798889,0.005,7.03882153829,71.9847638607,154.68787384,2.49999952316,8.642172575
13,190.003093465,0.005,7.23616892497,70.7566966216,98.3500671387,2.49980735779,9.50304614007
14,186.740495809,0.005,7.15792973836,71.2923484008,155.403144836,2.50001096725,9.8338188976
15,190.839056396,0.005,7.04812774658,71.6267461141,98.780128479,2.49959468842,9.38773918152
16,189.680476379,0.005,7.02599964142,74.1956387222,153.826896667,2.49994134903,8.83807128668
17,190.450974019,0.005,7.07075932821,71.278755784,98.5846939087,2.49959993362,8.59142223001
18,132.378621165,0.0025,7.27299054464,71.6986028353,61.2347068787,2.5,9.08666580915
19,127.391741435,0.0025,6.96561743418,69.1743353208,73.6554412842,2.50001525879,9.05982804298
20,127.472544352,0.0025,6.95839742025,68.4479617119,61.8292980194,2.5,8.86415454745
21,126.14219106,0.0025,7.02824033101,67.8782611847,73.1027870178,2.49998664856,8.96686410904
22,128.668293762,0.0025,7.0342072169,69.668500646,62.2275505066,2.49999713898,8.97593784332
23,128.336339315,0.0025,6.89344724019,70.0560178598,72.6481895447,2.50000476837,8.71100115776
24,127.587205251,0.0025,6.98844134013,68.5993186315,62.2746582031,2.50000619888,8.8692740798
25,100.721059036,0.00125,7.07172978719,69.8167044957,24.5154943466,2.5,8.97912117839
26,95.4839811961,0.00125,6.88848705292,67.0833878358,51.7699165344,2.50002288818,8.9210202992
27,97.736340332,0.00125,6.86700744629,67.5277305365,24.799451828,2.5,8.84240612388
28,95.6964981079,0.00125,6.86482226054,67.270758311,51.3063220978,2.50004339218,8.78374096751
29,101.033346176,0.00125,7.09651622772,70.8448187669,25.1492357254,2.49999904633,8.93280640244
30,99.1016984304,0.00125,7.10299752553,70.660393556,51.1479644775,2.50007390976,8.83872210979
31,99.7515313466,0.00125,6.98007844289,69.5763689041,25.1827888489,2.49999952316,8.78632178903
32,86.3125506083,0.000625,7.1465057373,71.5455950101,26.5081043243,2.5,8.81393682957
33,85.117832311,0.000625,7.09426059723,70.2601254304,20.4107198715,2.49999856949,8.84262773395
34,83.3215770721,0.000625,6.95825920105,68.874679025,26.5757379532,2.50000047684,8.79962143302
35,83.1415679932,0.000625,7.0151690801,68.2787808418,20.3337006569,2.5,8.83240118623
36,83.5158579508,0.000625,6.95394147237,69.0731475512,26.6924943924,2.50000095367,8.86226263642
37,82.5148369471,0.000625,6.92076816559,67.6488859495,20.297167778,2.50000143051,8.83978936076
38,82.5438252131,0.000625,6.9820461909,68.1038606485,26.7303771973,2.50000095367,8.86515164375
39,81.2937376022,0.000625,6.95074227651,66.4257480621,20.3328509331,2.49999094009,8.90328601003
40,82.4835223516,0.000625,6.94132207235,68.0452665806,26.7799081802,2.50000238419,8.89310902357
41,83.3157952627,0.000625,6.91269747416,68.4465575377,20.2755270004,2.49999380112,8.86247256398
42,82.7045581818,0.000625,6.96410427094,68.2672908624,26.8075323105,2.50000476837,8.90856906772
43,84.9552972158,0.000625,7.09346173604,70.0853761991,20.3706698418,2.50001573563,8.96620965004
44,85.2128307978,0.000625,6.98145968119,70.7760540962,26.8787431717,2.50000286102,8.97423774004
45,84.1930233002,0.000625,7.02860476176,69.3228208383,20.3707323074,2.50007104874,8.96930676699
46,86.8981103261,0.000625,7.10921853383,72.4614741325,26.8979892731,2.49999427795,8.99257290363
47,83.6205481847,0.000625,7.01899166107,68.7503436406,20.4019584656,2.50014734268,8.99967741966
48,74.2143877665,0.0003125,6.86187470754,66.6171884219,15.9587814808,2.5,9.00249409676
49,76.8596510569,0.0003125,7.00411459605,69.5575012684,16.6674656868,2.49998474121,8.9871995151
50,75.7279483795,0.0003125,6.96113942464,68.3784496466,15.9857299328,2.5,8.99853104353
51,74.0459781011,0.0003125,6.87027562459,66.74181331,16.6440916061,2.49995756149,8.99215066433
52,78.2844149272,0.0003125,7.10410715739,70.9367667516,16.0447070599,2.5,9.03152126074
53,74.3983699163,0.0003125,6.90264135997,67.0925803026,16.6624259949,2.49993848801,9.03446409106
54,73.3694027583,0.0003125,6.81217543284,66.0233269374,16.0649423599,2.5,9.02976000309
55,71.5335547129,0.00015625,6.83086770376,67.6458875736,10.8218339682,2.5,9.01803773642
56,72.8147910277,0.00015625,7.00762646993,69.2757366498,14.5598926544,2.5,9.03867724538
57,70.8075651328,0.00015625,6.82026112874,67.0207240582,10.8391420841,2.5,9.03347554803
58,73.3829078039,0.00015625,6.9691139857,69.843709294,14.5596766472,2.50000095367,9.04026550055
59,72.7133160273,0.00015625,7.02446994781,68.9265927315,10.8470247984,2.5,9.03955346346
