epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,1.0,512.635556793,412781.157861,nan,1277.12023926,1631042.375
1,nan,1.0,559.197232564,430446.698763,nan,87.8281173706,7720.02832031
2,nan,1.0,735.390821012,757223.106447,nan,171.585983276,29448.0
3,nan,1.0,828.642429606,996529.602865,nan,357.142669678,127557.136719
4,nan,1.0,583.267915344,457378.835872,nan,180.692352295,32655.9755859
5,nan,1.0,498.352742004,422660.80918,nan,273.764770508,74953.4023438
6,nan,0.5,589.208899307,546061.029643,nan,262.536376953,68931.5976563
7,nan,0.5,478.978589376,281599.146289,nan,307.515777588,94572.203125
8,nan,0.5,510.480983988,351019.451139,nan,121.802871704,14842.1894531
9,nan,0.5,393.983524831,226526.628455,nan,481.082000732,231446.140625
10,nan,0.5,332.611873372,187368.221576,nan,142.737579346,20380.2666016
11,nan,0.25,272.598116302,105924.757487,nan,4712918016.0,2.22115972315e+19
12,nan,0.25,295.93758901,119541.358691,nan,1.69304214857e+22,inf
13,nan,0.25,221.63992691,76964.1064453,nan,1.89152998544e+18,3.57788582413e+36
14,nan,0.25,273.376257769,111199.485472,nan,4.61710054145e+20,inf
15,nan,0.25,264.090600077,86677.2855143,nan,3.03241964425e+19,inf
16,nan,0.125,222.214783033,85410.5286606,nan,33.300819397,1115.1946106
17,nan,0.125,141.492870331,26459.7106323,nan,319047.3125,101791186944.0
18,nan,0.125,221.04155604,61552.4795573,nan,46.5235862732,2170.6940918
19,nan,0.125,124.594916789,20371.7434652,nan,441.717834473,195120.898438
