epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,187.936951701,0.01,9.79522628784,121.395160707,110.366989136,8.69233989716,81.8067722321
1,78.1204624812,0.01,6.24488563538,57.3287592649,23.4713492393,2.5,9.33804732561
2,43.1944154104,0.01,4.69715830485,30.963309145,17.2738146782,2.5,7.3881560564
3,42.1201312383,0.01,4.60862401326,32.1816861326,17.3175973892,2.5,7.2257784605
4,41.7092641195,0.01,4.7073788325,32.2342297296,19.3015098572,2.5,9.46384483576
5,40.2634435654,0.01,4.68557650248,31.0733217359,18.1927089691,2.5,8.53042942286
6,40.8369304021,0.01,4.73293081919,31.5606852214,18.2164025307,2.5,9.09386613965
7,40.6525839488,0.01,4.67651341756,31.5135269006,17.4134306908,2.5,8.02779746056
8,40.130733935,0.01,4.6915992101,30.9687424262,18.6347103119,2.5,9.23349538445
9,37.2360546748,0.005,4.6949687322,31.1550807178,15.1877701283,2.5,10.5113481432
10,37.5626237551,0.005,4.74380836487,33.0716550728,11.8931744099,2.5,7.44639569521
11,34.5561792056,0.005,4.5496732076,30.4131865859,12.8686695099,2.5,8.90944996476
12,35.139000384,0.005,4.67059275309,31.1409206569,13.9078688622,2.5,9.89230923355
13,34.6422567368,0.005,4.57950922648,30.6672527254,12.479326725,2.5,8.48843079805
14,35.1390355428,0.005,4.64782854716,31.151398321,13.19201231,2.5,9.10297590494
15,35.3802849452,0.005,4.68103720347,31.4134350499,11.8802988529,2.5,7.89568519592
16,34.9694609324,0.005,4.64182548523,31.0097179174,12.6740670204,2.5,8.63619425893
17,34.6474463463,0.005,4.65368760427,30.6749797503,13.82985425,2.5,9.83121350408
18,35.2236735662,0.005,4.69809468587,31.2201429546,13.2351109982,2.5,9.19987046719
19,34.5176174482,0.005,4.60961297353,30.572181797,12.3363494873,2.5,8.29908961058
20,34.5974198659,0.005,4.62511062622,30.6246532798,12.5818514824,2.5,8.59703734517
21,34.6783351262,0.005,4.64624443054,30.7119307558,12.5534799099,2.5,8.64073377848
22,33.3432820002,0.0025,4.61488946279,30.5162400723,10.9500179291,2.5,8.4719696641
23,33.0070094585,0.0025,4.61339518229,30.7362590273,11.1902167797,2.5,8.89312964678
24,32.9105995496,0.0025,4.64299850464,30.8379825592,10.2773083448,2.5,8.17437762022
25,32.7070761045,0.0025,4.62908248901,30.6972236156,11.0934381485,2.5,9.01331743598
26,32.6445311228,0.0025,4.64111607869,30.6518138488,10.8477232456,2.5,8.85468000174
27,32.7121849696,0.0025,4.65433832804,30.7167627533,11.1830279827,2.5,9.11720100045
28,32.781828928,0.0025,4.638793691,30.7828139464,10.2254072428,2.5,8.20223337412
29,32.5494769732,0.0025,4.6024312973,30.567975533,10.4206162691,2.5,8.30324739218
30,32.7158203125,0.0025,4.62597236633,30.7219106197,11.0231027603,2.5,8.99745866656
31,32.5389797529,0.0025,4.62603886922,30.5390253981,10.9787096977,2.5,8.87339571118
32,33.0153935432,0.0025,4.63588905334,31.03827432,10.0381308794,2.5,7.97491747141
33,32.7502045949,0.0025,4.62309265137,30.7536280632,11.0131226778,2.5,8.98899611831
34,32.919322745,0.0025,4.63759498596,30.9355322997,10.3279575109,2.5,8.32984083891
35,32.6252978802,0.0025,4.63243439992,30.6214269797,10.5536106825,2.5,8.49691396952
36,32.5651779493,0.0025,4.61713854472,30.5940217733,10.9350453615,2.5,8.90606456995
37,32.6850142797,0.0025,4.62991027832,30.6788351456,11.2411615849,2.5,9.21852743626
38,32.4839269956,0.0025,4.61535174052,30.515349257,10.7528560162,2.5,8.6761329174
39,31.8209105651,0.00125,4.60629374186,30.3779004335,9.88536334038,2.5,8.64241555333
40,31.6534105301,0.00125,4.62192045848,30.5335385323,10.102304399,2.5,8.9821215868
41,31.5672916015,0.00125,4.63010470072,30.5589861433,9.92457216978,2.5,8.89360481501
42,31.3888576825,0.00125,4.61230494181,30.4060250759,9.74002861977,2.5,8.7465685904
43,31.5399539789,0.00125,4.6155907313,30.5675276756,9.27192974091,2.5,8.27171784639
44,31.3782117605,0.00125,4.59756609599,30.3986635884,9.29384195805,2.5,8.28208261728
45,31.4129058123,0.00125,4.60881792704,30.4366378029,9.54163789749,2.5,8.53830504417
46,31.4061695417,0.00125,4.60681781769,30.4317693392,9.77968215942,2.5,8.79035544395
47,31.3942217827,0.00125,4.61260929108,30.4222851396,9.88086003065,2.5,8.85075616837
48,31.5352082729,0.00125,4.62189731598,30.5539908051,10.027061522,2.5,9.01974502206
49,31.6927254915,0.00125,4.64830525716,30.7250660936,10.2433130741,2.5,9.23432227969
50,31.157650129,0.000625,4.61274267832,30.4383197427,9.53694713116,2.5,8.91988673806
51,31.0319339355,0.000625,4.61170736949,30.4588078698,9.34391492605,2.5,8.77017360926
52,30.8796717962,0.000625,4.60756123861,30.3616131107,9.34191900492,2.5,8.81360003352
53,30.9783717553,0.000625,4.6178463618,30.4744062146,9.22154027224,2.5,8.70477634668
54,30.9399939617,0.000625,4.61849263509,30.4407035748,9.40121144056,2.5,8.89772081375
55,30.9069228252,0.000625,4.61016661326,30.4042486588,9.27103465796,2.5,8.76276904345
56,31.0756371737,0.000625,4.62252152761,30.5779646039,9.56489491463,2.5,9.05284035206
57,30.9005008141,0.000625,4.61545422872,30.4013050636,9.44666856527,2.5,8.93342334032
58,30.9371801217,0.000625,4.62424303691,30.4398732424,9.17318791151,2.5,8.64988213778
59,30.9300470591,0.000625,4.60879230499,30.4270607551,9.06840705872,2.5,8.54074367881
