epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,417.581309001,0.01,9.20016932487,151.977214917,236.658149719,6.69769477844,51.1091146469
1,236.587717692,0.01,6.66143302917,79.2938544989,140.237136841,2.5000038147,9.36479130387
2,220.850409953,0.01,7.02898788452,73.2118102359,173.822944641,2.50000572205,6.92737615108
3,222.820061239,0.01,7.34750798543,73.9153514783,136.442504883,2.49999856949,7.40040588379
4,214.151990763,0.01,6.47457955678,67.9624068677,172.118362427,2.50002145767,6.85578966141
5,223.487865194,0.01,7.65605583191,74.9629701217,138.102058411,2.49999427795,8.16535824537
6,220.009974162,0.01,7.28755715688,73.8208881636,172.980285645,2.50004720688,8.73601663113
7,222.45663859,0.01,7.05797863007,74.0142906706,139.007606506,2.49997854233,8.11884790659
8,219.071124268,0.01,7.02458585103,72.8257577062,170.993560791,2.50015163422,7.68908280134
9,221.878377279,0.01,7.27260220846,73.5021621982,139.274383545,2.49997520447,7.48143345118
10,148.296932729,0.005,7.24458134969,70.8546842257,100.314365387,2.50000286102,8.53258928657
11,146.102376302,0.005,7.11491540273,71.2912211895,64.187046051,2.49998998642,8.69655230641
12,143.31832606,0.005,7.22018089294,70.9119257132,101.092140198,2.50002384186,9.57889902592
13,145.980919393,0.005,6.94953556061,71.1860097726,64.4855747223,2.49996376038,8.53952077031
14,143.930226898,0.005,6.94672648112,71.4911414067,99.1083488464,2.50002479553,8.08317923546
15,145.904136912,0.005,7.05094827016,71.1418313185,64.343044281,2.49990558624,7.90540021658
16,143.728631846,0.005,7.17209161123,71.2571187655,98.7720832825,2.50002384186,8.23440980911
17,145.877356466,0.005,7.17819957733,71.1475948175,65.6604213715,2.49971532822,8.74207055569
18,108.158324687,0.0025,6.96726671855,70.0389459292,42.4215221405,2.49999904633,8.8220924437
19,106.321789296,0.0025,6.93753999074,69.7391845067,48.4284820557,2.49996995926,8.58699890971
20,106.638417562,0.0025,6.93250535329,69.6454915047,42.0753440857,2.4999871254,8.25303125381
21,106.269328562,0.0025,6.98833128611,69.6734827201,47.8232154846,2.49995708466,8.11053729057
22,106.693190002,0.0025,7.14860432943,69.707248656,42.2002544403,2.49996423721,8.29356443882
23,106.325817108,0.0025,7.0780620575,69.7250167052,48.0403881073,2.49990081787,8.38976228237
24,106.576827494,0.0025,7.12902215322,69.5946871758,42.3112277985,2.49984645844,8.3536016345
25,106.149201711,0.0025,7.15237305959,69.5451954524,48.4548625946,2.49974584579,8.84960156679
26,106.83572286,0.0025,7.00013815562,69.8565407117,42.7129421234,2.49935293198,8.71287569404
27,88.4354363124,0.00125,7.00139662425,69.0057002544,18.4917006493,2.50000047684,8.75874483585
28,86.8166313171,0.00125,6.95381539663,68.9977740129,35.5897006989,2.50006437302,8.61390265822
29,87.8755616506,0.00125,7.05639718374,68.9114741643,18.6384630203,2.49999523163,8.76228305697
30,86.7606519063,0.00125,7.03163350423,68.9329144955,35.6705226898,2.50007677078,8.81267559528
31,87.9093791962,0.00125,7.00525385539,68.9526923815,18.9378695488,2.4999704361,8.96141928434
32,86.9040747325,0.00125,7.02451782227,69.0701152325,35.7529277802,2.50007200241,8.98315149546
33,87.9444431305,0.00125,6.98845876058,68.9934046586,19.1015520096,2.49988698959,9.0458586812
34,77.8773780823,0.000625,6.97722148895,68.6247352759,20.2714047432,2.5,8.99676981568
35,77.9609629313,0.000625,6.94231656392,68.6259984811,16.0601940155,2.49997091293,8.9518339932
36,77.6403874079,0.000625,6.99161345164,68.5836245219,20.2243566513,2.50000143051,8.93331331015
37,77.9660313924,0.000625,6.97738374074,68.6300440152,16.0333058834,2.49994754791,8.93733426929
38,77.6824391047,0.000625,6.99515806834,68.6264268875,20.2002558708,2.50000524521,8.90011110902
39,77.9508046468,0.000625,6.97250703176,68.614329958,15.9970815182,2.49991750717,8.90755900741
40,77.6423670451,0.000625,6.98437226613,68.5867372513,20.204770565,2.50001955032,8.90049639344
41,77.9660473506,0.000625,6.96533953349,68.6293720086,15.9725630283,2.49988937378,8.88530752063
42,77.6980065028,0.000625,6.94348971049,68.6424917221,20.1385216713,2.50008010864,8.83359587193
