epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,1.0,336.662980525,236978.626644,nan,501.333190918,251341.21875
1,nan,1.0,379.479111226,249441.744548,nan,198.814407349,39533.4199219
2,nan,1.0,267.439375559,123084.631958,nan,334.66885376,112009.492188
3,nan,1.0,296.449596087,146667.558339,nan,138.596420288,19215.2177734
4,nan,1.0,340.150237528,183375.839632,nan,35.2749977112,1250.57543945
5,nan,1.0,374.520569865,197157.846094,nan,532.164428711,283205.234375
6,nan,0.5,413.50468928,227192.064498,nan,54.830871582,3012.67443848
7,nan,0.5,156.661534405,39571.4217412,nan,67.2591552734,4530.04394531
8,nan,0.5,241.546765645,81912.6692708,nan,118.299697876,14001.0688477
9,nan,0.5,169.569714991,45058.6573736,nan,190.588607788,36330.2675781
10,nan,0.5,174.243411128,57749.6072611,nan,46.2463874817,2144.97833252
11,nan,0.25,110.748793817,18221.235569,nan,116.511924744,13581.2783203
12,nan,0.25,79.6299697876,9711.72042236,nan,71.7102661133,5148.61230469
13,nan,0.25,100.790245183,15114.4862508,nan,20.4567890167,424.730209351
14,nan,0.25,118.565075429,19216.7733968,nan,93.4673233032,8742.390625
15,nan,0.25,87.6202576955,12481.3893054,nan,2.5,6.27012395859
16,nan,0.125,86.593667984,12246.9641439,nan,31.7876062393,1016.7019043
17,nan,0.125,41.0820362727,3467.74088108,nan,2.5,7.3480168581
18,nan,0.125,52.2976096789,6452.66823932,nan,7.66690254211,65.0313940048
19,nan,0.125,70.8338307699,8287.0661876,nan,28.4364852905,814.88369751
