epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,394.648521932,0.01,9.5279994607,122.779443185,205.795059204,8.69742012024,81.895116806
1,141.583087158,0.01,5.84763396581,49.8033040593,78.6572341919,2.5,9.91039763391
2,91.5191652934,0.01,4.69967034658,32.0338036746,58.4347457886,2.5,6.34789800644
3,83.9484975179,0.01,4.68504594167,32.609098082,61.9773235321,2.5,10.5553157404
4,80.2575576782,0.01,4.70974089305,31.2995269577,61.2251319885,2.5,8.84632894397
5,79.2713597616,0.01,4.72318808238,31.316897734,57.8550014496,2.5,8.94535052776
6,80.7844479879,0.01,4.7059062322,32.4632007346,55.221157074,2.5,7.23256325722
7,78.5276252747,0.01,4.61515076955,30.7350937247,57.6822795868,2.5,9.21141335368
8,80.3387517293,0.01,4.83328062693,32.5549116274,59.0512161255,2.5,9.29205319285
9,79.159307607,0.01,4.66801052094,31.1823408326,56.0259647369,2.5,9.02959135175
10,79.6623451233,0.01,4.73745307922,32.213084469,57.608745575,2.5,10.034559533
11,80.0214253743,0.01,4.67933006287,32.4028224717,55.6241340637,2.5,6.5459395647
12,80.9695164998,0.01,4.55617624919,33.1970389535,62.3354434967,2.5,11.0737610199
13,65.5901117961,0.005,4.85752429962,33.1944707394,34.370967865,2.5,8.84966129065
14,55.0799892426,0.005,4.71181716919,31.4792857965,31.4729137421,2.5,8.23982125521
15,51.9518057505,0.005,4.63959789276,30.5640638351,30.1267461777,2.5,9.86188320816
16,52.0991124471,0.005,4.71560560862,31.6423114536,31.3995189667,2.5,10.9554867856
17,51.1025352478,0.005,4.74630552928,30.9415925344,28.3887176514,2.5,7.94542777538
18,50.9077056885,0.005,4.60218874613,30.8061159094,28.5376358032,2.5,7.84472680092
19,52.2409207662,0.005,4.63867327372,31.9835703656,27.1014108658,2.5,7.01734519005
20,51.0553586324,0.005,4.64777189891,31.0146774054,30.3311100006,2.5,9.93862721324
21,51.7123195648,0.005,4.6834086736,31.4842190822,29.840054512,2.5,9.12281751633
22,50.8896976471,0.005,4.62264289856,30.5941398382,29.2006044388,2.5,8.76291406155
23,51.7347787221,0.005,4.70443248749,31.7333670472,30.9474668503,2.5,10.9425613508
24,50.976440684,0.005,4.66024843852,30.8155488769,29.8202085495,2.5,9.76823616028
25,50.5147120158,0.005,4.62196960449,30.3817170342,28.8873405457,2.5,8.56883993745
26,45.4689458211,0.0025,4.64491106669,31.0513211409,20.4402494431,2.5,7.54753386974
27,42.4448297501,0.0025,4.59202785492,30.8366880516,19.6097617149,2.5,7.58973860741
28,40.8672280629,0.0025,4.60179328918,30.3213043054,19.2124047279,2.5,8.61159998178
29,40.8378767649,0.0025,4.63127504985,30.6580132643,19.4578747749,2.5,8.85620054603
30,40.7817497889,0.0025,4.62431659698,30.6681954702,18.8536376953,2.5,8.64828333259
31,40.9259564718,0.0025,4.64812819163,30.803569444,20.3110799789,2.5,9.62524498999
32,41.0319859823,0.0025,4.65555973053,30.8930721442,19.4135084152,2.5,9.01214140654
33,41.1824422836,0.0025,4.64996547699,31.1225011746,19.1610174179,2.5,8.31325155497
34,41.4111393611,0.0025,4.70656305949,31.3101866623,20.0722827911,2.5,9.74202866852
35,41.095893987,0.0025,4.67599143982,30.9584516366,20.6391320229,2.5,9.65085922182
36,40.6671596527,0.0025,4.62131150564,30.6297217449,18.7257475853,2.5,8.25996762514
37,40.8886140823,0.0025,4.62036457062,30.7629548907,18.4199643135,2.5,8.11053347588
38,41.000839297,0.0025,4.64142913818,30.9145229419,18.7922067642,2.5,8.57879206538
39,40.8563070297,0.0025,4.62603867849,30.7030961474,19.1460022926,2.5,8.48757171631
40,40.5580820719,0.0025,4.6174229304,30.5503133694,19.1238031387,2.5,8.71429139376
41,40.7368279775,0.0025,4.63242670695,30.5857939204,19.5196328163,2.5,9.08916199207
42,40.507222112,0.0025,4.62742735545,30.5027584632,19.8959178925,2.5,9.2280125916
43,41.0249307632,0.0025,4.66049054464,30.8648800651,19.7744932175,2.5,9.22681376338
44,37.6418083191,0.00125,4.61731255849,30.3890267213,15.228910923,2.5,8.96828991175
45,36.2529195468,0.00125,4.62298151652,30.4675526738,15.0452635288,2.5,8.98145964742
46,36.2128909747,0.00125,4.6430785497,30.8659737746,13.4503207207,2.5,8.26206892729
47,35.6997479757,0.00125,4.62568562826,30.5426522017,14.1862175465,2.5,8.76602998376
48,36.096329689,0.00125,4.66377925873,30.9970121026,13.4991321564,2.5,8.19270431995
49,35.6280353228,0.00125,4.61477120717,30.4483137886,14.1151628494,2.5,8.76719173789
50,35.67843949,0.00125,4.61794452667,30.5437922398,13.6557826996,2.5,8.47127616405
51,35.7484041214,0.00125,4.62284692128,30.6158876697,14.1092526913,2.5,8.7580063343
52,35.9536537806,0.00125,4.66227798462,30.8425455928,14.5742702484,2.5,9.24915128946
53,34.0574635665,0.000625,4.61830113729,30.3975257119,12.1673915386,2.5,9.08275717497
54,33.24116834,0.000625,4.6178030014,30.4114421487,11.7229685783,2.5,9.08577603102
55,33.0646743298,0.000625,4.62130241394,30.4991930604,11.3337926865,2.5,8.76045060158
56,32.9887358507,0.000625,4.61996142069,30.4810207844,11.3627011776,2.5,8.85471361876
57,32.9345089753,0.000625,4.61439005534,30.4567099293,11.3167654276,2.5,8.71213898063
58,32.8319014231,0.000625,4.60706437429,30.3508647362,11.3020122051,2.5,8.78667527437
59,32.8703289032,0.000625,4.60926087697,30.3776823958,11.3190159798,2.5,8.78826075792
