epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,1058.74440918,0.01,10.5920523286,180.893812983,538.172302246,11.1584115028,130.759819031
1,418.32639974,0.01,9.18393457731,148.664643602,271.150939941,8.68224382401,81.6313552856
2,272.077554321,0.01,7.84844120344,112.23208278,168.934410095,5.40847563744,35.5016078949
3,205.813702901,0.01,6.52450033824,74.3441876672,146.449905396,2.88966608047,14.6001681387
4,195.454356893,0.01,6.55683759054,70.2195548137,145.400741577,2.5,11.3415398803
5,198.440897624,0.01,7.52051423391,76.3410551012,136.803791046,2.49999952316,9.73267868161
6,191.587757874,0.01,6.78241373698,68.1301481038,132.167850494,2.49999952316,7.0836738348
7,192.896422323,0.01,7.21412328084,71.0775007327,134.303325653,2.50000143051,11.4929651003
8,185.565872701,0.01,6.22386379242,63.9038449049,136.516090393,2.50000047684,8.4065439105
9,193.876710002,0.01,6.94374631246,72.3770909945,127.583744049,2.5,6.42230248451
10,195.985489909,0.01,7.69978618622,75.1729924122,128.516616821,2.50000143051,6.72248589993
11,183.124408976,0.01,6.56437911987,61.9446308295,128.952323914,2.49999523163,7.8471827507
12,199.735723877,0.01,7.89034929276,78.2822100321,139.60723114,2.49999904633,8.27977275848
13,197.012667847,0.01,7.49500894547,76.3100470583,135.887626648,2.50000143051,8.05923420191
14,184.792041016,0.01,6.96460730235,64.2714168866,130.964500427,2.50000715256,8.57942065597
15,202.010065206,0.01,7.34040190379,80.999813652,124.236625671,2.49999427795,6.97535252571
16,196.905791219,0.01,7.5280506134,76.8704429547,132.785446167,2.49999380112,8.92248570919
17,191.926196798,0.01,7.21898409526,72.0842954755,132.452274323,2.49992370605,11.5918423012
18,183.099012248,0.01,6.57720692952,63.0056433936,134.30247879,2.49997663498,8.72748169303
19,186.211477153,0.01,6.47104899089,65.8474379341,129.502288818,2.5001540184,7.96339380741
20,178.764544678,0.01,6.3773660024,59.0151163022,136.520050049,2.50005531311,7.41421604156
21,185.943523661,0.01,6.86698716482,66.4651495631,130.223205566,2.49978971481,7.7088893652
22,165.52419637,0.005,7.86503505707,83.101320521,73.0727958679,2.499979496,7.1273907423
23,134.959861755,0.005,6.96472670237,74.818034846,67.6093425751,2.50000190735,8.45521080494
24,126.072945913,0.005,6.71488777796,71.1389384866,64.5483932495,2.50000572205,8.38791304827
25,131.759039052,0.005,7.66317087809,77.6515311559,62.0291233063,2.49999713898,8.65836149454
26,128.323653412,0.005,7.27128111521,75.1165816704,64.5273227692,2.49999856949,8.75329706073
27,121.983507792,0.005,7.23441181183,68.452123944,65.1620025635,2.50000047684,9.75712640584
28,118.286481984,0.005,6.69227466583,64.8280979118,63.3142719269,2.49995231628,8.68794733286
29,128.39960734,0.005,7.08839187622,75.0566670716,63.2267036438,2.50001239777,8.4639955163
30,117.33508021,0.005,6.89206441243,64.2725718339,63.5915203094,2.49997234344,8.06020635366
31,130.662148031,0.005,7.39451147715,76.5172458569,61.7162818909,2.50000476837,8.23948454857
32,111.885285187,0.005,6.33662316004,59.1934007923,63.5054416656,2.50004291534,7.82864296436
33,129.090706635,0.005,7.28316771189,75.5390647809,60.5556545258,2.49998950958,7.64019292593
34,125.906931051,0.005,7.39359385173,72.8643229475,62.6024360657,2.5000576973,7.43970233202
35,115.805039469,0.005,6.40180870692,62.5479505649,61.5557193756,2.50015735626,7.51275581121
36,130.377322133,0.005,7.70644181569,77.3304014206,63.3352203369,2.50065374374,7.47986239195
37,117.920648956,0.005,6.80373821259,64.4399710139,60.3849468231,2.4998884201,7.42925357819
38,110.824641927,0.005,6.53630793889,57.9856479049,63.573507309,2.49976634979,7.57378667593
39,128.843466949,0.005,7.24745445251,75.4739941796,61.7573204041,2.50019311905,8.26387488842
40,136.083078257,0.005,7.07898000081,83.0430056586,62.8706321716,2.49956941605,8.24147576094
41,124.260617065,0.005,7.26531639099,71.1200541814,60.8554725647,2.50024318695,8.34893077612
42,120.749355316,0.005,6.77506240209,67.8516530099,65.2739963531,2.49889993668,8.20502454042
43,128.552012634,0.005,7.38558705648,75.5282136599,62.083114624,2.49936246872,8.94011688232
44,120.980346171,0.0025,7.38305784861,83.6822087646,41.4288864136,2.49999666214,9.39182934165
45,91.8473640442,0.0025,6.60460364024,62.2779980848,39.216588974,2.49995565414,8.80292522907
46,101.286060969,0.0025,6.97701066335,73.7088521898,36.7644882202,2.49998092651,8.45049142838
47,102.303926722,0.0025,7.36902955373,75.2032975197,36.7108278275,2.4999961853,9.18844601512
