epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,654.251410929,0.01,9.87617107232,166.156686648,303.151489258,9.08902645111,88.8603973389
1,221.379181925,0.01,6.99996733665,90.5945584834,97.6309394836,3.14565849304,16.1451678276
2,136.942410787,0.01,7.45172640483,73.2014750163,54.6719455719,2.5,6.26836442947
3,117.414927673,0.01,7.45560703278,72.1953012784,52.8565921783,2.5,8.6452511847
4,112.655314128,0.01,7.294151179,71.4974257787,48.4925994873,2.5,7.64777374268
5,109.433970642,0.01,6.91902198792,70.3979560057,51.6502971649,2.5,11.4419989344
6,110.132246399,0.01,6.88649336497,70.8514892737,46.8782596588,2.5,8.4793766737
7,108.198591105,0.01,7.18819961548,69.7209206899,46.7065124512,2.5,7.40981948376
8,108.261950684,0.01,7.07947794596,69.0852102915,47.9624271393,2.5,8.47042065859
9,111.939679718,0.01,7.45486323039,73.4354964892,48.1488208771,2.5,8.8925691247
10,109.297648875,0.01,6.87804508209,70.5071030696,51.0214958191,2.67567539215,13.4092383329
11,108.158983103,0.01,6.82244415283,69.6089758078,48.7989578247,2.5,8.86173370481
12,108.890241496,0.01,7.14677213033,70.0188624064,46.3897132874,2.5,7.03389561176
13,108.303196462,0.01,7.24233614604,69.8770807584,48.0075817108,2.5,7.37438130379
14,108.324272919,0.01,7.08330459595,69.3210974216,47.1910591125,2.5,9.1794680059
15,113.221825663,0.01,6.91283925374,74.7127078633,52.9224681854,2.78671646118,14.0157888345
16,120.128094991,0.01,7.90667215983,81.3483218511,44.8725376129,2.5,6.25006341934
17,110.759965007,0.01,7.30756251017,72.2010528882,48.5249900818,2.5,9.05497726798
18,118.804759216,0.01,6.86686388652,80.1908155332,56.1725177765,3.36819458008,17.5947344601
19,109.448589579,0.01,6.94155947367,70.8801599568,46.1084442139,2.5,6.59365677834
20,113.637430064,0.01,7.31071497599,74.8141273499,49.8549861908,2.5,10.6016722769
21,107.881085968,0.01,6.85475317637,69.4290859699,48.8938884735,2.5,9.28335312009
22,108.780051676,0.01,7.34916598002,70.0339221319,45.0206050873,2.5,6.28805494308
23,98.5945307414,0.005,7.34869855245,72.2366533915,29.8191719055,2.5,8.02674472332
24,88.8374895732,0.005,7.07542819977,68.9402715365,28.2492694855,2.5,7.93183523417
25,90.1471154531,0.005,7.41294816335,71.8242721558,24.5543527603,2.5,6.84569454193
26,88.1038759867,0.005,7.16597817739,70.4659509818,26.7468957901,2.5,8.93541777134
27,88.6468976339,0.005,6.97857494354,71.188465031,27.1654644012,2.5,9.57890868187
28,87.8968589783,0.005,7.22434622447,70.3581138452,25.2828140259,2.5,7.1305180788
29,86.4100414276,0.005,7.21697654724,68.9233452161,25.0770359039,2.5,7.416197896
30,86.2855309804,0.005,7.04866364797,68.8310943604,26.7159252167,2.5,8.65841153264
31,87.9755156199,0.005,6.97678464254,70.5232312838,27.2467651367,2.5,9.52165672183
32,81.4253162384,0.0025,7.01743367513,68.9583919048,19.2329096794,2.5,8.45599740744
33,78.2393946966,0.0025,7.0065776825,68.5366837184,17.9893684387,2.5,8.47428441048
34,77.2491945267,0.0025,6.99559542338,68.4320716063,17.6120848656,2.5,8.75251251459
35,77.130765152,0.0025,6.97046235402,68.5182995478,17.490755558,2.5,8.88127014041
36,77.0126497269,0.0025,6.98976523081,68.5057281971,16.987654686,2.5,8.28573036194
37,77.377879715,0.0025,7.10058180491,68.8222230593,16.4672980309,2.5,7.75021463633
38,76.9986529032,0.0025,7.06935850779,68.4417087237,16.8785672188,2.5,8.14150625467
39,77.8381224314,0.0025,7.16155236562,69.3358005524,16.490541935,2.5,7.73261660337
40,77.2048430761,0.0025,7.04263623556,68.6928368727,17.5204110146,2.5,8.60097792745
41,77.1504037857,0.0025,7.018126297,68.5790280024,16.876616478,2.5,8.18359655142
42,77.6815598806,0.0025,7.02381102244,69.1865779241,18.0537595749,2.5,9.25246220827
43,77.4010098139,0.0025,6.98957373301,68.8681223234,16.5839352608,2.5,8.16019541025
44,74.7705637614,0.00125,7.09275226593,68.783755525,13.176889658,2.5,7.91699707508
45,73.3962483724,0.00125,7.05287342072,68.6059449832,13.3203885555,2.5,8.46464055777
46,72.8706141154,0.00125,6.99873886108,68.4228685856,13.0337295532,2.5,8.65431654453
47,72.8237481435,0.00125,7.02844937642,68.5187727292,12.6757645607,2.5,8.2350834012
48,73.0426558177,0.00125,7.08193594615,68.7546671549,12.2996966839,2.5,7.89003556967
49,72.8017624537,0.00125,7.05389817556,68.5051722209,12.7998886108,2.5,8.44702333212
50,72.6281888962,0.00125,7.01052786509,68.3245446841,12.7501497269,2.5,8.38427722454
51,72.8685278575,0.00125,7.01692810059,68.5857438723,12.9312133789,2.5,8.49229902029
52,72.9353999456,0.00125,7.05539925893,68.6542041461,12.4819841385,2.5,8.04364305735
53,72.9142684937,0.00125,7.05127983093,68.6073845545,12.7684640884,2.5,8.27504140139
54,72.8415505409,0.00125,7.01279551188,68.55518109,13.0067141056,2.5,8.60764151812
55,71.3779081027,0.000625,6.99958756765,68.2934115251,11.08951056,2.5,8.47084981203
56,70.7045089722,0.000625,7.00943133036,68.2658124606,10.8810542822,2.5,8.47900086641
57,70.4802409808,0.000625,7.00455996195,68.263914299,10.7708741426,2.5,8.52003982663
58,70.4419620832,0.000625,6.99900201162,68.2744053364,10.7109260559,2.5,8.51955145597
59,70.4844360987,0.000625,7.005149587,68.3496262232,10.8017657995,2.5,8.58420994878
