epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,190.854118061,0.01,10.4645925124,178.959974786,133.987304688,11.0500807762,128.353431702
1,138.305718613,0.01,9.13269055684,134.418996286,74.3162727356,8.07819032669,71.5074968338
2,105.388056024,0.01,7.5165403684,102.955218273,34.3930969238,5.10386371613,32.2994763851
3,83.2742032846,0.01,6.76722675959,81.2114597977,15.0617079735,2.59843873978,13.0018193978
4,70.354145511,0.01,6.66416158676,68.3883066773,10.7989782095,2.49996328354,8.68732199073
5,70.9092178663,0.01,6.74285564423,68.9856382494,11.1195858717,2.49999761581,9.15344151855
6,85.4994308472,0.01,7.38270791372,83.5644348463,10.2348350286,2.49989557266,8.29498279095
7,82.033275032,0.01,7.44803225199,80.116699475,11.9252932072,2.50011491776,10.011995554
8,90.6097686609,0.01,8.25511144002,88.69601897,10.695392251,2.5001206398,8.68080624938
9,68.5304094315,0.01,6.58150100708,66.6090902189,11.4657595158,2.50014448166,9.57937502861
10,62.9625409365,0.01,6.02098487218,61.0615506341,10.34635818,2.5000166893,8.42619210482
11,82.8584363063,0.01,7.5459274292,80.9492534999,8.89025497437,2.49992990494,6.94922494888
12,69.8622542063,0.01,6.9938926061,67.9481946285,9.37283921242,2.50108385086,7.31313097477
13,73.4898751895,0.01,7.24216105143,71.5817162037,12.9781540632,2.5001206398,10.974002786
14,69.7746400595,0.01,6.48037770589,67.8467904677,13.2038624287,2.50051021576,11.2995876558
15,82.5779533863,0.01,7.06114292145,80.6649123788,10.0289903879,2.49568080902,8.17422801256
16,69.7115032196,0.01,7.18942750295,67.8172300339,9.79800903797,2.49688673019,7.82903891802
17,73.1428912481,0.01,7.57716960907,71.231425794,9.67324364185,2.50295495987,7.7608602047
18,86.2590799491,0.005,7.69663505554,84.9562191645,10.5192303658,2.49957275391,9.46845507622
19,85.1785268307,0.005,7.11797809601,84.224506877,9.56505250931,2.50058746338,8.58853402734
20,77.602578334,0.005,6.8754477183,76.7197741074,10.2026409507,2.50003004074,9.34257495403
21,70.3875817696,0.005,7.12439886729,69.5456830452,8.65764296055,2.49875736237,7.83635091782
22,73.4365790566,0.005,7.07281560898,72.5948173272,9.03041124344,2.49580764771,8.18369936943
23,67.9830079079,0.005,6.46460730235,67.1440631023,9.30789726973,2.5,8.45720124245
24,86.708067735,0.005,7.9723323822,85.8697701454,10.3237525821,2.50470685959,9.44673556089
25,58.2441325506,0.005,5.98090368907,57.4072114905,10.7333271503,2.49756288528,9.87168049812
26,83.2609802802,0.005,7.62615470886,82.4252099377,10.2395901084,2.50142192841,9.39120492339
27,78.6624271433,0.005,6.97442859014,77.8162678911,11.8975757957,2.50873994827,11.0339092575
28,76.444832027,0.0025,6.66257575353,75.8351815023,10.4362270236,2.49953889847,9.916517362
29,78.5280205011,0.0025,7.14686183929,78.0469471256,10.0613349676,2.50220966339,9.57376135886
30,84.1754085461,0.0025,7.64950669607,83.7314714273,9.61934614182,2.49876356125,9.17512398958
31,73.0813829899,0.0025,6.92024892171,72.6554094493,10.5592061281,2.50001049042,10.1202186346
32,60.953060023,0.0025,6.78694766363,60.5265117168,9.80545854568,2.4938659668,9.37118625641
33,66.8978065093,0.00125,6.82624451319,66.5966368039,9.91592258215,2.50009822845,9.66561457515
34,76.0477966309,0.00125,7.39717216492,75.809398365,9.98233669996,2.4998755455,9.75358401239
35,65.339404424,0.00125,6.8080083847,65.1263217688,9.73663628101,2.49925994873,9.51987223327
36,70.7857768138,0.00125,6.4146030426,70.5770899313,9.81800070405,2.50071954727,9.60497483611
37,68.5108602355,0.00125,6.59596935908,68.3057949716,9.31442573667,2.49867868423,9.10337734222
38,66.4481229901,0.000625,6.65944245656,66.2982410034,9.21659135818,2.49994850159,9.08534801006
39,80.0549352447,0.000625,7.48866761525,79.9358856678,9.25574299693,2.50015830994,9.1360168159
40,80.8000366757,0.000625,7.13555746078,80.6911664526,9.30111560225,2.5000538826,9.19193863869
41,78.7652543108,0.000625,7.43890813192,78.6597485463,9.3042486012,2.49981498718,9.19380167127
