epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,196798.756598,0.589851,160.611321863,44324.4168536,30279.2236328,173.99130249,30279.2236328
1,105608.591543,0.589851,254.133075047,105602.7178,71876.4609375,267.163101196,71378.4609375
2,125358.670508,0.589851,169.325979996,45092.978654,13261.7392578,93.687166214,10514.197876
3,143985.101139,0.589851,227.683165741,83834.8378621,2019839.25781,1209.12263489,1999219.71094
4,97873.61875,0.589851,155.405410894,39823.1527588,2587386.0625,1521.30645752,2542913.0
5,136513.672656,0.589851,202.236588796,77048.0503618,395291616.0,19876.2734375,395233504.0
6,120482.933333,0.589851,205.632954152,60619.9627584,416888928.0,20319.3544922,416827296.0
7,125644.008854,0.589851,194.157804743,66036.5128825,3025669728.0,50397.1767578,3025608672.0
8,112454.588021,0.589851,195.378422038,53133.7278524,1479176672.0,36674.5957031,1479116416.0
9,105395.09349,0.589851,177.876067797,46229.7792419,13805876736.0,117492.617188,13805818368.0
10,132452.569531,0.589851,214.350762939,73342.6643277,4701419264.0,67094.484375,4701360384.0
11,85294.4447917,0.589851,128.998714193,26193.5899592,5949982720.0,76606.2382813,5949924352.0
12,137899.532031,0.589851,230.176560974,78793.9958659,6666971776.0,77702.5585938,6666913152.0
13,138691.497135,0.589851,249.839784495,79580.6382406,4961156864.0,68349.2167969,4961097984.0
14,46812.4022827,0.0589851,150.773207792,36318.830838,2159.71557617,46.3637123108,2155.84313965
15,30962.5996735,0.0589851,142.145372836,30962.2049143,1771.13867188,42.0105781555,1771.13867188
16,22127.8900716,0.0589851,121.89676768,22127.8900716,1294.75421143,35.895740509,1294.75421143
17,31681.1170695,0.0589851,144.860147683,31681.1170695,25.7801958323,4.419298172,25.7801958323
18,20809.5052538,0.0589851,110.271720123,20809.5052538,9692.41552734,98.4183197021,9692.41552734
19,32444.9100464,0.0589851,131.542077001,31583.5520681,5514.45410156,74.1571350098,5505.45068359
20,9220.34412435,0.0589851,73.9890435537,8616.12227783,13862.3354492,116.074497223,13728.987793
21,21432.8632324,0.0589851,130.573919678,20864.0046097,4159826.125,2023.01971436,4159474.75
22,22658.0760417,0.0589851,123.433587646,22071.6902507,5610363.75,2366.33081055,5609832.75
23,18736.7183797,0.0589851,94.649976031,18139.6016921,45930899.0,6444.6784668,45930300.0
24,24171.4611938,0.0589851,128.290231578,23574.2932739,6824726.0,2590.55371094,6824111.5
25,9474.56816813,0.0589851,77.3235962709,8880.29240131,149880468.0,11409.4338379,149879862.0
26,16866.4638102,0.0589851,103.920801036,16274.2726095,393516.824219,476.959648132,392920.251465
27,10570.9074178,0.0589851,84.7482292811,9979.63038651,379992888.0,17793.2583008,379992276.0
28,11464.598877,0.0589851,85.0081691742,10873.5696304,4083179.625,2006.44732666,4082588.5
29,12205.7753143,0.00589851,93.0277643204,12100.8340154,83.9641284943,8.81336021423,83.9253177643
30,9436.37940496,0.00589851,75.0640230815,9436.37556432,65.8250675201,7.71848869324,65.8250675201
31,12650.0101163,0.00589851,93.9840305328,12650.0101163,38.4053239822,5.67056655884,38.4053239822
32,15549.1895011,0.00589851,100.671584765,15549.1895011,37.5756754875,5.59693431854,37.5756754875
33,7581.17041829,0.00589851,80.1261756897,7581.17041829,12.1652080251,2.5,12.1652048146
34,18080.1605469,0.00589851,121.797386678,18071.5480225,13.7764559686,2.72693538666,13.6861048341
35,14400.2498535,0.00589851,107.646187083,14394.2087606,141.42383194,11.567782402,140.088844299
36,10417.0635469,0.00589851,77.2324038188,10411.3751912,16818.7875977,129.654254913,16815.2719727
37,11602.4969747,0.00589851,89.7832798004,11596.6327784,11780.0014648,108.485671997,11774.7016602
38,16873.5541543,0.00589851,96.3931907018,16867.5845459,276703.984375,526.009552002,276697.921875
39,8940.0879549,0.00589851,79.9818559329,8934.11640775,59203.6015625,243.276023865,59197.453125
40,8294.54306424,0.00589851,70.6905258179,8288.60037813,693739.25,832.828918457,693733.25
41,18440.1747327,0.00589851,111.168356768,18434.2528643,151465.492188,389.145751953,151459.554688
42,11440.7922541,0.00589851,92.7682347616,11434.8800069,1453429.75,1205.32653809,1453423.875
43,9860.52814382,0.00589851,75.8335177739,9854.61775208,323845.453125,569.068939209,323839.578125
44,7807.87578252,0.00589851,68.7200864156,7801.96572024,2850091.0,1688.15704346,2850085.25
45,5889.30199629,0.000589851,63.476479276,5888.2531988,170.171718597,12.8031768799,170.171340942
46,6280.08142802,0.000589851,69.2116030375,6280.08142802,150.122768402,11.9946975708,150.122768402
47,9549.02454828,0.000589851,88.1556475004,9549.02454828,121.056156158,10.7147636414,121.056156158
48,11177.8614751,0.000589851,85.4336990356,11177.8614751,110.837142944,10.2267856598,110.837142944
49,7047.23166631,0.000589851,65.9781907399,7047.23166631,116.949462891,10.5213813782,116.949462891
