epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,2577.96927897,0.01,10.428540953,138.416648142,1519.62957764,11.0580940247,128.531490326
1,1223.20551351,0.01,8.84324836731,101.413899994,935.741455078,7.95970535278,69.6069078445
2,917.258048503,0.01,6.68445320129,63.0025893421,827.10256958,4.35692596436,25.2328035831
3,841.761433919,0.01,5.11560525894,35.8296436926,777.921417236,2.5,9.19431766868
4,823.027689616,0.01,5.12243550618,41.5040667474,843.19543457,2.49999904633,10.0056091994
5,819.198111979,0.01,4.87871373494,38.1908014028,741.154602051,2.49999952316,7.54125666618
6,810.990445964,0.01,4.79091714223,32.5400778711,779.650695801,2.49999904633,8.37525081635
7,818.807206217,0.01,4.82589937846,36.8089416625,743.141784668,2.50000190735,9.13987931609
8,803.499943034,0.01,4.79846191406,34.5873018748,812.105926514,2.49999523163,9.35705113411
9,822.289147949,0.01,5.48088579178,37.3552418788,720.64050293,2.49999856949,9.94800205529
10,811.039607747,0.01,5.8098285675,45.6240278095,790.091003418,2.49999809265,10.038038522
11,800.085835775,0.01,3.99611523946,23.8627170713,739.62677002,2.50000524521,7.86769175529
12,798.975398763,0.01,4.83500620524,32.6883585374,826.162750244,2.49999952316,7.48897784948
13,812.183654785,0.01,4.94712772369,34.0880260304,736.012420654,2.50003051758,8.32515507936
14,794.077701823,0.01,4.65064468384,31.6568490474,768.565765381,2.49998569489,9.18023225665
15,810.647599284,0.01,4.75301024119,33.0134567795,715.590454102,2.50002717972,9.32832205296
16,796.266910807,0.01,4.7485596021,36.2310429645,811.248260498,2.4995508194,9.17227178812
17,803.82648112,0.01,4.53131348292,28.9138621295,714.520324707,2.49994039536,7.49223870039
18,799.015657552,0.01,4.85944150289,36.6370075005,795.674865723,2.50039291382,7.90643334389
19,809.801741536,0.01,4.68917287191,35.2908024443,744.523712158,2.49956941605,11.0225890838
20,798.000764974,0.01,4.97689387004,37.4686559121,809.445526123,2.49993419647,11.1803676598
21,812.539668783,0.01,5.17369918823,41.5966494918,716.589202881,2.49876785278,11.3587723933
22,794.004626465,0.01,4.84347254435,34.114536417,790.770324707,2.50055360794,9.19823285937
23,806.185742187,0.01,5.02061386108,35.7806905305,732.163146973,2.5010638237,8.51894885302
24,539.417681885,0.005,4.71395594279,37.6162706974,408.854934692,2.49999380112,8.43604075909
25,398.102561442,0.005,5.02979609172,31.9663457314,383.902893066,2.49992609024,7.75956171751
26,366.323109945,0.005,4.63102766673,30.1356780469,334.259750366,2.50011634827,8.8205319345
27,370.480523682,0.005,5.01821772257,35.0267779926,303.129211426,2.50000762939,9.22734284401
28,352.975126139,0.005,4.53989432653,31.3576643026,336.99961853,2.50016212463,8.06613457203
29,362.241746012,0.005,4.75173085531,35.4552795487,344.384185791,2.49985361099,8.38028770685
30,359.289335124,0.005,4.95287214915,35.575310452,349.450027466,2.49912309647,9.58401583135
31,359.965065511,0.005,4.41542263031,30.8977616663,354.833023071,2.49978065491,10.6437855959
32,353.356400553,0.005,4.75071722666,34.6025445461,340.628295898,2.50004148483,10.708198078
33,374.107961019,0.005,5.34258066813,38.6710740666,310.434173584,2.50108766556,11.2809563205
34,247.914853923,0.0025,4.35440670649,26.8469455262,218.29712677,2.4999370575,9.7407874465
35,222.67893575,0.0025,4.9842657725,35.3726213967,203.260726929,2.50001478195,9.14148879051
36,216.629041545,0.0025,5.34777800242,42.6932195461,185.047973633,2.49993419647,9.39737331867
37,191.988326009,0.0025,4.1776439031,23.5803319097,183.825431824,2.49988174438,9.15384849906
38,200.729966227,0.0025,4.88987007141,32.4728592396,179.675918579,2.50011062622,9.60210259259
39,215.223575846,0.0025,5.64778270721,45.4745971421,167.512817383,2.50000619888,9.98501247168
40,197.900372314,0.0025,4.4083457311,28.2785929263,171.941467285,2.49999809265,10.5808507204
41,207.013706462,0.0025,5.53301633199,39.3247625987,188.549079895,2.49942111969,9.41731444001
42,196.542246501,0.0025,4.67322270075,29.3064867695,186.471588135,2.50107240677,9.73692315817
43,203.842047119,0.0025,5.10144704183,33.8736851586,182.666732788,2.49928665161,9.09190154076
