epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,11462.3967491,0.299203,42.7494383812,2878.82186483,1104.47042847,33.139374733,1104.46813965
1,2892.70277236,0.299203,42.4872042974,2841.75362107,37992.2167969,188.211372375,35517.9404297
2,5108.03257853,0.299203,19.5574041367,534.41986173,1756.08422852,27.2349681854,869.528396606
3,4105.19012451,0.299203,18.5768664201,506.636157111,32628.6494141,174.100067139,30324.2998047
4,8453.66038411,0.299203,64.444084549,4958.43909098,135122.537109,297.668888092,131743.990967
5,5079.6242513,0.299203,30.1928334554,1581.40202777,2645150.0625,1609.70770264,2641485.5625
6,7705.06430664,0.299203,59.0986389796,4233.33957418,1729233.9375,1307.01928711,1725619.1875
7,5906.55703125,0.299203,41.3984022141,2460.98278873,437814.640625,657.635162354,434297.890625
8,6587.71337891,0.299203,45.2704330444,3156.28027821,5783026.75,2365.56689453,5779571.875
9,6872.2120931,0.299203,49.7914235433,3445.84245644,26609414.5,5018.14526367,26605985.5
10,9321.01741536,0.299203,65.0172691345,5895.48196211,22947626.0,4329.42248535,22944202.75
11,8240.44256185,0.299203,57.9988049825,4814.48161011,116580338.0,10319.9711914,116576914.0
12,2400.16139348,0.0299203,35.0066147486,1792.28965269,14.1052074134,2.76242256165,13.8809644654
13,657.964107336,0.0299203,20.987730058,657.941182384,247.578102112,15.5347385406,247.578102112
14,1792.07593505,0.0299203,33.4690121015,1792.07593505,145.726875305,11.8100328445,145.726875305
15,673.378442891,0.0299203,22.6735397975,673.378442891,359.006546021,18.7818145752,359.006546021
16,1262.36374181,0.0299203,30.4764876048,1262.36374181,27.0523512363,4.56095790863,27.0523378849
17,936.436248779,0.0299203,22.7091816584,886.50336717,90.5911979675,9.15533685684,90.0696468353
18,1592.80443014,0.0299203,33.5199843725,1557.77789956,300.936912537,16.9202642441,293.208641052
19,573.23273557,0.0299203,18.1567452113,540.257161558,8642.68896484,92.8554992676,8622.31591797
20,991.330509186,0.0299203,24.3506867727,957.338977528,41020.6289063,201.679977417,40989.9023438
21,1165.47244975,0.0299203,23.7755434354,1130.85868405,99112.3828125,314.613540649,99077.265625
22,965.415158335,0.0299203,26.1240510623,930.79835879,211366.476563,456.505218506,211330.851563
23,597.669613902,0.0299203,19.3397022247,563.220387061,282414.304688,531.040618896,282379.242188
24,538.545941401,0.00299203,19.7432489236,532.309764083,79.0481681824,8.53204536438,79.045797348
25,589.953345966,0.00299203,20.7906656106,589.953105942,12.3308016241,2.5,12.3308016241
26,610.092216509,0.00299203,19.7637830734,610.092216509,41.018257618,5.89646148682,41.018257618
27,688.347098732,0.00299203,20.9817008018,688.347098732,8.41843813658,2.5,8.41843813658
28,609.296071762,0.00299203,19.8609672228,609.296071762,7.72393214703,2.5,7.72393214703
29,1034.04422805,0.00299203,27.6153394699,1033.54433505,7.16777968407,2.5,7.16275012493
30,654.998381837,0.00299203,20.5574993134,654.648779488,19.7755566239,3.66752767563,19.6992027164
31,546.554671605,0.00299203,19.1441494306,546.225704606,6.46507048607,2.50181007385,6.264285326
32,622.645803781,0.00299203,19.9428200245,622.30658962,46.0838017464,6.30479598045,45.7799196243
33,664.286263518,0.00299203,19.0092234294,663.940452435,9.47851622105,2.52962875366,9.12931865454
34,679.755359014,0.00299203,21.7534064611,679.409299914,99.0706710815,9.6520216465,98.714931488
35,152.518864135,0.00299203,9.60853995482,152.174379852,124.179836273,10.828119278,123.829105377
36,396.870903778,0.00299203,17.1626487414,396.527615643,71.4980869293,8.14535713196,71.1521816254
37,756.902397843,0.00299203,22.6218638659,756.559594461,392.598999023,19.631067276,392.255615234
38,660.815367635,0.00299203,20.9594446182,660.472763697,131.185054779,11.2721819878,130.842502594
39,637.731252416,0.00299203,20.9659348806,637.38864158,601.416397095,24.3738002777,601.073989868
40,459.727761523,0.00299203,18.1331723849,459.385151482,413.964767456,20.2898035049,413.622268677
41,563.722707842,0.00299203,17.7835566521,563.38005942,1129.9019165,33.5168323517,1129.55932617
42,313.146494961,0.00299203,13.9424393018,312.803836123,984.475860596,31.3612651825,984.133239746
43,680.531310344,0.000299204,19.4036112785,680.470468886,32.805570364,5.15320730209,32.8055458069
44,671.68082749,0.000299204,20.9631564458,671.680825583,29.4723036289,4.81895256042,29.4723036289
45,396.151865953,0.000299204,16.7382693926,396.151865953,27.2031815052,4.57746458054,27.2031815052
46,370.349479421,0.000299204,16.030085961,370.349479421,24.967058897,4.32632160187,24.967058897
47,344.019817209,0.000299204,14.3422355016,344.019817209,24.1589558125,4.23189735413,24.1589558125
48,378.594761002,0.000299204,15.1078276316,378.589780267,24.4086073637,4.26128578186,24.4085562229
49,330.684840699,0.000299204,14.4011768341,330.68135305,21.7612406015,3.93833303452,21.7604644299
