epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,376.334099833,0.01,10.6172582785,180.360082289,220.295974731,11.2193975449,132.124912262
1,208.033303833,0.01,9.04817680518,142.965307085,127.218219757,8.56432819366,79.5977172852
2,140.346293386,0.01,7.16610074043,98.7942796707,68.5249595642,5.14077377319,32.6775550842
3,114.397800954,0.01,6.49912830989,78.9838431545,48.2049045563,2.55522727966,12.7791863497
4,118.30654246,0.01,7.46206766764,84.4903342498,43.7354259491,2.5,7.71783441305
5,105.281957499,0.01,7.62738628387,72.2714132786,41.8998718262,2.50000047684,8.2122862339
6,110.276700846,0.01,7.36266320546,76.959470129,46.30834198,2.64817285538,13.2628173055
7,97.633824412,0.01,6.3967622757,64.6951835863,42.2144298553,2.50000047684,9.04204562306
8,92.5133087158,0.01,6.60215600332,59.565342444,41.913860321,2.5,7.80353164673
9,113.611514282,0.01,7.42676035563,80.5958091855,41.4842319489,2.5,9.31837078929
10,101.128900401,0.01,6.69261757533,68.410730047,39.7805538177,2.50000143051,7.07447707653
11,113.269910685,0.01,7.66459534963,80.4630720218,41.9164733887,2.50000047684,8.16033643484
12,115.973896535,0.01,7.48300704956,83.0345978548,45.7547245026,2.50000190735,10.5572846532
13,106.04189326,0.01,7.30171254476,73.2684130626,42.6940536499,2.49999475479,8.35983783007
14,115.479272207,0.01,7.10670487086,82.2520854314,41.9517040253,2.49998426437,9.55249150097
15,105.300134532,0.01,7.09489440918,72.4635989308,40.5779628754,2.50002002716,8.42550104856
16,110.591801453,0.01,7.7609369278,77.9721146425,41.0117473602,2.50004816055,7.68971961737
17,108.543417486,0.005,7.80934136709,86.5704051852,26.0413074493,2.5,9.43268838525
18,78.9613564809,0.005,6.45651439031,62.6986580769,24.721159935,2.49999904633,8.65465113521
19,91.9867891947,0.005,7.36812852224,77.21798323,23.0171208382,2.50000095367,8.97251293063
20,85.4030638377,0.005,6.81901041667,70.9995455037,23.0984749794,2.49999856949,8.72854977846
21,77.2107764562,0.005,6.49575500488,63.0434623688,23.6752171516,2.49999904633,9.46728020906
22,89.7620332082,0.005,7.58882255554,75.5372906208,23.6470360756,2.50000333786,8.76958933473
23,87.7982041041,0.005,7.05941937764,73.6278454602,22.669066906,2.5,8.73776426911
24,85.6026421229,0.005,7.07602647146,71.4156971037,23.457403183,2.50000190735,9.23749247193
25,89.2439346313,0.005,7.25249710083,75.0408050378,23.4817552567,2.50000572205,8.94427099824
26,100.959208298,0.005,8.15379587809,86.6592313766,24.5446634293,2.49999952316,10.1896664351
27,82.2080848058,0.005,6.87385546366,68.1006971717,24.5255017281,2.50000572205,10.2400672585
28,82.2038243612,0.005,6.82066027323,68.0087741454,24.1418771744,2.50001525879,9.8302500546
