epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,666.589640299,0.01,10.1618386507,133.95442462,366.252319336,10.2659778595,111.640298843
1,259.321699015,0.01,7.52160272598,79.5985733698,171.388809204,5.05722951889,31.8255701065
2,151.760340373,0.01,4.77752339045,32.9671390125,111.006828308,2.5,7.30824685097
3,135.727567546,0.01,4.51899903615,32.8449165123,111.272094727,2.5,7.18039894104
4,136.128925069,0.01,5.20716114044,36.4964567979,119.046039581,2.5,9.72874306142
5,128.853357951,0.01,4.61386871338,31.0743445953,107.99861145,2.5,7.68103218079
6,134.175363159,0.01,4.87154566447,35.3085911969,109.427318573,2.5,7.96271711588
7,128.766933695,0.01,4.61960506439,31.2774169803,108.021259308,2.5,8.34115612507
8,127.263639832,0.01,4.63188756307,30.1855414291,111.982131958,2.5,10.1926589161
9,132.037582906,0.01,5.12042032878,34.9259734432,103.902069092,2.5,10.326703988
10,128.961472575,0.01,4.53727760315,32.5056757887,105.050292969,2.5,6.43474197388
11,128.443185425,0.01,4.56908092499,31.9483820409,105.303382874,2.5,8.01867890358
12,127.823627726,0.01,4.48533267975,31.7573339184,115.859355927,2.5,9.06623274088
13,129.305185954,0.01,4.84960168203,33.0171795391,110.8399086,2.5,10.0305019468
14,129.641160075,0.01,4.89154351552,33.8182100296,111.620716095,2.5,12.4151506578
15,123.857946269,0.01,4.66006838481,27.9931556145,100.766059875,2.5,6.83893764019
16,130.220904032,0.01,4.85478363037,35.0771289368,106.301490784,2.5,9.48759452999
17,125.160839844,0.01,4.55782184601,30.078169595,106.049331665,2.5,10.7212157547
18,130.660852559,0.01,4.89868221283,35.6597467264,110.448448181,2.5,9.46161234379
19,130.638124593,0.01,4.93336715698,35.1945170641,106.998016357,2.50000047684,8.4556273222
20,121.905271912,0.01,4.2415131251,27.1949269544,113.195430756,2.50000047684,9.73537126184
21,128.596243286,0.01,4.62162596385,33.8749684478,110.209541321,2.50000095367,11.8923471626
22,97.0042897542,0.005,4.59672164917,30.8817188342,62.0317707062,2.5,8.98439562321
23,79.4888158162,0.005,4.98957761129,33.2583978176,53.7405014038,2.5,10.1197605729
24,73.8867411296,0.005,4.553074646,31.5929139687,51.0419464111,2.5,9.01057857275
25,77.602213033,0.005,4.88213736216,35.364672033,52.107049942,2.5,9.9294089973
26,68.5986963908,0.005,4.35785764058,28.1828388413,54.0725097656,2.5,8.89073705673
27,74.3528378805,0.005,4.65914675395,32.3950624824,49.6766586304,2.5,8.69085159898
28,73.5034965515,0.005,4.83385429382,32.9169929663,53.2550048828,2.5,9.88211327791
29,74.3201568604,0.005,4.83417892456,32.7338700851,50.7960071564,2.5,9.26008188725
30,73.3407936096,0.005,4.66458066305,32.6675343618,52.6626834869,2.5,8.90384796262
31,72.7115112305,0.005,4.66743221283,30.7357785702,51.5655536652,2.5,10.6475295499
32,70.4690388997,0.005,4.60394134521,29.9538695892,53.8775138855,2.50000047684,9.92991474271
33,80.4462071737,0.005,5.13388328552,39.1290726997,48.856967926,2.5,7.85832393169
34,74.0803784688,0.005,4.94283078512,33.4119395658,54.669713974,2.49999952316,10.2644322589
35,77.7742993673,0.005,4.88492164612,36.6206743225,50.3343238831,2.50000047684,10.3192403167
36,71.5911471049,0.005,4.52174784342,30.3230809878,52.553527832,2.50000047684,9.75731916726
37,70.7535667419,0.005,4.54796727498,29.8844728621,51.168088913,2.5,9.56810794771
38,70.5433891296,0.005,4.48318824768,29.5351294398,54.5441017151,2.50000238419,8.77665555477
39,71.7724454244,0.005,4.82121136983,31.1750934939,49.1690044403,2.50000143051,8.5909396708
40,58.8834793091,0.0025,4.49133027395,29.1677949985,33.4935693741,2.5,8.31548506021
41,56.3211332957,0.0025,4.68201293945,33.5370322277,30.9945116043,2.5,8.31003934145
42,52.4187076569,0.0025,4.68124955495,31.1808597961,30.6104726791,2.5,9.04626592994
43,52.5410940806,0.0025,4.70529702504,31.6673907677,30.8995018005,2.5,8.83007228374
44,58.0759820302,0.0025,5.00210736593,37.3421833992,30.3826465607,2.50000047684,8.5594599247
45,53.5941743215,0.0025,4.61953633626,32.5851121167,30.3414573669,2.5,9.39092507958
46,54.8021241506,0.0025,4.74661299388,33.9775436359,31.1401662827,2.49999952316,9.824660182
47,49.4142467499,0.0025,4.57585016886,28.6632662324,31.5590848923,2.5,9.60006225109
48,49.1203402201,0.0025,4.76467857361,28.2918341279,31.2104625702,2.50000095367,9.53607705235
49,53.5640920003,0.0025,4.71451384226,32.8030605664,31.8259353638,2.49999952316,9.15468925238
50,53.8623578389,0.0025,4.74036064148,33.0443614006,31.0217761993,2.5,8.97542303801
51,55.8435118357,0.0025,5.13780142466,35.1457128247,29.4764509201,2.49999952316,8.74185654521
52,51.0067330678,0.0025,4.63180834452,30.2441588114,29.5304870605,2.49999904633,8.40421682596
53,52.4229162852,0.0025,4.74377657572,31.6715998878,29.5048103333,2.50000047684,8.02359205484
54,51.250281779,0.0025,4.49274133046,30.6046878468,29.3731479645,2.49999856949,7.89111924171
55,52.6132776896,0.0025,4.47652606964,31.856474487,29.5357398987,2.50000095367,7.88705676794
56,55.1446201324,0.0025,5.06459153493,34.4641549965,30.2533302307,2.50000619888,8.34573638439
57,53.7323471069,0.0025,4.77650794983,33.0012229597,29.9515228271,2.5,8.37228691578
58,55.5431837718,0.0025,5.0552874883,34.8625679115,29.7604389191,2.49999570847,8.66652578115
59,48.4356260935,0.0025,4.32190157572,27.6967900574,29.731306076,2.49999809265,8.41287970543
