epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,146.451015917,0.01,10.4115745902,137.837798365,131.731624603,11.0244569778,127.788650513
1,100.420398744,0.01,8.52932599386,98.165875574,69.8918104172,7.8894636631,68.4936351776
2,49.6511713505,0.01,5.97609389623,48.7252437413,24.4468903542,4.19497585297,23.8478218317
3,33.4216455539,0.01,4.49767335256,32.9015998696,6.96926522255,2.5,6.45849227905
4,36.6921647191,0.01,4.93615322113,36.2910025219,7.02593898773,2.5,6.62115192413
5,40.9135389328,0.01,5.12489153544,40.5082214236,11.5916369557,2.5,11.2029268853
6,26.8769931316,0.01,4.27936439514,26.4778307974,8.45687508583,2.5,8.0485945344
7,37.9244819283,0.01,4.85633246104,37.5146476727,8.81886941195,2.5,8.38397604227
8,35.6493621389,0.01,4.79896138509,35.2207692057,9.42527270317,2.5,9.02205353975
9,27.6890244544,0.01,4.24899794261,27.248509359,8.81302160025,2.5,8.35477912426
10,47.0453948498,0.005,5.44859682719,46.7328150567,9.07921153307,2.5,8.8109690249
11,42.4755421718,0.005,5.40085665385,42.2865468661,11.3758734763,2.5,11.2000454478
12,34.1514309883,0.005,5.24065024058,33.9750701576,12.6550146565,2.50530529022,12.5265548293
13,31.2444817742,0.005,4.43540833791,31.0631191134,12.9989047274,2.57345199585,12.8726555218
14,28.7490549246,0.005,4.14255447388,28.5943820973,11.5508375615,2.5,11.4015381075
15,33.4483881394,0.0025,4.9118874232,33.3244145726,9.79507777095,2.5,9.68660919368
16,24.3355178098,0.0025,4.36427097321,24.231782949,9.60545441508,2.5,9.50706571341
17,25.4696890533,0.0025,4.22694718043,25.3731010586,9.88009093702,2.5,9.77915602922
18,34.9424380193,0.0025,4.92903594971,34.8460290242,10.1139623523,2.5,10.0170774311
19,27.1266875933,0.0025,4.42592837016,27.0280834635,9.7830799818,2.5,9.66448529065
20,33.3890719155,0.00125,5.073818175,33.3059690138,9.62701314688,2.5,9.5655862391
21,35.9193321854,0.00125,5.11496111552,35.8568758249,9.71722438931,2.5,9.65484289825
22,26.3535711527,0.00125,4.54527365367,26.3028717399,9.54229187965,2.5,9.5076469779
23,34.8431331873,0.00125,5.17798856099,34.7927059968,9.4707634449,2.5,9.40563604236
