epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,255.963684845,0.05,8.97495311101,120.07080911,184.46421814,2.98385620117,15.1533981711
1,185.052377065,0.05,7.58484605153,89.2134527524,27.5060930252,2.5,8.85410764813
2,158.785986837,0.05,7.33905121485,76.4014980793,167.058105469,2.5,12.250560343
3,173.831889852,0.05,7.38624226252,83.1297502518,26.099354744,2.5,8.32107824087
4,183.234928385,0.05,8.72267068227,102.170159626,179.046005249,4.50571727753,26.5514881611
5,180.998175303,0.05,7.83710403442,92.8930173414,28.882437706,2.5,11.3174580447
6,144.270780818,0.05,6.66737070084,74.1463018866,118.665092468,2.5,6.43182945251
7,128.87052625,0.05,7.80205869675,79.6891742706,23.1845040321,2.5,8.35601609945
8,113.558936818,0.05,7.39114030202,79.795299458,64.2641868591,2.5,8.86036866903
9,124.929488118,0.05,8.3772913297,88.4608435949,43.4611911774,4.73104190826,28.6327579021
10,117.001744334,0.05,7.11695744197,83.2381285354,133.273189545,8.46282196045,77.869354248
11,138.064427948,0.05,7.81857102712,101.595792597,21.1170539856,2.5,6.28862047195
12,131.290723801,0.05,7.91456529299,97.527110723,549.070648193,22.0775184631,493.6668396
13,149.140892156,0.05,8.84503655434,112.67224293,34.6360225677,3.68206310272,19.80758816
14,134.735769844,0.05,7.86775042216,100.972157527,650.752685547,24.27135849,595.348846436
15,123.358026822,0.05,7.54691095352,86.8893914084,32.1014399529,3.32009124756,17.273006171
16,127.85567627,0.05,8.27738164266,94.0920559883,2539.7947998,49.7809295654,2484.39099121
17,128.047394307,0.05,7.95256528854,91.5787582914,74.1253128052,7.28332901001,59.2968797684
18,112.372804769,0.025,8.11246274312,94.9967083534,72.7875175476,6.6789188385,50.8579549789
19,113.228423246,0.025,9.02942422231,95.3789186398,21.4009180069,2.5,8.21436202526
20,122.200185331,0.025,8.27720333735,104.933554149,85.9418010712,7.60014724731,64.0122394562
21,106.951536433,0.025,7.71661154429,89.1020338049,23.2168083191,2.5,10.0302490145
22,121.653914007,0.025,8.05258932114,104.38727872,135.598804474,10.3643245697,113.669223785
23,91.6650911649,0.0125,7.70053952535,82.0093537346,14.086792469,2.5,6.43350219727
24,84.3734199524,0.0125,7.34580869675,75.669436121,16.171128273,2.5,6.2663564682
25,104.666631921,0.0125,7.98859624863,95.8125509222,16.6502022743,2.5,8.99691197276
26,86.7637591044,0.0125,7.05017162959,78.0597770095,18.2382364273,2.5,8.33346539736
27,83.2658010165,0.0125,7.5543703715,74.411723125,18.109442234,2.5,10.4561532438
28,91.0039794922,0.0125,7.32208544413,82.2999941349,17.7331733704,2.5,7.82840240002
29,75.5157880783,0.0125,6.89784561793,66.6617077589,20.7662069798,2.61971664429,13.1129151676
30,75.2388632456,0.00625,6.84879827499,70.6317669178,12.789921999,2.5,8.20335566998
31,72.2854140917,0.00625,6.47395515442,67.8827644666,13.0332994461,2.5,8.84083423018
32,103.647290452,0.00625,8.28601096471,99.2709061205,13.5563714504,2.5,8.96980512142
33,86.405854098,0.00625,7.35664672852,82.0032040263,11.6065816879,2.5,7.41411662102
34,95.1414754868,0.00625,7.27026135127,90.7650916216,12.4132699966,2.5,7.82670390606
35,119.139892356,0.00625,8.65359169642,114.73724332,11.9359130859,2.5,7.74344736338
36,80.9078752836,0.00625,6.94837309519,76.5314965125,12.010229826,2.5,7.42366409302
37,82.6938517888,0.00625,7.01556812922,78.2912015541,11.3912608624,2.5,7.19879508018
38,76.0787723223,0.00625,7.12976290385,71.7023926139,11.3472845554,2.5,6.76071929932
39,64.1136461576,0.00625,6.41937573751,59.7109937469,11.5774102211,2.5,7.38494515419
40,81.0887934049,0.00625,7.00652615229,76.7124119709,12.1020936966,2.5,7.51552855968
41,73.2692510605,0.00625,6.73531446457,68.8665983468,11.5084958076,2.5,7.31603133678
42,81.8203083992,0.00625,6.75822553635,77.4439303711,11.1744513512,2.5,6.58788597584
43,101.25917422,0.00625,7.76948680878,96.8565235516,11.4383072853,2.5,7.24584269524
44,71.5966546059,0.00625,6.24851792653,67.220275132,10.9868578911,2.5,6.40029263496
45,105.250958697,0.00625,8.23054596583,100.848307006,10.9040839672,2.5,6.71161854267
46,58.2932900429,0.00625,5.74384053548,53.9169120262,10.8366537094,2.5,6.25008773804
47,93.6182090759,0.00625,7.87295951843,89.2155572891,10.8336186409,2.5,6.64115333557
48,66.5129891713,0.00625,6.84132321676,62.1366117398,10.8380746841,2.5,6.25150871277
49,81.9027742386,0.00625,7.00701233546,77.5001246134,10.8696529865,2.5,6.67718780041
50,66.4096141497,0.00625,6.6185614268,62.0332360268,10.8387188911,2.5,6.25215339661
51,70.5395691554,0.00625,6.46457818349,66.1369154926,10.5605792999,2.5,6.36811447144
52,66.948158741,0.00625,6.44617897669,62.5717805982,10.8370780945,2.5,6.25051212311
53,86.9661098798,0.00625,7.41724386215,82.563457338,11.397986412,2.5,7.2055208683
54,80.9031732877,0.00625,6.87329130173,76.5267979523,11.8407907486,2.5,7.25422561169
55,92.3232272466,0.00625,7.35367689133,87.9205754624,12.5276324749,2.5,8.33516699076
56,75.6341211001,0.00625,6.9927014033,71.2577382902,11.3544039726,2.5,6.76783871651
57,78.00079422,0.00625,7.32157904307,73.5981443723,11.7795550823,2.5,7.58709049225
58,75.9947258155,0.003125,6.6435227712,73.6667855759,11.5936766863,2.5,9.47261422873
59,76.2698291461,0.003125,7.08764718374,74.0799841036,11.3412457705,2.5,9.07279202342
