epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,174.527174632,0.01,9.96632986069,168.566638488,92.4985675812,9.20096588135,90.9076461792
1,103.531910962,0.01,7.50480435689,102.644996407,19.4179631472,3.58086967468,19.0726315379
2,78.3019173861,0.01,7.37805163066,78.1053999712,6.33481311798,2.5,6.25386238098
3,69.2627584775,0.01,7.40805702209,69.218120416,7.43198752403,2.5,7.4136286974
4,73.6329415003,0.01,7.31418126424,73.6231983503,8.69804134965,2.5,8.69422292709
5,75.8392015274,0.01,6.66863206228,75.837107867,17.3303304017,3.32858371735,17.329470098
6,70.059334449,0.01,6.87849305471,70.0588851968,7.96832442284,2.5,7.96814548969
7,70.6772978465,0.01,7.06670583089,70.6772013346,7.94992542267,2.5,7.94988614321
8,72.2339607239,0.01,7.38939431508,72.2339435895,8.18161273003,2.5,8.18160527945
9,68.9638211568,0.005,7.15202935537,68.9638196627,7.63136404753,2.5,7.63136291504
10,69.4097914696,0.005,7.20602995555,69.4097913742,7.33794510365,2.5,7.33794498444
11,69.0131357829,0.005,7.08911215464,69.0131357829,9.38634648919,2.5,9.38634645939
12,70.0233049234,0.005,6.95720691681,70.0233049234,8.84505969286,2.5,8.84505969286
13,69.3690196673,0.005,7.0830165863,69.3690196673,8.76016646624,2.5,8.76016646624
14,68.5926758766,0.0025,6.98067982992,68.5926758766,8.52408564091,2.5,8.52408564091
15,68.743563509,0.0025,7.01722170512,68.743563509,8.7297167778,2.5,8.7297167778
16,68.4460314433,0.0025,7.03339474996,68.4460314433,8.08072447777,2.5,8.08072447777
17,69.8405667941,0.0025,7.06521371206,69.8405667941,9.32125833631,2.5,9.32125833631
18,70.4562817574,0.0025,7.15616359711,70.4562817574,7.60988146067,2.5,7.60988146067
19,68.4224374771,0.00125,7.12566986084,68.4224374771,7.66708445549,2.5,7.66708445549
20,68.9144419352,0.00125,7.08302192688,68.9144419352,8.33737653494,2.5,8.33737653494
21,68.3889299711,0.00125,7.03508783976,68.3889299711,8.23929899931,2.5,8.23929899931
22,68.3695910136,0.00125,7.04640522003,68.3695910136,8.0347622633,2.5,8.0347622633
