epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,189.109743818,0.01,10.2924041708,177.287865231,121.414386749,10.5227708817,116.97870636
1,124.618760173,0.01,8.71645228068,122.697442563,50.644068718,6.6082611084,49.9191141129
2,80.6897189061,0.01,6.71933231354,80.285363286,12.8107472882,2.53247070313,12.6634080708
3,80.335814774,0.01,7.30059566498,80.250737226,8.63508310914,2.5,8.6035438478
4,71.0446988265,0.01,7.31039810181,71.0263469537,6.70323717594,2.5,6.69642817974
5,68.8783525944,0.01,7.19548473358,68.8743258615,6.67152035236,2.5,6.66992843151
6,76.0347361883,0.01,7.48564173381,76.0338484128,9.15204650164,2.5,9.15168750286
7,76.6818787058,0.01,7.26242459615,76.6816897631,11.3481521327,2.5,11.3480793573
8,73.8266557693,0.01,7.34710229238,73.8266156673,8.00011014938,2.5,8.00009429455
9,67.2285474221,0.01,6.93771165212,67.2285414418,7.18687462807,2.5,7.18687152863
10,63.5141996339,0.01,6.5078637441,63.5141986514,8.92917010188,2.5,8.92916974425
11,72.562006856,0.01,6.95562273661,72.5620067815,6.69186484814,2.5,6.69186484814
12,72.7519726276,0.005,7.49847265879,72.7519726276,7.68638789654,2.5,7.68638789654
13,64.8038737694,0.005,6.51954218547,64.8038737694,8.91813564301,2.5,8.91813564301
14,74.0715317249,0.005,7.45936419169,74.0715317249,7.78671264648,2.5,7.78671264648
15,70.6742747227,0.005,6.98506959279,70.6742747227,9.71758235991,2.5,9.71758235991
16,70.479541871,0.005,6.79655342102,70.479541871,8.51533284783,2.5,8.51533284783
17,58.3927526454,0.0025,6.43061402639,58.3927526454,8.76044178009,2.5,8.76044178009
18,69.6947968026,0.0025,7.06001358032,69.6947968026,8.86701336503,2.5,8.86701336503
19,68.5008694212,0.0025,6.67365468343,68.5008694212,8.22290146351,2.5,8.22290146351
20,77.6057209849,0.0025,7.43232212067,77.6057209849,8.33445084095,2.5,8.33445084095
21,70.3656125605,0.0025,7.18313032786,70.3656125605,8.875521034,2.5,8.875521034
22,69.8205610991,0.00125,6.97601210276,69.8205610991,9.0717279613,2.5,9.0717279613
23,68.1939824184,0.00125,6.84158217112,68.1939824184,9.37829187512,2.5,9.37829187512
24,58.8132550294,0.00125,6.17054042816,58.8132550294,9.06742325425,2.5,9.06742325425
25,65.8076567431,0.00125,6.81748212179,65.8076567431,8.72267320752,2.5,8.72267320752
