epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,9071.97655111,0.108361,8.99099210103,148.12627269,34.7434978485,5.33398580551,34.7014050484
1,2437.92652206,0.108361,7.44040934245,92.0324132421,7615.859375,3.47318029404,23.5125615038
2,4098.11827799,0.108361,8.13647314707,93.4665402969,5068.87426758,5.61660695076,38.2697701454
3,4217.79475911,0.108361,9.79043871562,138.978969917,4405.02929688,9.4637825489,100.893030167
4,4105.01292318,0.108361,9.05430843035,124.106675182,4124.41699219,4.25652360916,33.7581897676
5,4047.15032552,0.108361,8.05317207972,93.4486160676,3999.04711914,2.10873317719,5.18717366457
6,4043.41966146,0.108361,8.07966009776,98.0622740269,4181.14282227,14.5344219208,229.148097992
7,4123.66147461,0.108361,11.5981627146,180.040847278,3978.33227539,6.01641464233,38.23432827
8,4041.88011068,0.108361,8.19358898799,97.8150399071,4361.88623047,14.8603038788,421.789957061
9,4052.46287435,0.108361,8.32360056241,107.693456672,4573.64135742,24.5552062988,631.07131958
10,4110.32670898,0.108361,10.2559221109,165.128239902,4275.37207031,14.6112613678,330.9804492
11,4074.55548503,0.108361,8.91602972349,129.185826717,4817.80297852,26.0081377029,872.577033997
12,771.142153676,0.0108361,6.77621663411,70.5867101351,9.37570333481,2.5,9.117107898
13,74.1773632576,0.0108361,7.32535603841,74.1509154528,9.71427622437,2.5,9.71427622437
14,74.9140088081,0.0108361,7.19396193822,74.9140088081,9.11776027083,2.5,9.11776027083
15,75.8693047007,0.0108361,7.52707780202,75.8693047007,9.52714431286,2.5,9.52714431286
16,71.7378168941,0.0108361,7.20718415578,71.7378168941,14.1177183352,2.80494213104,14.1176999919
17,134.128050423,0.0108361,7.4864490509,76.6410350164,11.5392505527,2.50000095367,10.93818748
18,118.492820549,0.0108361,7.21926701864,78.1675671895,19.9805293083,2.50087785721,11.0799675435
19,112.352186584,0.0108361,7.39564170837,74.3864486277,38.8793563843,3.0296087265,15.4201821685
20,107.188139089,0.0108361,7.05995073318,68.0525265972,60.7860965729,4.3442773819,25.409153223
21,119.548352051,0.0108361,7.012444369,79.6964600295,51.2731151581,2.41719675064,10.8564775065
22,110.538381958,0.0108361,7.26869115829,70.6830069641,76.9690971375,5.35216164589,35.9482278824
23,117.996049754,0.0108361,7.46011676788,78.3336620491,50.1281242371,2.27858877182,9.74241606053
24,118.024680074,0.0108361,7.40307954152,78.5013943036,96.5520935059,6.9348783493,56.7356314659
25,108.425731913,0.0108361,6.83225440979,68.9634950757,45.1557502747,2.15453481674,5.62507069111
26,77.9995769501,0.00108361,7.12969271342,70.976657931,8.4382507205,2.5,8.43563920259
27,70.0780851523,0.00108361,7.12093022664,70.0778180599,8.65243008733,2.5,8.65243008733
28,64.3332902431,0.00108361,6.80197474162,64.3332902431,8.7554127872,2.5,8.7554127872
29,70.2260256767,0.00108361,7.05955448151,70.2260256767,8.72373437881,2.5,8.72373437881
30,74.5631222566,0.00108361,7.39365882874,74.5631222566,8.88767874241,2.5,8.8876786828
31,71.4875696977,0.00108361,7.19277909597,70.9128964583,9.02446949482,2.5,9.01841187477
32,61.3204680284,0.00108361,6.42711391449,60.9174715479,9.04323598742,2.49999952316,8.95400241017
33,64.0005496025,0.00108361,6.88685213725,63.6209637006,9.31450054049,2.50002479553,9.07986733317
34,70.5047826449,0.00108361,7.07376232147,70.1134757121,9.39667034149,2.49987745285,9.0430559516
35,70.7430334091,0.00108361,7.24138177236,70.3445497672,9.74940389395,2.50028133392,9.3453861177
36,73.5248254935,0.00108361,7.10591348012,73.1262935321,9.57402575016,2.4996919632,9.16389077902
37,69.7431725701,0.00108361,6.61593475342,69.3465615372,9.57188874483,2.5006608963,9.16805872321
38,65.1839509315,0.000108361,6.63572101593,65.1121587517,8.9749084115,2.5,8.9748814106
39,72.2045952161,0.000108361,7.38575375875,72.2045932452,9.00047284365,2.5,9.00047284365
40,73.9779505889,0.000108361,6.98460928599,73.9779505889,8.99734851718,2.5,8.99734851718
41,65.457523187,0.000108361,6.85013809204,65.457523187,9.00142529607,2.5,9.00142529607
42,76.3567030271,0.000108361,7.40432338715,76.3567030271,8.98667913675,2.5,8.98667913675
43,72.9489857276,0.000108361,7.12407417297,72.9432301442,8.97799986601,2.5,8.97794264555
44,66.969529817,0.000108361,6.66511592865,66.9655077403,8.95203149319,2.5,8.95115584135
45,62.2842135807,0.000108361,6.56795609792,62.2804312537,8.95641919971,2.5,8.95411595702
46,65.5574120601,0.000108361,6.88321641286,65.5535102526,8.95373791456,2.5,8.95024737716
47,66.9733150641,0.000108361,6.83398017883,66.9693353017,8.9467458725,2.5,8.94273048639
48,73.802794826,1.08361e-05,7.13869196574,73.8020876686,8.94444268942,2.5,8.94444257021
49,75.5952376684,1.08361e-05,7.42082538605,75.5952376684,8.94690653682,2.5,8.94690653682
