epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,740.411364746,0.01,10.5362157822,178.38429472,377.463348389,11.071472168,128.82749939
1,286.590837097,0.01,8.90035707156,139.043883985,170.391704559,8.4923210144,78.3695163727
2,174.528693644,0.01,7.4591603597,102.392337503,88.044752121,5.15285730362,32.8019375801
3,124.65535202,0.01,6.51264988581,73.7033975204,61.4139156342,2.5,11.6151012871
4,118.575780233,0.01,7.07385196686,72.2342343529,57.263469696,2.5,11.6294518281
5,120.53274587,0.01,7.27894744873,76.7508076073,53.2494659424,2.5,8.31620043516
6,105.967709096,0.01,6.35304075877,61.8487829526,52.0871543884,2.5,9.17571771145
7,123.077704112,0.01,7.71076113383,79.9639065742,52.3533782959,2.5,8.43075484037
8,114.070400238,0.01,7.13744424184,69.9224806945,53.2523555756,2.5,8.87507930398
9,114.169127401,0.01,7.16426811218,71.0460431337,54.1627902985,2.5,9.88377416134
10,112.849834951,0.01,6.85139554342,69.1745396937,51.2265510559,2.5,8.93198370934
11,111.384794108,0.01,6.91219247182,68.1110196292,52.8643131256,2.5,8.2385327816
12,121.829616038,0.01,7.59703499476,78.1405920347,52.415096283,2.5,8.64690470695
13,120.112783813,0.01,7.27562745412,77.0095511963,55.0867233276,2.5,9.61096297204
14,120.546771749,0.01,7.57227621078,76.7415835122,54.5842647552,2.5,11.7581278598
15,114.140795644,0.01,7.0839544932,70.9386264722,52.0307006836,2.5,8.19807314873
16,113.015880585,0.01,6.71110712687,69.3372835934,51.8616790771,2.5,8.36607283354
17,85.3340667725,0.005,6.4103313446,56.2185831706,32.6695737839,2.5,9.03104126453
18,102.133359273,0.005,7.84340890249,80.0431655248,30.4899291992,2.5,8.50870266557
19,99.1677927653,0.005,7.01731494268,79.0945979913,27.3696613312,2.5,8.22976869345
20,85.8301712036,0.005,6.69850266774,66.3825711633,28.5792856216,2.5,8.75822085142
21,77.8732278188,0.005,6.61407311757,58.6431849798,28.2708234787,2.5,9.04053729773
22,84.9562024434,0.005,6.74552548726,65.6383883114,28.97514534,2.5,8.69446527958
23,92.0967464447,0.005,6.85460732778,72.8995864292,28.1889543533,2.5,8.74712634087
24,114.195209249,0.005,7.9587161382,94.9555441648,29.8208532333,2.5,9.91473452747
25,85.6116682688,0.005,6.89197400411,66.4056948741,28.2744436264,2.5,8.50475436449
26,84.0920512517,0.0025,6.69031391144,70.2694893296,20.5537204742,2.5,8.40894699097
27,86.2146023432,0.0025,7.10110864639,75.2938096682,19.6260995865,2.5,8.62129178643
28,97.4650901794,0.0025,7.87580216726,87.541317379,18.0439586639,2.5,8.13505351543
29,87.2983451843,0.0025,7.21787090302,77.6078192618,18.7936115265,2.5,8.94820049405
30,79.1847663879,0.0025,7.11648426056,69.6753568172,18.7045893669,2.5,8.88991490006
31,76.8133822759,0.0025,6.96882766088,67.151480858,19.3854985237,2.5,9.5789296031
32,90.4681032181,0.0025,7.23751541773,80.9097982148,19.365852356,2.5,9.70292130113
33,90.5673513412,0.0025,7.71566689809,80.9852531989,20.5099263191,2.5,10.3914458677
34,78.5797025681,0.0025,6.76326681773,69.0619145369,20.2751498222,2.5,10.2583735436
35,81.2037385305,0.00125,7.02296161652,74.2765374978,16.8631589413,2.5,10.8201206326
36,90.7770276388,0.00125,7.21042900085,85.3372404764,15.8927226067,2.5,10.5644066781
37,69.5277414958,0.00125,6.80490055084,64.6353904486,15.1339690685,2.5,10.2205367535
38,71.5326521238,0.00125,6.6152062734,66.7711447716,14.9595043659,2.5,10.170866251
39,92.4999502818,0.00125,7.88488470713,87.8043498745,15.084843874,2.5,10.2628926635
40,79.9639577866,0.00125,6.90776697795,75.22157348,15.3964319229,2.5,10.5344607607
41,58.69184014,0.00125,6.17661746343,53.957561175,15.1751952171,2.5,10.3095041886
42,81.2126155853,0.00125,6.88110335668,76.4917720457,15.0027339458,2.5,10.1535582691
43,79.5708267848,0.00125,7.16485506694,74.8789365808,15.0353155136,2.5,10.1022357941
44,79.3903045972,0.00125,6.7905318896,74.6278515021,14.8617651463,2.5,10.011951685
45,84.8103360176,0.00125,7.37574214935,80.1348618339,14.7637584209,2.5,9.86789548397
46,78.6471936226,0.00125,6.89805599848,73.9069063127,14.5892696381,2.5,9.88294905424
47,85.6160076141,0.00125,7.44852294922,80.921155485,14.4208920002,2.5,9.57987911999
48,77.5265059153,0.00125,6.94014587402,72.7780584017,14.2806630135,2.5,9.49320439994
49,76.5392020861,0.00125,6.91644280752,71.857615999,14.1506364346,2.5,9.29448884726
50,80.406805865,0.00125,7.07696609497,75.6519433362,14.1397745609,2.5,9.3936226368
51,76.6923895836,0.00125,7.06869099935,72.0281856507,14.3041200638,2.5,9.25563901663
52,83.5244925499,0.00125,7.03542035421,78.7737758584,13.858789444,2.5,9.10792997479
53,78.9583433151,0.00125,7.2073407491,74.2354027947,13.9235117435,2.5,9.21091404557
54,88.5914200783,0.00125,7.33319889704,83.8767748465,13.9282002449,2.5,9.15640971065
55,87.2677298864,0.00125,7.54739462535,82.5669517597,14.4900677204,2.5,9.46752461791
56,75.2093446732,0.00125,6.9374844869,70.4816906561,14.4286031723,2.5,9.58235406876
57,76.1391874631,0.00125,6.81032568614,71.4320278486,14.2226107121,2.5,9.29571351409
58,65.3159014066,0.00125,6.31081892649,60.5921766202,13.5984532833,2.5,8.91517010331
59,67.7570224762,0.00125,6.44395325979,63.0241231481,13.6695876122,2.5,8.79111504555
