epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,398.266881307,0.01,9.69954912663,124.263143682,219.000297546,8.93800425529,86.1379413605
1,143.919566345,0.01,5.76306765874,45.8130105972,83.7444534302,2.5,10.3305444419
2,110.294858042,0.01,5.52612139384,43.9624878029,68.5015144348,2.5,6.30756378174
3,92.5605199178,0.01,4.6394472758,32.8514015277,68.3958492279,2.5,11.2933773845
4,89.280493927,0.01,4.74794165293,31.7717556318,71.4396247864,2.5,8.87825405598
5,88.631350708,0.01,4.65784072876,31.5268271844,64.1478633881,2.49999952316,8.66953775287
6,90.1440516154,0.01,4.69350630442,32.8050743097,71.4928779602,2.49999904633,12.1581365801
7,91.0077931722,0.01,4.88855813344,34.0391024108,62.5967998505,2.5,7.30547428131
8,89.9080736796,0.01,4.7266084671,33.2368225598,73.5995616913,2.68972826004,13.4846406952
9,87.8204035441,0.01,4.67966556549,30.7366682162,62.8542785645,2.50000047684,9.21073132753
10,88.1399950663,0.01,4.66934871674,31.8074640473,67.2637825012,2.50000143051,8.45801466703
11,89.0532432556,0.01,4.78215656281,32.255138131,61.916595459,2.49999666214,7.52593648434
12,87.8970573425,0.01,4.68503449758,31.4046265403,70.7571315765,2.50000333786,9.10275906324
13,87.4286760966,0.01,4.66131655375,30.8185325583,64.6171321869,2.49999904633,8.57502326369
14,89.1806373596,0.01,4.7206846873,32.779003493,69.264793396,2.49999141693,10.8632451147
15,89.6721773783,0.01,4.86458587646,33.1111974001,61.1552944183,2.50002574921,8.38853740692
16,88.5157946269,0.01,4.71803010305,32.4996742586,65.8793487549,2.49999189377,7.2334523201
17,87.5528101603,0.01,4.60492572784,31.0868428777,61.5252437592,2.49991941452,7.83587491512
18,86.9739433289,0.01,4.68127161662,31.0104390939,72.4693031311,2.49991512299,12.4430030988
19,89.9247459412,0.01,4.88671137492,33.3708528996,63.6970176697,2.50015068054,8.91202685237
20,87.0508898417,0.01,4.63933289846,31.1888672193,68.5645179749,2.4997010231,8.16431564093
21,87.1610404968,0.01,4.67139167786,30.9718581518,64.1782646179,2.49985074997,10.4307774976
22,68.3878294627,0.005,4.66169783274,30.694956855,41.3842430115,2.49999094009,9.6998872757
23,58.3987687429,0.005,4.63972021739,30.6704403758,34.3495464325,2.50001144409,9.47722387314
24,56.8983970642,0.005,4.68613128662,31.524574858,35.351266861,2.49999809265,10.2325872779
25,58.4475985209,0.005,4.75398171743,32.5563837906,30.4853878021,2.50000095367,6.90760469437
26,55.6839461009,0.005,4.61409867605,31.0672337333,32.2174024582,2.49997711182,7.58881407976
27,55.8328873952,0.005,4.64476146698,31.4153794746,34.8860492706,2.5000462532,10.2147663385
28,55.214125061,0.005,4.64413642883,30.9759457648,35.2733793259,2.49971866608,8.72624123096
29,56.8419556936,0.005,4.77352275848,32.0960975021,33.9937038422,2.50005626678,10.2078756094
30,55.0450052897,0.005,4.63132330577,30.7167871873,33.1819763184,2.50013017654,8.0890494585
31,56.536552302,0.005,4.70966345469,31.6311846455,32.8022432327,2.50003290176,9.47932057083
32,46.8335001628,0.0025,4.63661346436,30.4321484923,23.5844831467,2.50000905991,8.88341486454
33,44.0947426478,0.0025,4.63035704295,30.5814351956,21.942923069,2.49999713898,8.93051049113
34,44.2972585678,0.0025,4.6357837677,31.5012840509,21.1271896362,2.4999871254,7.69405663013
35,42.8970603307,0.0025,4.58459911346,30.4755675475,20.5371980667,2.50000238419,8.43101334572
