epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,143.540534147,0.01,10.0935597817,130.760587817,116.645488739,10.2700033188,111.722967148
1,82.0822761456,0.01,7.44083274206,79.89973406,37.7834029198,5.55053043365,37.0583891869
2,38.7339564224,0.01,4.79981479645,38.2700422188,8.46279871464,2.5,8.31468480825
3,35.9234445771,0.01,5.25969524384,35.8263286789,6.82336878777,2.5,6.78800487518
4,37.2322874612,0.01,5.11288630168,37.2111597924,7.5992769599,2.5,7.59129732847
5,25.7221130858,0.01,4.29234460195,25.7174994578,9.7359790951,2.5,9.73421686888
6,29.8733974585,0.01,4.3267771403,29.8723943216,8.60853654146,2.5,8.60813647509
7,28.8208364083,0.01,4.42111549377,28.820618228,7.45118606091,2.5,7.45109838247
8,34.3151284854,0.01,4.84652061462,34.3150818547,7.79788726568,2.5,7.7978695035
9,28.3733320188,0.01,4.31673234304,28.3733229607,10.3709999844,2.5,10.3709960952
10,30.8631438533,0.005,4.56489696503,30.8631429195,8.19695800543,2.5,8.1969576478
11,27.4505260706,0.005,4.62579135895,27.450526003,8.51883375645,2.5,8.51883369684
12,34.9009002686,0.005,4.8417945226,34.9009002686,8.41779518127,2.5,8.41779518127
13,33.0772924304,0.005,4.8662627538,33.0772924304,8.0857732892,2.5,8.0857732892
14,31.4879174868,0.005,4.47328503927,31.4879174868,8.92658829689,2.5,8.92658829689
15,34.5905100229,0.0025,4.73855876923,34.5905100229,8.94883954525,2.5,8.94883954525
16,35.2022195975,0.0025,5.15224094391,35.2022195975,8.56713843346,2.5,8.56713843346
17,38.6167370006,0.0025,5.24011592865,38.6167370006,8.92338472605,2.5,8.92338472605
18,32.1580500126,0.0025,4.86537812551,32.1580500126,9.39656242728,2.5,9.39656242728
19,28.6684953481,0.0025,4.57820561727,28.6684953481,8.47334873676,2.5,8.47334873676
20,32.7104947856,0.00125,4.73341178894,32.7104947856,8.67958578467,2.5,8.67958578467
21,31.7366408428,0.00125,4.61084213257,31.7366408428,8.33568197489,2.5,8.33568197489
22,37.5771627227,0.00125,5.21367683411,37.5771627227,8.90347260237,2.5,8.90347260237
23,32.0450802406,0.00125,4.97026049296,32.0450802406,8.77871611714,2.5,8.77871611714
