epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,175.766365433,0.01,10.0138255795,164.107022234,101.732843399,9.50060272217,96.5114517212
1,110.122689581,0.01,7.27183531125,106.954827241,20.1233575344,3.44571971893,18.1229836941
2,83.2197431246,0.01,7.80482489268,81.7512322833,7.27384138107,2.5,6.25001049042
3,74.9796219508,0.01,7.49652671814,74.0169225375,14.6493218541,2.71592235565,13.6262346245
4,76.5733999411,0.01,7.30505447388,75.7489783883,8.30334997177,2.5,7.45250982046
5,71.878697904,0.01,7.0048871994,71.0361945709,12.3440914154,2.5,11.5364875663
6,74.4662344933,0.01,7.12070706685,73.6510748545,10.1736292839,2.5,9.3316988647
7,69.7723477364,0.01,6.95430571238,68.9168646336,8.40522384644,2.5,7.52720183134
8,72.1752494335,0.01,7.20540313721,71.3064655145,7.74741697311,2.5,6.90688252449
9,68.0738554637,0.005,7.06079730988,67.4737013181,7.63706421852,2.5,7.09821391106
10,69.8349388758,0.005,7.10041605632,69.450371329,8.69864672422,2.5,8.28740423918
11,70.9695127646,0.005,6.93369738261,70.596293807,10.2844517231,2.5,9.94343106449
12,70.439873759,0.005,7.20160668691,70.0568018754,7.39722108841,2.5,7.07792460918
13,70.1870936076,0.005,7.22482077281,69.8717477798,8.31269395351,2.5,7.96029180288
14,69.0314012845,0.0025,7.09816551208,68.7855009715,8.74982845783,2.5,8.54344934225
15,71.2731980006,0.0025,7.14997342428,71.0842959642,8.80646365881,2.5,8.62073624134
16,69.8245567958,0.0025,7.06590938568,69.654067723,9.56946107745,2.5,9.38311767578
17,67.9140100797,0.0025,6.94275131226,67.7474384308,9.16003569961,2.5,8.96485686302
18,70.8447230975,0.0025,7.11409435272,70.6774194558,8.9166033268,2.5,8.70679658651
19,69.0917745113,0.00125,6.99156532288,68.9411077976,8.99254921079,2.5,8.87795686722
20,67.0565785567,0.00125,6.98976942698,66.9512563388,8.31605821848,2.5,8.18193411827
21,69.8448724747,0.00125,7.15439173381,69.7481345812,8.69834685326,2.5,8.63675165176
22,69.8359741688,0.00125,7.14491589864,69.7455349286,8.69068723917,2.5,8.58387696743
