epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,9674.38166097,0.286815,59.1768023809,5255.46883952,4180.74230957,64.6102981567,4180.74060059
1,3588.22836838,0.286815,50.4336314201,3552.9951842,156109.238281,383.802383423,154613.691406
2,6608.22333171,0.286815,50.7297833761,4257.78754272,1477.71081543,30.7735881805,974.220184326
3,7225.2440918,0.286815,53.7134004911,5368.8309768,77211.3007813,275.662460327,75997.8789063
4,6837.42965495,0.286815,63.5289662679,5035.83593547,359320.210938,591.10786438,357576.75
5,7924.34149577,0.286815,52.8909078916,6122.3620737,782236.351563,749.202926636,780351.148438
6,8876.1994873,0.286815,63.940994517,7087.61679357,2896320.65625,1569.44656372,2894459.84375
7,7096.7333903,0.286815,56.7226539612,5321.29959106,2368969.92188,1348.62072754,2367158.70313
8,9781.95816243,0.286815,72.0649681727,8013.66798655,76116442.0,8598.55517578,76114658.0
9,8554.71934408,0.286815,68.4978581111,6788.99622803,4255439.06836,1545.17532349,4253672.5625
10,9453.94538574,0.286815,67.0721887589,7688.64942729,19279160.9146,3147.85716629,19277395.0002
11,12158.2586833,0.286815,87.3358842214,10392.7490519,115824844.0,10717.1147461,115823076.0
12,8542.66752116,0.286815,68.9245428721,6776.91270752,230324797.996,10866.3475952,230323051.469
13,6625.75950521,0.286815,61.1009798368,4859.86688026,45445301.3125,5133.77664185,45443538.5
14,7672.07894897,0.0286815,70.237138621,7358.55392863,3463.85498047,58.8004188538,3463.73925781
15,7680.12278862,0.0286815,65.7132733663,7680.11142743,140.665126801,11.5937538147,140.665126801
16,5086.28720309,0.0286815,55.4116500854,5086.28720309,188.997554779,13.518415451,188.997554779
17,8325.99368021,0.0286815,68.625285848,8325.99368021,527.748352051,22.8363380432,527.748352051
18,3050.7094934,0.0286815,41.9202597936,3050.7094934,210.199966431,14.2811050415,210.199966431
19,3898.99751682,0.0286815,48.2132937908,3873.26686533,856.850921631,29.1604557037,856.581817627
20,4090.80174052,0.0286815,56.7251091003,4072.75251668,943.580718994,30.5010051727,939.59664917
21,2926.17715816,0.0286815,46.7086373647,2909.18402294,1966.9185791,43.6251735687,1956.41802979
22,1270.82386208,0.0286815,27.1974845727,1253.3069774,81118.2597656,281.248970032,81102.4296875
23,2704.84229482,0.0286815,38.6066793124,2687.00501928,25760.1230469,148.612743378,25742.0327148
24,1297.19485575,0.0286815,28.4055758794,1279.35587807,399333.65625,612.017837524,399315.289063
25,2858.83427099,0.0286815,42.1790411631,2841.0815258,106612.857422,308.46395874,106594.787109
26,2765.77597618,0.0286815,38.4194508711,2748.08566774,1480611.0625,1176.45913696,1480593.375
27,1964.42080371,0.00286815,38.0877020677,1961.25317335,9.04890218377,2.5,9.04771086574
28,2574.04278819,0.00286815,42.9361188253,2574.04267934,7.94897842407,2.5,7.94897842407
29,1467.45997632,0.00286815,33.4193086624,1467.45997632,25.1296728849,4.34507465363,25.1296728849
30,1456.68860604,0.00286815,30.2797762235,1456.68860604,25.6119948626,4.40022659302,25.6119948626
31,2601.59200223,0.00286815,39.9316596985,2601.59200223,11.1470201947,2.5,11.1470201612
32,1753.05687437,0.00286815,28.2500187715,1752.79955475,11.3110024668,2.49999904633,11.3083204739
33,1061.49017359,0.00286815,28.4760326068,1061.30998739,9.17508769035,2.49984121323,9.13530102372
34,2328.27390137,0.00286815,42.2625682831,2328.10420736,6.71172904968,2.49313640594,6.60726058483
35,923.087887494,0.00286815,25.2295687358,922.912916915,19.3691165447,3.60783433914,19.2114983201
36,3817.96759729,0.00286815,50.5888591131,3817.78937966,12.0826147199,2.51188993454,11.902149288
37,2813.12368781,0.00286815,46.0773150126,2812.94535964,217.628700256,14.5192027092,217.445259094
38,2397.5099762,0.00286815,44.4140208562,2397.33252614,22.3925786018,4.16405820847,22.2118467093
39,1406.49225,0.00286815,25.7210098426,1406.31537081,454.049316406,21.1358299255,453.87109375
40,1642.21568375,0.00286815,33.6898812612,1642.03901952,177.727848053,13.1505045891,177.550918579
41,1735.9569912,0.00286815,33.8569028219,1735.78040581,1687.9019165,40.9959754944,1687.7255249
42,1035.18896364,0.00286815,25.5806971868,1035.01239888,494.462417603,22.2062587738,494.285934448
43,2240.00558847,0.00286815,35.8101549149,2239.82896875,3282.32006836,57.2254428864,3282.14331055
44,3530.3967955,0.00286815,48.5361780802,3530.22009484,746.208343506,27.3120365143,746.031768799
45,1121.48094134,0.00286815,28.5859373728,1121.3043175,6121.3125,78.1845169067,6121.13574219
46,3295.91978912,0.000286815,48.8538056056,3295.88847733,21.2177051306,3.86881065369,21.2176955342
47,2854.57709986,0.000286815,47.7230524063,2854.57709986,22.103204608,3.98160839081,22.103204608
48,3126.23033617,0.000286815,43.4003558119,3126.23033617,22.8989603519,4.08031368256,22.8989603519
49,2780.04933179,0.000286815,41.7843676885,2780.04933179,25.5801305771,4.39660453796,25.5801305771
