epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,503.344610596,0.01,8.96162327131,139.449022555,330.469299316,6.7915084362,52.3748207092
1,310.623355103,0.01,6.66542882919,81.4238537004,200.50605011,2.96708869934,15.0537872985
2,289.927827962,0.01,6.98480033875,75.0184281831,260.338417053,2.50012254715,12.0117388978
3,287.36854248,0.01,6.49641577403,69.8287110289,190.595329285,2.49992895126,7.0759152174
4,285.61127828,0.01,7.37922458649,72.6326763789,253.987953186,2.50011014938,8.25173538923
5,296.545882161,0.01,7.49973869324,79.5347082078,195.235076904,2.50004196167,10.1284136623
6,285.365482585,0.01,6.96836338043,72.3580562154,254.223060608,2.49949645996,10.2205509394
7,283.659428914,0.01,7.0258026123,66.7815504273,196.900970459,2.50017118454,10.1546074152
8,287.456120809,0.01,7.31134026845,74.3480813901,253.718154907,2.50100374222,11.3258599062
9,288.468942261,0.01,6.92024116516,71.7018874634,197.133224487,2.49712133408,8.83229899406
10,179.626294963,0.005,6.94332110087,68.34237415,130.158470154,2.500020504,8.95559445024
11,175.813699849,0.005,6.87706597646,67.9744843105,96.5147781372,2.49996185303,9.00649762154
12,177.038805135,0.005,7.01208852132,71.5355314573,135.899707794,2.50011634827,8.85791540146
13,177.726087952,0.005,7.04694677989,69.5416065693,95.6298065186,2.49990797043,9.00204879045
14,174.641784159,0.005,6.87255744934,69.141404597,135.40958786,2.49983024597,8.57075715065
15,179.401839193,0.005,7.20205682119,71.2352458159,96.6374893188,2.49970960617,9.52657487988
16,177.30429484,0.005,6.88702729543,71.7695361296,135.099327087,2.50027704239,8.80091574788
17,177.343209839,0.005,7.08802687327,69.2126934628,96.3900413513,2.49909353256,8.73188090324
18,174.211029053,0.005,6.87305304209,68.6397776802,134.501743317,2.49914312363,8.74695658684
19,177.612756348,0.005,7.04328079224,69.518550396,97.8527030945,2.49785614014,9.65735635161
20,127.942179616,0.0025,7.03284136454,72.6172358592,52.1026725769,2.50000476837,9.63503864408
21,127.232551829,0.0025,7.15473092397,74.6004678786,70.2028160095,2.49969482422,9.39708071947
22,121.451422119,0.0025,6.90194028219,67.7370627244,56.7587718964,2.50012302399,9.43953335285
23,120.480574544,0.0025,6.82746734619,67.5892056902,67.7798595428,2.49960374832,9.37811422348
24,121.988207753,0.0025,7.04454631805,68.3956503073,58.2723274231,2.50032043457,9.73753522336
25,119.763537089,0.0025,6.78830312093,66.8091281449,67.6943302155,2.49988746643,9.92052015662
26,124.254325104,0.0025,6.92119719187,70.6946490844,58.4819087982,2.50064277649,9.60754716396
27,94.0645145416,0.00125,6.72757523855,66.0552335262,21.799554348,2.5,9.54781801999
28,94.9924432119,0.00125,7.1059937795,69.3101508697,49.2774848938,2.49955844879,9.65237098932
29,97.6642100016,0.00125,6.90116933187,70.2273657322,24.0794115067,2.49999952316,9.57526475191
30,98.3928116481,0.00125,7.12428824107,72.5827653011,47.6675643921,2.49922275543,9.64654453099
31,98.8836114248,0.00125,6.81751708984,71.5425377994,25.278421402,2.50000190735,9.63424479961
32,90.3656097412,0.00125,6.55156313578,64.4914896607,46.5891990662,2.49919700623,9.39146921039
33,95.8800534566,0.00125,6.88135763804,68.5879075368,25.649014473,2.50003623962,9.40842705965
34,80.9077468872,0.000625,7.00745093028,67.4409501235,23.6047010422,2.5,9.41202947497
35,81.0238231023,0.000625,6.94591935476,67.6646022956,21.4265737534,2.49999427795,9.38589826226
36,88.20199941,0.000625,7.17740281423,75.005397296,24.2248311043,2.50000095367,9.40237921476
37,76.7662315369,0.000625,6.70139687856,63.36832116,20.8762526512,2.49998617172,9.36097887158
38,74.6573899587,0.000625,6.27932453156,61.4940511356,24.4669060707,2.50001001358,9.20802268386
39,77.2252690633,0.000625,6.76588001251,63.8013698896,20.3299145699,2.49997138977,9.17981427908
40,83.9788529078,0.000625,6.9222056071,70.8385961294,24.6795520782,2.50001573563,9.11770474911
41,85.9928097407,0.000625,7.1436088562,72.5507665475,20.0344939232,2.49995279312,9.13722622395
42,85.4690039317,0.000625,7.12553672791,72.344587485,24.9858493805,2.50006628036,9.21467193961
43,79.4855060577,0.000625,6.78591130575,66.0308487574,19.9328393936,2.49990653992,9.2095516026
44,81.5563398361,0.000625,7.07027664185,68.4427248001,25.2080583572,2.50009441376,9.29330340028
45,83.2582411448,0.000625,7.04478581746,69.794900926,19.9197492599,2.49988412857,9.31515723467
46,78.3536214193,0.000625,6.67355086009,65.2473611514,25.3064928055,2.50016546249,9.29423630238
47,82.8932665507,0.000625,7.02467136383,69.4240129073,19.8855047226,2.49977779388,9.3609649241
48,78.4121122996,0.000625,6.68023395538,65.3107471466,25.3923606873,2.50040817261,9.31484800577
49,84.5194623311,0.000625,6.95875161489,71.0462704341,19.7827105522,2.49986696243,9.31118607521
50,76.4053146362,0.000625,6.4999859492,63.3071618617,25.3326730728,2.50076770782,9.21250280738
51,86.0192103704,0.000625,7.05642229716,72.5434634288,19.6641936302,2.49993038177,9.22674566507
52,83.3332336426,0.000625,6.95475311279,70.2371515751,25.4005508423,2.5015039444,9.2535559535
53,84.6114651998,0.000625,7.02443173726,71.1341283719,19.6957211494,2.49974679947,9.27896037698
54,84.8228070577,0.000625,6.93471660614,71.7279696316,25.4260978699,2.50223588943,9.26347929239
55,79.0488526662,0.000625,6.67698198954,65.5705892007,19.5930337906,2.49936723709,9.1877656877
56,83.329687945,0.000625,6.92583815257,70.2355367978,25.3215398788,2.50236988068,9.15090119839
57,81.2216671626,0.000625,6.91538505554,67.74297417,19.5448365211,2.49971294403,9.14455935359
58,82.1382689158,0.000625,6.95933475494,69.0443471114,25.3177785873,2.50336885452,9.14482319355
59,84.7059908549,0.000625,6.94140497843,71.2272160133,19.5098166466,2.50018692017,9.10993549228
