epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,0.5,56.4515474002,5662.57863709,nan,28.8688659668,839.661407471
1,nan,0.5,129.234935188,27573.9820435,nan,20.1543331146,412.447143555
2,nan,0.5,115.416868464,19159.1913732,nan,177.00378418,31336.5898438
3,nan,0.5,177.90623881,56535.5753743,nan,127.050598145,16148.1044922
4,nan,0.5,159.130147298,33201.8607951,nan,5.23702049255,33.6763827801
5,nan,0.5,110.167411677,18354.6235219,nan,70.1537094116,4927.79296875
6,nan,0.25,118.318058268,23981.8623027,nan,32.2601470947,1046.96710205
7,nan,0.25,80.75316178,11549.2278857,nan,42.7513160706,1833.92504883
8,nan,0.25,71.284661293,8022.39463425,nan,15.5564498901,248.253128052
9,nan,0.25,87.2854522069,13338.8585017,nan,2.5,9.60788330436
10,nan,0.25,72.6494647344,8727.77922764,nan,17.4719009399,311.517326355
11,nan,0.125,66.6617156982,5698.09396089,nan,8.99248123169,87.1147155762
12,nan,0.125,39.0565345128,2577.79375229,nan,17.832736969,324.256507874
13,nan,0.125,67.1075365702,6564.06349589,nan,19.6400222778,391.98046875
14,nan,0.125,39.0435434977,2167.63303823,nan,29.0934791565,852.680541992
15,nan,0.125,36.7565563202,1988.69966896,nan,26.1448078156,689.800994873
16,nan,0.0625,23.962111791,771.138540141,nan,4.71069812775,28.4406766891
17,nan,0.0625,19.5303465207,617.673675728,nan,6.09880828857,43.4454636574
18,nan,0.0625,29.1505654653,1404.79794264,nan,17.7178974152,320.173881531
19,nan,0.0625,20.0644993464,706.611105092,nan,2.5,6.92389392853
