epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,219682.152047,0.607452,179.71673069,57343.128671,262535.898438,512.376464844,262535.898438
1,74875.6348083,0.607452,225.185627874,74869.3593282,494.873306274,6.32356452942,53.8746080399
2,173970.095597,0.607452,239.646626155,88569.134495,3727.50146484,27.1850042343,906.604019165
3,147000.665885,0.607452,247.755373383,83074.7383545,8297559.0,2827.79052734,8275973.75
4,202539.53125,0.607452,299.254515966,140878.190849,98285692.0,9851.03369141,98238852.0
5,185609.361979,0.607452,260.177210903,122412.963346,837450720.0,28918.5771484,837389088.0
6,200394.179948,0.607452,277.730120341,136737.008717,41500886.0,6180.98632813,41435380.0
7,293091.685937,0.607452,391.815541395,229688.873013,445318768.0,21054.6484375,445253712.0
8,121697.807813,0.607452,195.884890111,58596.6938616,4780065792.0,68817.9316406,4780001792.0
9,248643.517708,0.607452,349.328257243,185709.086906,990862720.0,28894.6689453,990799632.0
10,177854.509635,0.607452,272.411460686,114980.519333,26345943040.0,158454.050781,26345883136.0
11,183539.135937,0.607452,296.166716003,120675.626562,51826774016.0,220558.820313,51826709504.0
12,215267.555208,0.607452,320.061920929,152399.388265,360722382848.0,595580.9375,360722325504.0
13,102146.62321,0.0607452,243.907377116,90988.5459513,6757.95483398,82.1436920166,6753.8371582
14,66565.1876015,0.0607452,203.685248311,66564.7687322,2508.00549316,50.0175514221,2508.00549316
15,37293.8035643,0.0607452,167.816224337,37293.8035643,9712.35693359,98.5195770264,9712.35693359
16,64390.3071604,0.0607452,181.586565463,64390.3071604,203.216545105,14.034476757,203.216545105
17,44921.4801787,0.0607452,179.611833191,44921.4801787,2315.85632324,48.0583610535,2315.8560791
18,85483.5849976,0.0607452,253.004757706,84567.3905698,254.748794556,15.456943512,245.173103333
19,34502.1260663,0.0607452,161.907041645,33859.4402092,194627.75,440.488067627,194485.921875
20,43786.3978719,0.0607452,184.026123174,43181.3272512,12874062.5,3585.33056641,12873689.5
21,49423.7682048,0.0607452,179.620221583,48800.0540039,19695768.25,4089.71472168,19695204.5
22,29075.9919637,0.0607452,125.164478175,28440.8627489,189226208.0,13681.9204102,189225568.0
23,31455.8412354,0.0607452,132.857196426,30820.6565237,123353270.0,10040.0371094,123352616.0
24,22676.5721883,0.0607452,117.672816404,22044.4657918,613509792.0,24670.7060547,613509152.0
25,51945.4178833,0.0607452,175.414929962,51315.5299845,386438628.0,17806.2333984,386437988.0
26,43265.8818685,0.0607452,160.891979726,42636.9659948,2204044608.0,46705.1503906,2204044096.0
27,37688.4952067,0.0607452,139.655865351,37059.8412079,1220424512.0,32465.2792969,1220423936.0
28,20263.6513224,0.00607452,113.595451578,20152.0306363,718.778564453,26.6924591064,718.737365723
29,11398.7275269,0.00607452,95.8125699361,11398.7235494,419.613723755,20.3313484192,419.613723755
30,20903.4679006,0.00607452,122.006089211,20903.4679006,847.841308594,29.0101928711,847.841308594
31,30315.6453573,0.00607452,135.25488383,30315.6453573,520.673248291,22.6809005737,520.673248291
32,17135.5887061,0.00607452,104.478894297,17135.5887061,1098.94128418,33.0558815002,1098.94128418
33,22646.4048157,0.00607452,123.875140127,22637.2439982,7.88448989391,2.50006103516,7.78838735819
34,7083.20233742,0.00607452,66.7860007922,7076.77669553,580.08052063,23.9188804626,578.660522461
35,32026.5223445,0.00607452,141.859850566,32020.4722702,47916.9824219,218.872589111,47913.2441406
36,21347.5398794,0.00607452,115.008815257,21341.3031138,42324.9511719,205.658073425,42319.3144531
37,31455.7850489,0.00607452,153.963310115,31449.43579,609440.125,780.53012085,609433.6875
38,23084.6206217,0.00607452,120.314125061,23078.2702901,181623.570313,425.904907227,181617.054688
39,16585.5067627,0.00607452,106.714598592,16579.1852376,1663352.5625,1289.47888184,1663346.1875
40,27348.8266446,0.00607452,140.620521863,27342.5283156,394656.96875,627.459899902,394650.59375
41,22431.2224121,0.00607452,113.537202326,22424.9330811,3744852.25,1935.03173828,3744846.0
42,21281.3720466,0.00607452,119.009692653,21275.0860989,824758.96875,907.46307373,824752.65625
43,18705.0997948,0.00607452,106.571209462,18698.8144637,6955443.75,2636.94567871,6955437.75
44,19448.1947337,0.00607452,112.739473915,19441.9083577,1603226.375,1264.65515137,1603220.25
45,16783.9833979,0.000607452,102.063151169,16782.8677322,50.4874897003,6.65109634399,50.4870815277
46,14819.6953206,0.000607452,103.021453857,14819.6952881,68.6193027496,7.8974237442,68.6193027496
47,18685.7564667,0.000607452,120.841730499,18685.7564667,77.013633728,8.41211223602,77.013633728
48,15046.9530599,0.000607452,105.519992828,15046.9530599,83.9528198242,8.81492042542,83.9528198242
49,13791.1677027,0.000607452,101.521985245,13791.1677027,81.5578746796,8.67801094055,81.5578746796
