epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,385.392628988,0.01,8.99719834328,110.199328357,166.796585083,6.37704730034,46.9168028831
1,127.829437256,0.01,5.15018030802,39.998197199,69.1295928955,2.5000038147,6.39062571526
2,92.3430636088,0.01,5.43285471598,38.6421253045,54.7117137909,2.49999952316,9.97007608414
3,75.4294858297,0.01,4.65783907572,30.8031217456,52.0717735291,2.5,7.18186211586
4,74.5714480082,0.01,4.67020969391,31.8819815993,52.9326896667,2.5,7.64252924919
5,74.31529363,0.01,4.76285629272,32.4768452291,55.6480579376,2.58290672302,12.9214074197
6,73.5340627035,0.01,4.67065830231,31.3200296494,50.5366230011,2.5,8.36101806164
7,72.7839098612,0.01,4.63206125895,31.0269675414,48.8997879028,2.49999952316,6.63547980785
8,74.2699490865,0.01,4.7234708786,32.5678623656,54.7625522614,2.49999904633,11.7332171043
9,74.2569310506,0.01,4.74955234528,32.4528788096,52.8891506195,2.50000047684,11.8906390667
10,77.8637769063,0.01,5.05760968526,36.4389473597,48.8081893921,2.50000190735,7.28026401997
11,74.0089022319,0.01,4.69034519196,32.382917842,52.8381214142,2.50001192093,10.8596391194
12,76.4443870544,0.01,4.82845363617,34.8523698936,62.91771698,3.49954605103,18.4968892336
13,70.6437360128,0.01,4.42927157084,29.1531649659,49.8998775482,2.49998235703,6.91682112217
14,75.7570721944,0.01,4.80312201182,34.341004928,48.710893631,2.49995088577,7.3777987957
15,73.6747398376,0.01,4.7394405365,32.2312312922,52.7826309204,2.49989795685,12.3353529015
16,76.141271464,0.01,5.03332468669,34.9313870668,49.1046504974,2.49982023239,7.33977043629
17,73.6033030192,0.01,4.7735926946,32.315824451,51.9731674194,2.49999952316,11.0551452525
18,81.1899210612,0.01,5.11252072652,40.0575885846,48.988445282,2.5005364418,6.25476646423
19,71.7324221293,0.01,4.3841018041,30.3515855466,57.6472854614,3.05495166779,15.5825814158
20,76.2676404317,0.01,5.02280743917,35.1996330023,52.5738372803,2.50000858307,9.00607910752
21,60.2750494639,0.005,4.72215423584,31.5906978061,31.6113176346,2.50001335144,10.4824075699
22,51.4870641073,0.005,4.72056878408,31.2843389352,28.9562015533,2.50001239777,8.50022506714
23,49.3635674795,0.005,4.64654165904,31.0057085037,27.519867897,2.50002288818,9.69586959481
24,49.3903152466,0.005,4.6840824763,31.1991232276,25.2579746246,2.50003814697,7.91998428106
25,49.0113526662,0.005,4.72933425903,31.4987715224,27.5916547775,2.50006008148,9.64747168124
26,51.0336307526,0.005,4.72263361613,33.2923461378,25.2142210007,2.50024223328,7.1787352562
27,48.7346460978,0.005,4.66195761363,31.1054946025,28.3746089935,2.50027704239,10.9912976138
28,48.9092229207,0.005,4.6787820816,31.259462313,28.0944328308,2.49993896484,10.2087084502
29,50.4065864563,0.005,4.7006685257,32.8481130481,25.670126915,2.50049781799,7.22477197647
30,48.537186559,0.005,4.59972648621,30.6294692397,27.2644710541,2.49944543839,9.4826721549
31,48.9158898671,0.005,4.65383358002,31.552706778,26.3656435013,2.50065088272,8.46825993061
32,48.5696604411,0.005,4.65842870076,30.7918111563,26.5262680054,2.49989891052,9.44727802277
33,43.0102212906,0.0025,4.66266740163,30.837577035,20.5892691612,2.50008440018,10.0369654149
34,40.4957915624,0.0025,4.65756181081,30.7165740093,19.1657214165,2.49949598312,9.59235465527
35,40.3803131104,0.0025,4.70003356934,31.146562018,18.4974451065,2.50007581711,9.66754157841
36,40.8754463832,0.0025,4.70242824554,32.019429191,15.97666502,2.49980258942,7.48634946346
37,39.7749516805,0.0025,4.63554401398,30.8998718023,17.9379138947,2.50002908707,8.87220224738
38,39.4569496791,0.0025,4.6235906601,30.6335657954,17.7615337372,2.50097894669,8.63755106926
39,39.7895874023,0.0025,4.62447007497,30.8195163846,17.0975317955,2.4994263649,8.32903236151
40,40.1380286535,0.0025,4.68842989604,31.2820211569,18.435921669,2.49876070023,9.43226483464
41,40.288768959,0.0025,4.67926870982,31.4134384831,17.1251049042,2.500623703,7.95285844803
42,39.2532158534,0.0025,4.57907880147,30.3666077177,17.6893367767,2.50241327286,8.7028632164
43,36.8348397891,0.00125,4.63040320079,30.5312217673,14.1179754734,2.49974060059,9.01187217236
44,35.6174066544,0.00125,4.63535404205,30.6792454561,13.4699351788,2.49999189377,8.59376472235
45,35.0113826752,0.00125,4.61388320923,30.4545772195,13.1327283382,2.49991178513,8.71429505944
46,35.0757603645,0.00125,4.6464834849,30.6492000461,13.7258460522,2.49994039536,9.33296993375
47,34.9474141121,0.00125,4.61709035238,30.5113059243,13.1666145325,2.49989700317,8.85672017932
48,34.8416117986,0.00125,4.61341724396,30.430920128,13.3142154217,2.50040626526,8.84693184495
49,35.2054745038,0.00125,4.64747619629,30.7535916567,12.7127525806,2.49972915649,8.36543768644
50,35.1195570628,0.00125,4.62419923147,30.7063934803,12.7081115246,2.50021123886,8.16986173391
51,34.9198943456,0.00125,4.60389404297,30.4895578225,13.2329962254,2.50023317337,8.80519089103
52,35.3638054212,0.00125,4.63983809153,30.9267668009,12.7424285412,2.49981117249,8.29565095901
53,35.306602637,0.00125,4.66745815277,30.9151793639,13.920238018,2.4997420311,9.41138920188
54,35.0657054583,0.00125,4.63051884969,30.6228509029,13.7774848938,2.49966907501,9.35808035731
55,34.8693040212,0.00125,4.62298990885,30.4309333444,13.5616512299,2.50030326843,9.25630235672
56,35.3376240095,0.00125,4.63930778503,30.9183580041,12.9090394974,2.50039577484,8.4774158597
57,33.6126901786,0.000625,4.61564044952,30.5154979308,11.4079400301,2.50009155273,8.75067394972
