epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,80.0623631795,0.01,8.01777102153,79.2712432543,22.8659079075,4.07540035248,22.8588879108
1,34.9572641621,0.01,5.11612358093,34.8547288862,7.37517654896,2.5,7.27563285828
2,33.9594354292,0.01,4.87002944946,33.8219495783,7.12719166279,2.5,6.96628367901
3,34.2582089702,0.01,4.89066193899,34.0871213863,10.4645025283,2.5,10.310591124
4,34.4039868673,0.01,4.93431854248,34.2323671023,10.830943346,2.5,10.6678281203
5,33.8936695337,0.01,4.85047499339,33.7240108108,7.81441026926,2.5,7.64950168133
6,34.6077552736,0.01,4.82589880625,34.4380028807,8.71651023626,2.5,8.5494555831
7,34.5304271777,0.01,4.88106486003,34.3606764019,8.03434360027,2.5,7.86568337679
8,32.312383769,0.01,4.65569286346,32.1424947212,14.2258567065,2.79397773743,14.0563111268
9,32.8034338967,0.005,4.77232081095,32.7921307723,10.1728382558,2.5,10.1728382111
10,32.1981535465,0.005,4.66399453481,32.1981527756,8.97328025103,2.5,8.97326365113
11,32.2464720896,0.005,4.70379600525,32.1864793109,9.2166133523,2.5,9.2161090672
12,32.4085105737,0.005,4.73952484131,32.3668560783,9.12381929159,2.5,9.11049723625
13,31.9886382222,0.005,4.72864252726,31.9496253451,7.97939145565,2.5,7.95456427336
14,31.3460807244,0.0025,4.65775082906,31.3444240014,7.95178407431,2.5,7.95178407431
15,31.4298095306,0.0025,4.71912651062,31.4298071067,8.07309663296,2.5,8.07265561819
16,31.2347681781,0.0025,4.67270170848,31.2200629532,8.6889373064,2.5,8.6884804666
17,31.3267741203,0.0025,4.71180470785,31.316142869,8.60121431947,2.5,8.59724742174
18,31.3852220694,0.0025,4.68016815186,31.3750689348,8.70224639773,2.5,8.69480794668
19,30.8074531436,0.00125,4.6369082133,30.8069562157,8.7757563293,2.5,8.7757563293
20,30.8584633589,0.00125,4.65244814555,30.8584557295,8.86255478859,2.5,8.86101853848
21,30.7691426118,0.00125,4.64418443044,30.7655263662,8.70663231611,2.5,8.70612409711
22,30.8542422334,0.00125,4.64300435384,30.8514815251,8.77811491489,2.5,8.77638727427
