epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,166.916107941,0.01,8.84890624682,103.083552227,70.9529724121,6.16697216034,44.2815470695
1,57.2997686386,0.01,5.42939275106,39.958270218,17.6745557785,2.5,6.3452501297
2,41.3611918132,0.01,4.64448833466,32.6703815778,14.7804064751,2.5,8.3686208725
3,37.1529303551,0.01,4.68108730316,31.0921741406,18.6106925011,2.52012252808,12.6010172774
4,43.762634182,0.01,5.15299269358,38.2400922298,13.0673215389,2.5,7.4485976696
5,38.2388015429,0.01,4.80122769674,32.9270040154,17.7295002937,2.5,12.3700531574
6,36.4584952037,0.01,4.78870207469,31.1494443536,13.6902225018,2.5,8.41291999817
7,39.1972743352,0.01,4.89707673391,33.9029271444,11.7686953545,2.5,6.44700503349
8,39.1840711912,0.01,4.86493492126,33.8515207695,17.9059035778,2.50106620789,12.5053325615
9,39.1917901675,0.01,4.79674091339,33.8750727574,12.0736641884,2.5,6.7464735508
10,36.6803864479,0.01,4.66046047211,31.371334363,16.8858833313,2.5,11.6524587134
11,38.0630901019,0.01,4.77998078664,32.7373554243,15.1862411499,2.5,9.82783894241
12,37.3945947647,0.01,4.76999664307,32.0775534769,12.1631650925,2.5,6.71787822247
13,38.4513182322,0.01,4.6721476237,33.1480122844,16.3125917912,2.5,10.8856838159
14,34.7057724953,0.005,4.63372173309,31.0089597632,12.3729697466,2.5,9.38460966945
15,33.1387443384,0.005,4.62612743378,30.5723911285,11.01628232,2.5,8.60406753421
16,33.6129696687,0.005,4.67237167358,31.25179166,10.8682510853,2.5,8.64236229658
17,33.1897386074,0.005,4.66234982808,30.8636324008,10.6830992699,2.5,8.5749347508
18,34.4649041971,0.005,4.75408744812,32.2549469252,9.65007591248,2.5,7.41193199158
19,33.5324906031,0.005,4.63997160594,31.3050793986,11.9220385551,2.5,9.64260573685
20,34.5884318829,0.005,4.78576176961,32.3574152892,13.2754178047,2.5,10.9546502605
21,33.2717445691,0.005,4.57376200358,31.0610450884,9.54611539841,2.5,7.34550392628
22,33.8584915479,0.005,4.63439305623,31.6242818321,9.21340060234,2.5,6.98820102215
23,37.8396268368,0.005,4.99724127452,35.5939915319,14.1793072224,2.5,11.9521777024
24,33.5820275625,0.005,4.71471710205,31.3744224389,10.9448331594,2.5,8.63384112716
25,33.345599699,0.005,4.67232424418,31.1177172144,11.0312043428,2.5,8.9473580718
26,33.0031165123,0.005,4.6352156957,30.7677108725,11.3607652187,2.5,9.1737088263
27,33.2704373201,0.005,4.64813594818,31.0687382579,11.402533412,2.5,9.15944170952
28,34.0583306313,0.005,4.70633144379,31.8357048512,10.153352499,2.5,7.83763414621
29,34.644387277,0.0025,4.69808820089,33.0474214272,7.87977671623,2.5,6.59471893311
30,32.3074842691,0.0025,4.57395826976,31.07893338,10.0160347223,2.5,8.75767427683
31,32.1123840332,0.0025,4.64097226461,30.9671058377,10.9947633743,2.5,9.90149524808
32,32.1651147525,0.0025,4.66336580912,31.0522767027,10.9881999493,2.5,9.90947072208
33,32.0565069437,0.0025,4.66365674337,30.9531991005,10.5264801383,2.5,9.38921141624
34,31.9377144178,0.0025,4.67350082397,30.8282541911,9.05976200104,2.5,7.91163057089
35,32.7877125661,0.0025,4.71813894908,31.6711584171,10.7693581581,2.5,9.67308348417
36,31.4694983006,0.00125,4.62704264323,30.6777944922,9.84318584204,2.5,9.19411417842
37,31.0129665772,0.00125,4.61625563304,30.3901757558,9.60290038586,2.5,8.97551098466
38,31.0469373067,0.00125,4.61058349609,30.4566574494,9.31176453829,2.5,8.73145961761
39,31.264028732,0.00125,4.62445672353,30.692350781,9.55481928587,2.5,8.96324753761
40,31.3294183334,0.00125,4.61945972443,30.7536569079,8.7959100008,2.5,8.24041843414
41,30.957298255,0.000625,4.59615681966,30.5636683186,8.43570059538,2.5,8.11210244894
42,30.7407871803,0.000625,4.59900239309,30.4239231348,8.7500693202,2.5,8.43964493275
43,30.8179673751,0.000625,4.6078540802,30.5246710618,8.54130840302,2.5,8.25611591339
44,30.8459786812,0.000625,4.62119013468,30.5597926537,9.02271711826,2.5,8.72253459692
45,30.7332539558,0.000625,4.61400814056,30.4498539289,8.91189467907,2.5,8.62967523932
46,30.5542738676,0.0003125,4.6055059433,30.3533139586,8.8734357357,2.5,8.70266106725
47,30.5921181917,0.0003125,4.61090164185,30.428631254,8.95121854544,2.5,8.79169878364
48,30.5192675749,0.0003125,4.60320110321,30.3735609889,8.80797404051,2.5,8.66782695055
49,30.5400427103,0.0003125,4.61171709696,30.3982867678,8.91035944223,2.5,8.76253086329
