epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,140.144343416,0.01,10.4061176101,138.256153287,129.144733429,11.0658888817,128.703933716
1,98.9897110403,0.01,8.42891210715,98.7065008637,70.3072710037,7.99824547768,70.2219276428
2,54.4929253906,0.01,6.34141101837,54.434467535,21.9522988796,3.95927715302,21.9258747101
3,25.1459370573,0.01,4.13498175939,25.1319006681,7.69346880913,2.5,7.68727278709
4,36.3435223103,0.01,4.89333883921,36.3404222051,6.40134239197,2.5,6.40023231506
5,26.0046554724,0.01,4.44673900604,26.0039988041,7.69668287039,2.5,7.69641774893
6,42.0145457188,0.01,5.53414847056,42.0144067128,9.65653812885,2.5,9.65648637712
7,32.011790359,0.01,4.47323490779,32.0117615491,11.2702601403,2.5,11.2702483311
8,35.60046405,0.01,4.89264659882,35.6004589697,8.89307031035,2.5,8.89306810498
9,41.4034928689,0.01,5.36206277212,41.4034924162,10.3420421928,2.5,10.3420419246
10,24.2195429405,0.01,4.16535523733,24.2195428848,9.57214297354,2.5,9.57214292884
11,38.6041098237,0.005,5.38853448232,38.6041098158,9.34393244982,2.5,9.34393244982
12,35.823569864,0.005,4.90310777028,35.823569864,10.322130166,2.5,10.322130166
13,33.2225185278,0.005,4.62574087779,33.2225185276,9.37007600069,2.5,9.37007600069
14,36.3471422816,0.005,4.84738864899,36.3471422816,9.24698466063,2.5,9.24698466063
15,44.0823139668,0.005,5.81400413513,44.0823139668,11.3032388426,2.5,11.3032388426
16,32.6788928976,0.0025,4.92493000031,32.6788928976,12.1164349066,2.5,12.1164349066
17,34.0664909522,0.0025,4.63430541356,34.0664909522,12.5295890024,2.50591087341,12.5295890024
18,41.0224326452,0.0025,5.32007274628,41.0224326452,12.2153784889,2.5,12.2153784889
19,35.0790243973,0.0025,4.70141248703,35.0790243973,12.0550982673,2.5,12.0550982673
20,36.8499394874,0.0025,5.20356095632,36.8499394874,11.2533736676,2.5,11.2533736676
21,41.6008479138,0.00125,5.20797481537,41.6008479138,11.7781461012,2.5,11.7781461012
22,43.1367632641,0.00125,5.25253353119,43.1367632641,11.9365567686,2.5,11.9365567686
23,26.9399305428,0.00125,4.0253862381,26.9399305428,11.5363029651,2.5,11.5363029651
24,33.4505824765,0.00125,4.95230356852,33.4505824765,11.6474629845,2.5,11.6474629845
