epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,369.301924133,0.01,10.1954181592,170.268808623,181.287185669,9.25090765953,91.8292922974
1,169.181469472,0.01,7.53675870895,103.502758762,67.3968715668,3.58662319183,19.113865912
2,108.404101308,0.01,6.45622584025,66.6143251759,43.6322937012,2.5,7.73691385984
3,110.647594961,0.01,7.55320688883,74.825469017,44.2834529877,2.5,8.37807869911
4,108.274674225,0.01,7.63786341349,73.9548857689,43.0645465851,2.5,6.53116679192
5,102.033337911,0.01,7.23138510386,68.2193961461,42.0896911621,2.5,7.81981110573
6,103.084766388,0.01,6.97799975077,69.0427249432,44.0958061218,2.5,9.8932480514
7,103.074289703,0.01,6.98432998657,69.2768076261,43.3895683289,2.5,9.27516058087
8,104.354241689,0.01,6.90211022695,70.6979647319,43.8767166138,2.5,9.00201931596
9,105.050213877,0.01,7.32078323364,71.2584659894,39.9061222076,2.5,6.89342594147
10,102.415567017,0.01,7.16495024363,68.951499939,42.5039901733,2.5,8.82162600756
11,102.650161743,0.01,7.05978520711,69.0083572865,42.6822566986,2.5,8.9261982739
12,103.750446574,0.01,6.85735085805,70.1867122889,46.6792678833,2.5,10.7876928821
13,103.370113373,0.01,6.87957159678,69.8100048224,43.9011211395,2.5,9.3165769279
14,103.748088582,0.01,7.1292485555,70.2975810687,40.1733837128,2.5,6.67734229565
15,103.722752889,0.01,7.25386632284,70.2086456935,41.0504074097,2.5,8.35613524914
16,92.1835781097,0.005,6.96742909749,69.8572431246,26.8386678696,2.5,9.0660212636
17,85.29083697,0.005,7.09540500641,69.0970653216,23.6976661682,2.5,7.81139171124
18,84.6605105082,0.005,7.03989454905,69.6791241805,23.2397480011,2.5,8.66268098354
19,83.5558778127,0.005,7.08160572052,68.9164672852,21.1914548874,2.5,7.5126464963
20,83.4156480153,0.005,7.12920385997,69.2323555946,22.1073112488,2.5,7.72053706646
21,83.4565723419,0.005,7.1251054128,69.1623069127,23.3872542381,2.5,8.71931478381
22,83.5885397593,0.005,7.01971492767,69.253783687,24.0242729187,2.5,9.44851005077
23,83.997332255,0.005,7.07604084015,69.7693693797,22.2155203819,2.5,7.85416817665
24,83.486868159,0.005,7.18341236115,69.2555447261,21.9180765152,2.5,7.5162152648
25,84.2839752197,0.005,7.02904421488,69.9029290199,23.9315924644,2.5,9.79688647389
26,79.1441368103,0.0025,6.9697980245,69.0324320475,17.25030756,2.5,8.64359503984
27,78.8807426453,0.0025,6.99096743266,70.7853370349,18.221385479,2.5,10.1466987282
28,77.3350365957,0.0025,7.07463442485,69.8533126672,15.6851067543,2.5,8.08029079437
29,76.0710414251,0.0025,7.12038358053,68.8260970434,15.3335661888,2.5,8.0151091814
30,75.9665924708,0.0025,7.07021064758,68.7409059207,16.3753023148,2.5,8.80888697505
31,75.8436749776,0.0025,6.97555796305,68.5852276325,15.8313410282,2.5,8.7807058394
32,75.8608176549,0.0025,7.01721916199,68.5689598242,15.618288517,2.5,8.54905670881
33,75.9927714666,0.0025,6.97259902954,68.7445936203,16.3961725235,2.5,9.03039863706
34,75.7813233058,0.0025,6.94554754893,68.5796225707,16.3863005638,2.5,8.77723315358
35,76.2126586278,0.0025,7.09288908641,68.9508021037,15.5001282692,2.5,7.97768682241
36,73.6948327382,0.00125,7.06293430328,68.4570534388,12.5185596943,2.5,8.06169217825
37,72.5464487712,0.00125,7.04665152232,68.4961113294,12.3412730694,2.5,8.24271976948
38,72.1004360835,0.00125,7.0288433075,68.3465629578,11.9543993473,2.5,8.27254486084
39,71.9391655922,0.00125,7.03008537292,68.3281773567,12.0427012444,2.5,8.32203882933
40,71.9693181356,0.00125,7.04391237895,68.3763852437,11.6270124912,2.5,8.0128698945
41,72.1112014771,0.00125,7.09427852631,68.5039641062,11.4914374352,2.5,7.82876878977
42,72.0023906072,0.00125,7.08708648682,68.3803631783,11.6171708107,2.5,7.95318776369
43,71.9501630147,0.00125,7.05946019491,68.3568353335,11.8536102772,2.5,8.08147031069
44,72.0838539124,0.00125,7.08189665476,68.5063117345,11.7836737633,2.5,8.10520911217
45,73.0563545863,0.00125,7.04386622111,69.4271004836,12.6401181221,2.5,8.88287568092
46,71.7714087486,0.00125,6.97799968719,68.208515962,12.3497076035,2.5,8.54093143344
47,72.0078671773,0.00125,7.0210032781,68.3768063863,11.9083867073,2.5,8.35129368305
48,71.1015634219,0.000625,7.01719576518,68.6282454491,10.6900604963,2.5,8.62817546725
49,70.3836232185,0.000625,6.99558245341,68.4456069469,10.6285191774,2.5,8.68677422404
50,70.0716233889,0.000625,7.00413265228,68.2869904995,10.0703997612,2.5,8.29846745729
51,70.1781622251,0.000625,7.05046183268,68.4264473279,9.83881616592,2.5,8.10109114647
52,70.1511686007,0.000625,7.03784948985,68.4246030172,10.1768834591,2.5,8.40399760008
53,70.1990147909,0.000625,7.03544127146,68.4559717178,10.1594245434,2.5,8.38152217865
54,69.9914138476,0.000625,7.01593958537,68.2642741521,10.1254941225,2.5,8.37171465158
55,69.9966773669,0.000625,7.01521371206,68.2571557363,10.1221210957,2.5,8.34831428528
56,70.0705147743,0.000625,7.025695165,68.3481195768,10.1287003756,2.5,8.33280742168
57,70.0298436801,0.000625,7.02513860067,68.2826107025,10.086591363,2.5,8.30237567425
58,69.6689988772,0.0003125,7.02373720805,68.3911451022,9.53531348705,2.5,8.43519616127
59,69.2512372335,0.0003125,7.01317723592,68.2337511381,9.36872184277,2.5,8.33429932594
