epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,15226.3468068,0.332482,55.2592708906,4712.16212338,2579.22265625,50.7244606018,2579.22094727
1,9762.46342367,0.332482,83.1263577779,9732.52943929,29755.1645508,143.380355835,27970.1120605
2,23585.2485229,0.332482,111.11528511,17985.1043132,13401.6696777,107.760810852,12604.402832
3,41714.970459,0.332482,171.164211019,37360.8973958,57560.8710938,231.951812744,55057.0957031
4,21019.8298828,0.332482,113.54910024,16787.684908,10071111.0,3121.29370117,10067152.0
5,29543.5067546,0.332482,125.222191429,25288.4831042,37998082.0,6163.76831055,37993658.0
6,19061.8445313,0.332482,98.5428954442,14831.3418495,9616245.6875,2729.98809814,9611839.6875
7,21333.2323242,0.332482,90.9845938683,17134.1454873,137760504.0,11661.7636719,137756204.0
8,30872.4683268,0.332482,145.112737783,26691.8113403,280421056.0,16695.0131836,280416864.0
9,13752.819987,0.332482,74.6655569712,9579.28253123,1252938656.0,35093.0654297,1252934464.0
10,20183.7458659,0.332482,109.631282345,16011.6801212,332285464.0,17529.4575195,332281336.0
11,18245.7008138,0.332482,99.4285826365,14073.2594,406620680.0,19353.5415039,406616456.0
12,14966.0200765,0.0332482,101.621417236,14225.6913879,2548.35717773,50.4166069031,2548.08422852
13,23946.2593262,0.0332482,131.894116974,23946.2320801,971.560211182,31.0694417953,971.560211182
14,13810.8306391,0.0332482,88.6483736674,13810.8306391,763.305908203,27.5146484375,763.305908203
15,18903.5282623,0.0332482,122.123048019,18903.5282623,181.024936676,13.2202472687,181.024936676
16,7277.35620537,0.0332482,75.5552073797,7277.35620537,2274.94763184,47.6308479309,2274.94763184
17,18416.721641,0.0332482,97.358563741,18355.9076538,55.2862148285,6.95702075958,54.6508579254
18,18854.1361821,0.0332482,105.918321133,18811.477299,49.0245947838,5.29096746445,39.6116313934
19,18506.1058225,0.0332482,103.232722425,18465.9444111,133.679519653,7.96427059174,108.866250694
20,5774.08116862,0.0332482,70.1749356588,5732.68263753,26709.9589844,160.847976685,26672.5380859
21,5832.75625051,0.0332482,61.9468921661,5790.59995893,575.336776733,19.8329997063,532.583457947
22,11722.6836853,0.0332482,92.6660368601,11680.5241282,72642.8632813,263.07157135,72599.4765625
23,10556.5091044,0.0332482,83.884478569,10514.5533209,8813.4708252,85.7789020538,8770.74890137
24,12222.8602468,0.0332482,97.1566861471,12181.0514119,49711.277832,201.907375336,49669.15625
25,15386.4572428,0.0332482,100.175338173,15344.7138784,273528.03125,510.295928955,273486.210938
26,4497.81055018,0.0332482,55.7504002253,4456.08401833,1075633.34375,1036.54003906,1075591.5625
27,2950.09644979,0.0332482,42.006150945,2908.36952559,65078.9121094,254.728416443,65037.2089844
28,5806.70633189,0.0332482,61.5588756402,5764.97581766,5532811.25,2350.61901855,5532769.75
29,3971.62179769,0.0332482,52.6350105604,3929.88813165,225942.744751,348.712713242,225901.006042
30,7987.38838838,0.00332482,67.2928269704,7979.97899491,6.25996351242,2.5,6.25722837448
31,7317.95892309,0.00332482,66.9094714165,7317.95873387,9.49440008402,2.5,9.49440008402
32,4193.77654406,0.00332482,57.354399236,4193.77654406,22.4952248335,4.03053665161,22.4952248335
33,4158.58018087,0.00332482,59.0441378276,4158.58018087,22.3754438162,4.01564979553,22.3754438162
34,7697.72138723,0.00332482,73.5107398987,7697.72138723,76.0466461182,8.35443878174,76.0466461182
35,8174.05771469,0.00332482,65.2761260668,8173.4500114,26.785251379,4.53087830544,26.7788817883
36,4266.41317225,0.00332482,48.8051531792,4265.98644384,9.17949038744,2.50970554352,9.08529606462
37,2780.94759693,0.00332482,39.5406990687,2780.54609108,48.5147981644,6.42569112778,48.2666249275
38,11645.0108564,0.00332482,85.2258384705,11644.596196,115.679616928,10.2261199951,115.305427551
39,9387.0145874,0.00332482,87.7596246084,9386.5936849,239.863136292,15.0967388153,239.435653687
40,8311.70354004,0.00332482,72.4953240712,8311.28190816,464.292282104,20.8804111481,463.858390808
41,9308.87473907,0.00332482,76.8183381399,9308.4555994,576.719848633,23.6547288895,576.292694092
42,5430.72444458,0.000332482,60.0814722697,5430.6487559,12.5882130392,2.51757526398,12.5881852601
43,6327.94249166,0.000332482,66.316848437,6327.94249166,11.4060930964,2.5,11.4060930964
44,7101.47854818,0.000332482,76.7849487305,7101.47854818,12.3075134432,2.5,12.3075134432
45,6544.01185878,0.000332482,71.3741069158,6544.01185878,10.6752390042,2.5,10.6752390042
46,4672.70990423,0.000332482,47.5258405685,4672.70990423,10.9403390065,2.5,10.9403390065
47,8947.96691844,0.000332482,78.8500205994,8947.96107127,10.3753198385,2.5,10.3752600998
48,10078.9986226,0.000332482,86.3160338084,10078.9945313,7.20052206516,2.50000047684,7.19960653782
49,14172.0964722,0.000332482,99.5050145467,14172.0931478,7.09317088127,2.50000715256,7.09075725079
