epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,174.567689897,0.01,10.4328858693,174.273051708,126.913078308,10.9801578522,126.813869476
1,136.356705976,0.01,8.99674297969,136.305803609,71.9441051483,8.10411643982,71.9267044067
2,99.5143138528,0.01,7.4007244428,99.5040956855,27.9706127644,4.6601319313,27.9668302536
3,80.2570345399,0.01,6.61653178533,80.2547727863,14.6712002903,2.9017906189,14.6703889892
4,64.9227050227,0.01,6.4347278595,64.922223384,9.43543854356,2.5,9.43524694443
5,71.6306790849,0.01,7.03889573415,71.6305759378,6.93654680252,2.5,6.93650352955
6,65.3718833288,0.01,7.04908517202,65.3718627135,6.64418411255,2.5,6.64417469501
7,78.5040530821,0.01,7.53433189392,78.5040512611,8.09758865833,2.5,8.09758663177
8,72.9356072028,0.01,7.23589693705,72.9356069803,10.6662245616,2.5,10.666224353
9,80.3583249251,0.01,7.26640841166,80.3583249092,10.4014658034,2.5,10.4014657587
10,80.8679958145,0.01,7.33241313299,80.8679958145,12.553639499,2.5107049942,12.5536394899
11,82.2777683536,0.01,7.5932413737,82.2777683536,12.2172231545,2.5,12.2172231525
12,63.2085391402,0.01,6.47061510086,63.2085391402,7.52334415913,2.5,7.52334415913
13,69.2985326767,0.005,7.13846581777,69.2985326767,7.8358707428,2.5,7.8358707428
14,59.0056419889,0.005,6.25150836309,59.0056419889,7.5485227108,2.5,7.5485227108
15,67.4578914185,0.005,7.0269323349,67.4578914185,7.51473039389,2.5,7.51473039389
16,70.4670359189,0.005,7.15587170919,70.4670359189,7.15084767342,2.5,7.15084767342
17,72.8463276962,0.005,7.32921962738,72.8463276962,7.64076042175,2.5,7.64076042175
18,75.073521386,0.0025,7.19406277339,75.073521386,7.56520938873,2.5,7.56520938873
19,61.7883764277,0.0025,6.48173904419,61.7883764277,7.780849576,2.5,7.780849576
20,65.9452544212,0.0025,6.87187455495,65.9452544212,7.81106752157,2.5,7.81106752157
21,71.7084254662,0.0025,6.98181056976,71.7084254662,7.66680514812,2.5,7.66680514812
22,85.7479973157,0.0025,7.99410190582,85.7479973157,8.40239131451,2.5,8.40239131451
23,63.9557166045,0.00125,6.62705841064,63.9557166045,8.13686358929,2.5,8.13686358929
24,67.3077594201,0.00125,6.83421681722,67.3077594201,8.56731519103,2.5,8.56731519103
25,71.8194790045,0.00125,7.25224088033,71.8194790045,8.5769791007,2.5,8.5769791007
26,67.9497836292,0.00125,6.86774524053,67.9497836292,8.46962749958,2.5,8.46962749958
