epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,139.997630342,0.01,10.4512464325,139.735345211,128.19355011,11.0387582779,128.104183197
1,100.170457904,0.01,9.02765248617,100.125005595,68.6979532242,7.90157222748,68.6848430634
2,61.6828635911,0.01,6.7463259697,61.6736491246,22.5917776823,4.04210662842,22.5886263847
3,38.0079822809,0.01,5.29117361705,38.006020995,8.74148473144,2.5,8.74070733786
4,26.3048460707,0.01,4.23789265951,26.3044106863,6.93970966339,2.5,6.93953025341
5,29.8855314881,0.01,4.59328638713,29.8854368061,8.94589516521,2.5,8.9458578825
6,27.9900815785,0.01,4.51939576467,27.9900627474,8.29412347078,2.5,8.29411524534
7,43.9841351668,0.01,5.61424929301,43.9841326714,10.4790148363,2.5,10.4790140018
8,38.752622961,0.01,5.17734826406,38.7526226491,11.4609573726,2.5,11.4609571956
9,34.1453756571,0.01,4.87956320445,34.1453756342,7.0886040926,2.5,7.0886040926
10,30.8800415158,0.01,4.33303565979,30.8800415158,7.35248839855,2.5,7.35248839855
11,24.2595885277,0.005,4.10803585052,24.2595885277,7.85592532158,2.5,7.85592532158
12,34.0094511628,0.005,4.76870263418,34.0094511628,9.53082895279,2.5,9.53082895279
13,37.7020795648,0.005,5.01294689178,37.7020795648,9.35052156448,2.5,9.35052156448
14,32.807916713,0.005,4.87417647044,32.807916713,9.53980432451,2.5,9.53980432451
15,33.3702268224,0.005,4.51644287109,33.3702268224,10.075198397,2.5,10.075198397
16,41.8318244763,0.0025,5.30338567098,41.8318244763,9.85157079995,2.5,9.85157079995
17,32.3236264477,0.0025,4.89927778244,32.3236264477,9.59988088906,2.5,9.59988088906
18,28.6848142534,0.0025,4.35948683421,28.6848142534,8.99969768524,2.5,8.99969768524
19,36.2903347452,0.0025,5.07630723317,36.2903347452,8.48854750395,2.5,8.48854750395
20,31.2588184824,0.0025,4.64244308472,31.2588184824,8.41212069988,2.5,8.41212069988
21,23.6842581503,0.00125,3.69725017548,23.6842581503,8.24819195271,2.5,8.24819195271
22,31.6130626827,0.00125,4.44198417664,31.6130626827,8.39026367664,2.5,8.39026367664
23,36.5786493262,0.00125,5.03892192841,36.5786493262,8.12686556578,2.5,8.12686556578
24,38.1515452266,0.00125,5.02274335225,38.1515452266,8.14091873169,2.5,8.14091873169
