epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,385.264388021,0.01,9.61549804211,121.79481743,198.765312195,8.73407459259,82.5340576172
1,128.872264608,0.01,5.67827971776,44.3164092104,68.3025932312,2.5,8.2160141468
2,84.0381874084,0.01,4.59085191091,32.1443358918,49.9318199158,2.5,6.25111532211
3,75.6199353536,0.01,4.54520645142,32.1903097327,52.8410644531,2.5,9.45319852233
4,74.3691876729,0.01,4.82704944611,32.9194934567,52.984500885,2.5,9.04735991359
5,71.6505078634,0.01,4.65922838847,31.0551341573,50.9042797089,2.5,9.46349593997
6,72.0063456217,0.01,4.68116874695,30.9983874977,51.379901886,2.5,10.4028807431
7,74.0769927979,0.01,4.82714055379,33.6028310532,49.0332870483,2.5,8.05387794971
8,70.8785764058,0.01,4.60092525482,30.4340229392,52.7316513062,2.5,10.8787825964
9,73.9430928548,0.01,4.87179215749,33.4362968172,51.4414215088,2.5,11.8816542588
10,74.3735318502,0.01,4.8038869222,34.2110561455,47.5114078522,2.5,7.24171447754
11,70.8020337423,0.01,4.61906115214,30.4845151186,49.6233520508,2.5,9.03039863706
12,71.5222229004,0.01,4.67887999217,31.2320118904,53.2640094757,2.5,10.0751347393
13,71.8377367655,0.01,4.70114885966,31.646445326,49.6453418732,2.5,8.053358078
14,71.2666058858,0.01,4.71317278544,31.1044512431,50.6045150757,2.5,10.454385221
15,71.412743632,0.01,4.68523159027,31.2738884111,47.5583667755,2.5,8.49387854338
16,74.1332298279,0.01,5.01426595052,34.2056878169,49.4261722565,2.5,8.87771907449
17,58.2360061646,0.005,4.63608385722,31.0370409985,27.3429021835,2.5,7.71115416288
18,50.5685860952,0.005,4.58532104492,30.9610291163,28.8817157745,2.5,8.95449203253
19,49.1446126302,0.005,4.67476062775,31.4122421046,27.1040258408,2.5,9.55028443038
20,48.3852244059,0.005,4.6515358607,30.5724784633,25.4486865997,2.5,8.64142405987
21,49.2035420736,0.005,4.66798038483,32.0472712835,25.3076839447,2.5,7.92964452505
22,49.1769692739,0.005,4.71347452799,31.7411887586,28.2362756729,2.5,10.4635387212
23,48.4407604218,0.005,4.67122109731,31.233849135,26.607298851,2.5,9.88716775179
24,47.6556343079,0.005,4.62905871073,30.3421266913,25.3300218582,2.5,7.9529659152
25,48.3049962362,0.005,4.60630989075,31.0233135521,25.4855442047,2.5,7.73241496086
26,48.1784469604,0.005,4.6269197464,30.7222294013,25.7369556427,2.5,8.11746788025
27,48.1242649078,0.005,4.63067690531,31.0039869448,25.7092494965,2.5,7.93712800741
28,43.4001384735,0.0025,4.61836153666,30.7487977823,20.4529485703,2.5,9.29399651289
29,40.9132721583,0.0025,4.64474614461,30.7530538082,19.9917526245,2.5,9.76850432158
30,39.7105589549,0.0025,4.62769972483,30.4553950568,18.8247890472,2.5,9.43132072687
31,39.3696549098,0.0025,4.6285469691,30.4519556443,17.5845541954,2.5,8.62821897864
32,39.3661510468,0.0025,4.61462408702,30.5441893458,17.227786541,2.5,8.24348175526
33,39.8543640137,0.0025,4.65555699666,30.9524221102,17.85831213,2.5,9.00767397881
34,39.5002094905,0.0025,4.64023679097,30.6407353163,17.637652874,2.5,8.54541680217
35,39.6188550949,0.0025,4.63214861552,30.7953830004,17.1452460289,2.5,8.16060656309
36,39.6399227778,0.0025,4.63504918416,30.7940252066,18.3064770699,2.5,9.12662678957
37,39.4728649775,0.0025,4.62063980103,30.5646987041,17.7711110115,2.5,8.60117942095
38,39.5596256892,0.0025,4.63486455282,30.784065338,17.6096739769,2.5,8.22220790386
39,39.9107592265,0.0025,4.6526614507,31.0117002805,17.921836853,2.5,9.1035143137
40,39.5912183126,0.0025,4.64594491323,30.7438136339,17.3855757713,2.5,8.45269274712
41,39.6658524195,0.0025,4.6385916392,30.8352438688,17.9845924377,2.5,9.08654069901
42,36.7208740552,0.00125,4.62153027852,30.4470399102,14.6042809486,2.5,9.10345575213
43,35.4205405235,0.00125,4.62000980377,30.4953077435,13.7712659836,2.5,8.7259311974
44,35.2784636497,0.00125,4.62751897176,30.7063588381,13.1121916771,2.5,8.5476885736
45,34.7678272883,0.00125,4.60506089528,30.3841062864,13.2799372673,2.5,8.73411646485
46,35.076002725,0.00125,4.62323436737,30.6873222232,13.734405756,2.5,9.23043221235
47,34.8657967567,0.00125,4.62681878408,30.4768937866,13.4122867584,2.5,8.92522516847
48,35.0017951012,0.00125,4.63198038737,30.5945937435,13.5348067284,2.5,9.08072915673
49,34.8412089666,0.00125,4.61519838969,30.4763886412,13.1108586788,2.5,8.6525541544
50,34.8556763649,0.00125,4.60596822103,30.4638186971,13.1284537315,2.5,8.53837111592
51,35.1226795514,0.00125,4.623985672,30.732534647,12.7698657513,2.5,8.17052733898
52,34.8676671664,0.00125,4.61761964162,30.4863434911,13.1935770512,2.5,8.6547896564
53,35.0418610573,0.00125,4.63166071574,30.6389068643,13.498439312,2.5,9.14465376735
54,34.8713550568,0.00125,4.61490434011,30.505599765,13.3602986336,2.5,8.9190364778
55,34.8203263283,0.00125,4.61414254506,30.4299025973,13.1795089245,2.5,8.68186727166
56,34.7696681976,0.00125,4.60886796316,30.3946944316,13.1041088104,2.5,8.64454221725
57,34.9000153542,0.00125,4.61863466899,30.5066260537,13.0112974644,2.5,8.63635587692
58,33.4235059738,0.000625,4.60411701202,30.3505971034,11.3521276712,2.5,8.66131874919
59,32.9487329165,0.000625,4.63020172119,30.540996933,11.3906373978,2.5,8.91286021471
