epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,380.646376546,0.01,10.5211053491,179.723077953,219.042434692,11.1115789413,129.717189789
1,205.567788951,0.01,8.85766239166,140.591988935,126.825004578,8.59741973877,80.1656265259
2,143.569253794,0.01,7.39299136798,103.238233591,63.9430122375,4.82930231094,29.5721614361
3,110.52119929,0.01,6.34380696615,76.7407994674,49.4683418274,3.09287071228,15.8158492744
4,103.844666163,0.01,6.87822532654,71.7310936371,40.5236053467,2.5,6.52221035957
5,114.146758779,0.01,7.93126150767,82.8046203613,38.7672157288,2.5,6.95046031475
6,109.265706253,0.01,7.11876207987,77.6891588509,39.1028594971,2.5,7.90789043903
7,101.394668325,0.01,7.35820128123,70.1855921586,41.8574438095,2.5,10.3648064733
8,111.383762487,0.01,7.09643185933,80.135386111,43.0909347534,2.5,10.7042677626
9,111.844429779,0.01,7.60832691193,80.55394907,39.5456647873,2.5,8.91294467449
10,108.270584742,0.01,7.21076456706,77.2478749568,39.3670921326,2.5,8.4004355669
11,107.859990184,0.01,7.41494525274,76.7475536346,44.5105276108,2.51552009583,12.5778410788
12,94.6623256683,0.005,6.80339806875,73.7042296128,26.6306095123,2.5,9.74554391205
13,92.0778963089,0.005,7.40177027384,76.5244680017,25.152554512,2.5,9.42485314608
14,70.0698282242,0.005,5.90105441411,55.4837078909,23.7034058571,2.5,9.6466756016
15,92.722508812,0.005,7.3745165507,78.8458973875,21.9553012848,2.5,8.41822224855
16,76.9403921763,0.005,6.95449590683,63.055956618,22.0470933914,2.5,7.92798131704
17,73.0003977458,0.005,6.78109105428,59.0621022542,21.6343169212,2.5,8.02950400114
18,86.894699351,0.005,6.95659840902,73.0186861237,23.1002268791,2.5,9.12490925193
19,84.7297151566,0.005,7.02367413839,70.8880712933,23.6688895226,2.5,9.45151552558
20,88.3668883642,0.005,7.37608442307,74.5928160737,21.6773834229,2.5,7.28691756725
21,84.8762074153,0.005,6.74145151774,70.8877388358,22.2881531715,2.5,8.1013841629
22,89.3851221085,0.005,7.19142150879,75.6389132559,21.8366580009,2.5,7.92657834291
23,83.9877549489,0.005,6.73783359528,70.0132808393,21.9374313354,2.5,8.89257210493
24,79.1481261571,0.0025,6.94263006846,69.7391607106,17.4792819023,2.5,9.14337253571
25,79.7639076869,0.0025,6.95994332631,72.0822199847,16.5959944725,2.5,8.94421732426
26,64.5253016154,0.0025,6.20781399409,57.4808342675,15.4138073921,2.5,8.49709415436
27,72.7736642838,0.0025,6.78530254364,65.9100529591,14.6652107239,2.5,7.88230407238
28,73.5073025068,0.0025,6.12919206619,66.6991315735,15.0785369873,2.5,8.1090298295
29,83.9931160609,0.0025,7.26909414927,77.1511925777,15.1360025406,2.5,8.29537284374
30,81.4815290769,0.0025,7.35995019277,74.651826793,15.3396711349,2.5,8.38557320833
31,81.9273310661,0.0025,7.29904076258,75.1200138365,15.1525726318,2.5,8.27474796772
32,89.5265721639,0.0025,7.53516947428,82.7400115622,16.7701172829,2.5,9.59881593287
33,88.4528927485,0.0025,7.71519088745,81.5972226391,15.6901800632,2.5,8.73240637779
34,84.6290908178,0.00125,7.7610472997,79.7045875231,13.415055275,2.5,9.13131913543
35,79.0069283168,0.00125,7.2830915451,75.136028781,13.3804371357,2.5,9.4220905602
36,86.1949870586,0.00125,7.37377007802,82.5538007118,12.9224190712,2.5,9.27507051826
37,88.916002957,0.00125,7.79089228312,85.4465138609,12.9938135147,2.5,9.36223724484
38,71.2487147808,0.00125,6.75289700826,67.7547168668,12.9477024078,2.5,9.43333086371
39,71.2793904305,0.00125,6.61314805349,67.8045508941,12.9597845078,2.5,9.42445236444
40,60.5204339822,0.00125,6.2115190506,57.0247016013,12.6880548,2.5,9.17625936866
41,73.7729373455,0.00125,6.39923432668,70.3239901008,12.7122850418,2.5,8.99848997593
42,66.651911513,0.00125,6.54063218435,63.1584212065,12.3202497959,2.5,8.74575456977
43,66.0959221363,0.00125,6.54818477631,62.620726488,12.5027558804,2.5,8.83386921883
44,71.844762516,0.00125,6.88066234589,68.3784531335,12.5591173172,2.5,8.93547058105
45,61.9920001666,0.00125,6.53874346415,58.5070478916,12.2701644897,2.5,8.80027854443
46,94.7812134107,0.00125,8.33725407918,91.3087180058,12.4255213737,2.5,8.9551384151
47,84.5044851462,0.00125,7.19507369995,81.0179680367,12.6642050743,2.5,9.07594951987
48,81.8314919313,0.00125,7.45017388662,78.3829602102,12.9197793007,2.5,9.32444772124
49,82.3382213275,0.00125,7.44292195638,78.8508579304,13.021794796,2.5,9.42635172606
50,82.6878693263,0.00125,7.86785968145,79.2355942408,13.4701747894,2.5,9.83866643906
51,63.8913675944,0.00125,6.42300650279,60.3909898082,13.3399173021,2.5,9.86955054104
52,73.2080429395,0.000625,6.65460036596,70.7808797717,11.8686168194,2.5,9.79923298955
53,76.4087919553,0.000625,7.41630064646,74.4958640575,11.784864068,2.5,9.86537891626
54,67.5025503953,0.000625,6.94711446762,65.7416124344,11.4204571247,2.5,9.69068351388
55,70.3039581458,0.000625,6.82490685781,68.5868243933,11.2875956297,2.5,9.559584409
56,77.8583594481,0.000625,6.96363124847,76.1667246401,11.4997996092,2.5,9.76569700241
57,53.2142019033,0.000625,5.81480137507,51.5008251116,11.4088037014,2.5,9.685757339
58,73.3686340014,0.000625,7.5288450559,71.6699464719,11.3525136709,2.5,9.6356985718
59,72.5153580983,0.000625,7.19856980642,70.8107204278,11.5822350979,2.5,9.8374274075
