epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,0.1,6.68365383148,67.3692071994,nan,2.59837722778,13.0015641218
1,nan,0.1,7.9456694603,74.9463809967,nan,3.05547046661,15.5859000385
2,nan,0.1,4.7103096962,33.8405698773,nan,5.66610717773,38.3547687531
3,nan,0.1,6.5567322731,66.9156928539,nan,2.5,12.3444725884
4,nan,0.1,7.56300411224,75.4113497019,nan,2.94988441467,14.951818265
5,nan,0.1,8.90235052109,121.252885473,nan,4.289894104,24.6531909704
6,nan,0.05,7.83216391404,94.7538759674,nan,2.5,6.87182354927
7,nan,0.05,7.66440903346,102.103467652,nan,2.5,6.5037176609
8,nan,0.05,7.93140595754,81.8465375582,nan,2.55666160583,12.7865183318
9,nan,0.05,6.49774872462,65.7391324745,nan,2.5,6.26891946793
10,nan,0.05,6.51355784734,59.7685524464,nan,3.02473640442,15.3990305066
11,nan,0.025,5.71715110143,47.6869262417,nan,2.5,8.32477462292
12,nan,0.025,6.45323518117,56.3000931124,nan,2.5,7.42680084705
13,nan,0.025,6.3497268041,55.7658404042,nan,2.5,7.76992148161
14,nan,0.025,5.50897693634,48.3628392544,nan,2.5,7.07304954529
15,nan,0.025,5.38168398539,47.8983678798,nan,2.5,7.1481436491
16,nan,0.0125,4.93148128192,36.6312776168,nan,2.5,6.38004660606
17,nan,0.0125,6.30514361064,58.6770475114,nan,2.5,6.25036811829
18,nan,0.0125,4.53071419398,33.1218397462,nan,2.5,6.61097979546
19,nan,0.0125,4.68603194555,35.3903649897,nan,2.5,7.07283008099
