epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,1171.75019938,0.05,8.45458075205,108.552649681,685.835083008,2.50000143051,10.4418307245
1,647.237577311,0.05,7.53033866882,82.0012062867,449.551147461,2.5,7.07327461243
2,552.707012939,0.05,7.50629545848,75.2340340406,494.949081421,3.58133077621,19.075927794
3,543.070235189,0.05,7.15918684006,76.8073349853,436.67791748,2.5,8.35854417086
4,546.070052083,0.05,7.91374543508,92.0474230364,478.577270508,2.50000047684,7.55528569221
5,525.325986735,0.05,7.48318354289,74.9769830108,427.90586853,2.5,10.268132925
6,516.478263346,0.05,6.92960802714,67.5609080882,464.125900269,2.5,8.82931283116
7,524.768037923,0.05,7.19989026388,68.9825658838,413.087463379,2.50000047684,6.91499221325
8,526.074871826,0.05,7.55799916585,79.26400431,473.858612061,2.49999809265,12.0106387422
9,553.534613037,0.05,7.4287431399,97.1006017134,412.214248657,2.49999761581,6.68541717529
10,522.998433431,0.05,7.42270126343,78.7546360493,471.989074707,2.5,7.86670666933
11,521.481917318,0.05,7.03919324875,70.9149713079,422.596435547,2.50000047684,6.58323550224
12,519.57553304,0.05,6.91791229248,72.0994232515,480.220046997,2.50001430511,8.36982542276
13,506.648681641,0.05,6.06798909505,55.2930276672,424.326522827,2.50001382828,11.6093557719
14,560.928116862,0.05,9.76276111603,111.854346657,466.664855957,2.50009632111,11.8275407879
15,545.875280762,0.05,8.17420972188,91.5782522043,404.655303955,2.50001907349,9.70543776453
16,542.559281413,0.05,7.56058518092,101.114997154,466.433151245,2.50003004074,7.39846968651
17,535.293629964,0.05,7.35430463155,82.1937302346,415.334960938,2.49999523163,8.85572147369
18,523.154528809,0.05,7.11237980525,74.428154459,510.956481934,6.55364966393,49.2000865936
19,524.535451253,0.05,6.79399944941,74.8923961631,569.861968994,12.3623847961,159.079696655
20,536.007318115,0.05,7.99931418101,90.3894055758,696.663024902,14.9488120079,229.718215942
21,549.875693766,0.05,7.79823201497,96.7066859275,422.954391479,2.50015878677,9.3146443665
22,379.169910685,0.025,8.00025434494,96.5736246387,246.706077576,3.57214212418,19.0102010965
23,281.569794718,0.025,7.93215675354,78.1952934583,231.379745483,2.49998426437,7.91706752777
24,288.878973389,0.025,7.59657328924,86.482238694,191.884780884,2.50000905991,6.28025746346
25,273.208581543,0.025,7.15871941249,81.4898926576,189.01184845,2.4999961853,11.4856852107
26,257.829246012,0.025,6.66180534363,62.9558969339,205.339004517,2.76863861084,13.9154555947
27,285.376781209,0.025,8.14022356669,93.4612451315,212.745407104,3.92990112305,21.6940171719
28,263.890048218,0.025,6.85216999054,73.0586626176,238.990180969,5.77908039093,39.6474905014
29,256.650679525,0.025,6.51792017619,63.1786453565,210.566612244,2.50010490417,6.94702970982
30,265.04698995,0.025,7.08979492187,74.8982475122,199.018096924,2.50026321411,10.5029177442
31,263.300962321,0.025,6.56980276108,65.6853640554,225.090248108,5.05241990089,31.7747793198
32,208.66432902,0.0125,7.331742541,69.8536313375,231.78616333,10.5444145203,117.434459686
33,171.668917847,0.0125,7.18813368479,63.8096900304,170.420860291,7.1658437252,57.5994167328
34,176.534480794,0.0125,7.77007052104,76.5693746249,101.506504059,2.50002002716,6.25683069229
35,170.58850352,0.0125,7.29127000173,74.754557246,104.941246033,2.50001335144,6.78003370762
36,162.336746724,0.0125,6.59921417236,66.6750375867,432.417526245,18.2344465256,338.74571228
37,153.017903137,0.0125,6.34263070424,58.3881435235,155.770866394,7.33612895012,60.0685367584
38,158.045553589,0.0125,6.59786856969,61.6854801019,131.537628174,5.73508524895,39.1402549744
39,168.664203389,0.0125,7.06752427419,73.9457332278,225.123649597,10.8160839081,123.23941803
40,173.039111837,0.0125,7.32162688573,78.5393045028,290.943115234,13.7969207764,196.605636597
41,146.897460938,0.00625,7.16225293477,80.8635384043,67.3211174011,2.4999961853,10.2068964094
42,135.724495951,0.00625,7.92327884038,83.1510130604,60.2167320251,2.49999761581,11.67445157
43,125.516514079,0.00625,7.53361946742,79.2337540507,55.3951911926,2.49998235703,9.09818801284
44,126.347679392,0.00625,7.40094156265,80.1155741096,53.8276405334,2.49997663498,9.64720332623
45,109.204788971,0.00625,6.73481051127,64.6188924131,54.6763534546,2.49997997284,7.83394056559
46,114.639716339,0.00625,6.91755994161,69.162437439,57.2691459656,2.49996900558,10.8333107084
47,119.788762665,0.00625,7.54198122025,74.4281140566,51.8272418976,2.49997758865,6.76906645298
48,123.039031728,0.00625,7.18432038625,77.7350367044,53.4927024841,2.49995946884,9.40066292882
49,120.342452494,0.00625,7.40316530863,75.4866617759,59.1711750031,2.56160020828,12.8119793747
