epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,164.027078629,0.01,10.3439631065,135.445891329,136.2289505,11.0400495529,128.13299942
1,99.8983887513,0.01,8.4934523503,95.3154428879,69.1929502487,7.83605313301,67.6537132263
2,51.5049361547,0.01,6.02373402913,50.4966859202,20.0054915547,3.65695142746,19.6232922077
3,28.6461089849,0.01,4.56469014486,28.4301767153,9.48188832402,2.5,9.40421625972
4,30.8719736258,0.01,4.32804762522,30.8261701683,6.54620552063,2.5,6.5275144577
5,34.0065975591,0.01,4.58609676361,33.9963703978,9.36394226551,2.5,9.36010456085
6,24.0289002659,0.01,3.87855072021,24.0267249855,7.28722679615,2.5,7.2863368988
7,28.8442189693,0.01,4.58069356283,28.8437485139,7.38002586365,2.5,7.37983882427
8,35.5794599374,0.01,4.96090787252,35.5793584108,8.18944340944,2.5,8.18940377235
9,38.2906928698,0.01,5.12648849487,38.2906741142,10.3505770862,2.5,10.3505690768
10,36.428701216,0.01,4.85004119873,36.4286980972,8.9586353302,2.5,8.95863443613
11,38.3246953117,0.005,5.01953395208,38.3246949941,8.75468239188,2.5,8.75468227267
12,31.5217646892,0.005,4.32819465001,31.5217646663,8.91201353073,2.5,8.91201353073
13,32.1336941842,0.005,4.22176392873,32.1336941778,9.5002156198,2.5,9.5002156198
14,35.0999433041,0.005,4.97924156189,35.0999433041,10.0512980819,2.5,10.0512980819
15,35.4771027151,0.005,4.88838443756,35.4771027151,9.15372124314,2.5,9.15372124314
16,36.4663888415,0.0025,5.08611726761,36.4663888415,8.6384550333,2.5,8.6384550333
17,28.9144641791,0.0025,4.38905874888,28.9144641791,8.50086405873,2.5,8.50086405873
18,30.5301242709,0.0025,4.67212142944,30.5301242709,9.35972735286,2.5,9.35972735286
19,30.045187749,0.0025,4.63758958181,30.045187749,8.67950314283,2.5,8.67950314283
20,28.6340746651,0.0025,4.36609052022,28.6340746651,9.06981566548,2.5,9.06981566548
21,32.4726394256,0.00125,5.03255017598,32.4726394256,9.17585489154,2.5,9.17585489154
22,34.7332781638,0.00125,4.65670754115,34.7332781638,9.46043604612,2.5,9.46043604612
23,37.5517284791,0.00125,4.97706572215,37.5517284791,9.5823340863,2.5,9.5823340863
24,35.5466552909,0.00125,4.97235066096,35.5466552909,9.6033269316,2.5,9.6033269316
