epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,125.604712301,0.01,9.88571138382,124.823193286,100.102695465,9.68740558624,100.095825195
1,87.1124432087,0.01,8.14750353495,87.0094768206,54.5523643494,6.94289374352,54.4537734985
2,52.247441562,0.01,6.21476306915,52.1097757459,26.7794675827,4.51333212852,26.6201756001
3,31.3553387165,0.01,4.90000387828,31.18439188,9.88238802552,2.49999380112,9.7269962132
4,31.202831765,0.01,4.52893702189,31.0311487357,8.83202368021,2.50000905991,8.66912561655
5,38.5492272178,0.01,5.35103988647,38.3796451529,9.70712569356,2.50000715256,9.54202857614
6,27.3737714658,0.01,4.18551425934,27.2040424791,8.98820030689,2.49993848801,8.82107523084
7,46.2896196365,0.01,5.5383852005,46.1198702733,9.93681943417,2.49986505508,9.76813556254
8,29.1445987542,0.01,4.57278505961,28.9747108181,10.2763060629,2.49981212616,10.1067605466
9,36.1862837305,0.01,4.92761058807,36.0163327792,8.32365942001,2.49950218201,8.15375179052
10,35.2980941484,0.01,4.97632242839,35.1281301717,6.99530160427,2.49945497513,6.82529962063
11,34.3114104112,0.01,5.07502530416,34.1414534887,8.49816972017,2.4986038208,8.32817447186
12,36.7753709753,0.01,5.20642369588,36.6054214398,7.71403777599,2.49876689911,7.54406732321
13,35.0879972458,0.01,4.757807223,34.9180514722,8.15755343437,2.49663543701,7.98760020733
14,39.6701388846,0.01,5.12412694295,39.500194639,9.53799825907,2.49696350098,9.36805292964
15,35.1109379729,0.01,4.70712375641,34.9409912825,11.0795590132,2.49239730835,10.9096146636
16,32.9578168392,0.01,4.13054364522,32.7878724496,9.05581152439,2.49250602722,8.88586810231
17,31.7252690593,0.005,4.80557975769,31.7139395356,8.41293984652,2.5,8.41293984652
18,32.7268463401,0.005,4.40285250346,32.7268463401,8.61077669263,2.5,8.61077669263
19,41.7671864708,0.005,5.33994503021,41.706187884,8.20032441616,2.50000047684,8.19902992249
20,27.9464779615,0.005,4.15616251628,27.9141014031,6.34520983696,2.50332355499,6.26882767677
21,32.9697524945,0.005,4.89837360382,32.9307328463,10.8013543934,2.49623060226,10.7473288402
22,33.307848525,0.005,4.9316555659,33.2670590599,6.28473353386,2.49851083755,6.24367022514
23,45.1569280545,0.005,5.7088493983,45.1158686241,11.4424795434,2.49893951416,11.4038933888
24,32.580013749,0.005,4.49635092417,32.5384940252,6.82702052593,2.49590539932,6.78748309612
25,30.6598802129,0.005,4.5675169309,30.6179950317,17.8616864383,3.40449523926,17.8207820356
26,31.2156759739,0.005,4.82298030853,31.1735990128,12.7907602228,2.55316543579,12.7489999337
27,31.2804251328,0.005,4.46061426799,31.238280047,35.0515332222,5.36365962029,35.0094203949
28,33.3382681529,0.005,4.87117665609,33.2961130142,23.6400473118,4.16923141479,23.5978448391
29,36.0545752366,0.0025,4.79564415614,36.0517619928,8.21110999584,2.5,8.21110999584
30,47.5693182647,0.0025,5.72268263499,47.5693182647,8.60194307566,2.5,8.60194307566
31,37.2403611581,0.0025,5.0388381958,37.2254341463,8.78137725592,2.5,8.78126147389
32,35.9686447342,0.0025,5.2245587031,35.9585433046,8.93638557196,2.49967861176,8.93222025037
33,29.9248899659,0.0025,4.75344883601,29.9153794656,7.33307445049,2.495262146,7.32654368877
34,24.6531190395,0.00125,4.33553371429,24.6526831468,8.08167433739,2.5,8.08167433739
35,37.2564293702,0.00125,5.2046599706,37.2564293702,8.00600618124,2.5,8.00600618124
36,29.6231839021,0.00125,4.87335459391,29.619482247,8.29153335094,2.5,8.29150384665
37,32.8216990431,0.00125,4.98315556844,32.8191270709,7.786062181,2.5002155304,7.78521174192
38,29.9244300927,0.00125,4.48903128306,29.9220130967,9.40120330453,2.49811077118,9.39967125654
39,33.6299485286,0.000625,4.95026213328,33.6298462947,8.37553107738,2.5,8.37553107738
40,31.5431649143,0.000625,4.54779001872,31.5431649143,8.34129709005,2.5,8.34129703045
41,35.6412002231,0.000625,4.67300376892,35.6402932364,8.19105774164,2.5,8.19104075432
42,40.1637672663,0.000625,5.6712706248,40.1631137331,8.32529479265,2.49996709824,8.32507306337
