epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,452.712752279,0.01,10.0989234686,171.206295463,315.980789185,10.1714503765,109.709136963
1,302.895547485,0.01,8.32445200284,128.483477677,209.165237427,7.47451353073,62.120100975
2,258.835386149,0.01,7.19377479553,94.4628194213,218.837776184,5.33494377136,34.7087187767
3,250.846604411,0.01,6.99395977656,85.1555197392,168.658233643,4.13029623032,23.3162088394
4,248.312689209,0.01,7.22944901784,85.3927033131,203.120666504,3.79433870316,20.6499691606
5,235.25721639,0.01,6.71923007965,69.9386281888,163.62210083,3.32913064957,17.3539065421
6,243.957362874,0.01,7.22863375346,81.0313200331,198.189651489,3.23951530457,16.7581949532
7,239.084791056,0.01,7.05726747513,73.8483840731,161.608360291,2.84182071686,14.3622613698
8,231.924160767,0.01,6.44685112635,68.9388385777,191.630744934,2.50575780869,11.1612467803
9,243.775796509,0.01,7.16325085958,78.6060693781,160.055648804,2.52191305161,11.8818636108
10,223.714294434,0.01,6.4337290446,60.6708566314,191.020904541,2.518699646,11.4593404345
11,219.100894165,0.01,5.74229329427,53.9936121464,156.87122345,2.52455377579,7.82068288326
12,232.706695557,0.01,7.05648721059,69.6081135233,187.797813416,2.53104829788,9.0937974751
13,230.514813232,0.01,6.69851201375,65.4663523148,160.968551636,2.53877019882,11.0895447508
14,234.210981242,0.01,7.09943491618,71.0601671537,189.707778931,2.52004718781,11.8138022311
15,223.377126058,0.01,6.22811851501,58.3841078281,161.252655029,2.60216236115,10.5908652842
16,242.874982707,0.01,7.32655150096,79.6746822647,189.299560547,2.490711689,12.1707215592
17,228.516299438,0.01,6.51312859853,63.5755393267,159.541259766,2.70832252502,8.13977301121
18,156.375478617,0.005,7.39744847616,71.2931723277,84.0668907166,2.49660015106,8.97434487939
19,149.234031169,0.005,6.6143538475,68.1946049402,92.8312110901,2.51158905029,10.3769270405
20,152.82702535,0.005,7.15415236155,71.4056636952,90.3352775574,2.46449232101,8.81170988083
21,157.900317383,0.005,7.08590977987,76.4775637547,94.5828285217,2.67879915237,13.5838452913
22,166.893180847,0.005,7.03134333293,85.5127159278,89.3384361267,2.39925432205,7.45399898291
23,151.497220866,0.005,6.61973791122,70.0548869648,95.3005981445,2.73943567276,14.3733828994
24,156.961967468,0.005,7.18155625661,75.583680741,87.2124099731,2.24616909027,5.32108139992
25,130.450115585,0.0025,7.65134042104,87.4108981629,34.5716238022,2.50008249283,11.4263499454
26,115.600880051,0.0025,6.79462483724,76.1197970862,62.9708023071,2.44737672806,8.32109606266
27,121.428365453,0.0025,7.34685125351,79.9908059776,40.9805498123,2.56443452835,12.8800379895
28,112.168731181,0.0025,6.88501005173,72.4220316052,60.8118000031,2.44070720673,8.66396656632
29,105.155921173,0.0025,6.55613946915,63.8465804736,43.3589277267,2.72029447556,13.9483926864
30,111.421102524,0.0025,7.12390896479,71.605132062,59.2114696503,2.43370246887,7.78403919935
31,106.482506943,0.0025,6.27364114126,65.2122303779,46.7936639786,3.13379144669,16.9524091333
32,103.151766459,0.00125,7.3793115298,82.3428851709,26.6445636749,2.49999809265,11.4900287632
33,92.2355013529,0.00125,6.74230731328,72.293293108,38.5859794617,2.82449150085,14.5467492752
34,87.8847082774,0.00125,6.5183210055,67.4187092205,28.1046485901,2.4993185997,10.758212842
35,89.1641791026,0.00125,6.70886325836,69.0983718276,35.8517532349,2.62703323364,13.3549430992
36,86.8119942983,0.00125,6.52066802979,66.4376321514,28.56590271,2.48941802979,10.1420155317
37,81.8864903768,0.00125,5.9145869573,61.7607980891,34.9571895599,2.59552764893,13.2205477862
38,103.968124008,0.00125,7.3957736969,83.6384763181,28.3084774017,2.4602599144,9.35161244869
39,96.6693166733,0.000625,7.6683605512,85.9878186428,15.9633696079,2.5,11.3255163487
40,73.0114167849,0.000625,6.47975966136,63.2548550049,24.8120903969,2.45884609222,9.5845682472
41,77.9002210935,0.000625,6.71200764974,67.4575829824,16.6239669323,2.50002717972,11.3322265558
42,91.7690143903,0.000625,7.10532843272,81.9721943618,24.5128879547,2.46043777466,9.83463385701
43,77.3390183449,0.000625,6.76564331055,66.9312515918,17.3211185932,2.50026702881,11.5693435688
44,72.8692807833,0.000625,6.38593349457,63.0448976219,24.2780914307,2.44631767273,9.98839242756
45,99.0885316849,0.000625,7.2991874059,88.7053967133,17.8558118343,2.50110197067,11.777880515
46,82.9464321772,0.0003125,6.83572231929,77.8300140818,16.7861399651,2.49999046326,11.4969436694
47,69.8970103264,0.0003125,6.64751396179,64.8275553646,16.4528698921,2.50084972382,11.6991199618
48,83.4089670499,0.0003125,6.62894884745,78.3785146564,16.8215148449,2.49996471405,11.4159568325
49,76.4023790042,0.0003125,6.80550028483,71.3251744856,16.2813916206,2.50008058548,11.6332061086
50,77.287182045,0.0003125,6.79283310572,72.263502268,16.9643552303,2.49989700317,11.4624146707
51,59.3237166405,0.00015625,6.03014348348,56.6008554677,13.828461051,2.50000047684,11.4758973401
52,82.7379942576,0.00015625,7.51073443095,80.223971192,14.1695985794,2.49984693527,11.4823571127
53,76.6992949486,0.00015625,6.86183630625,74.1635216211,13.8801900148,2.50000047684,11.5067258887
54,78.0862055779,0.00015625,6.99002094269,75.5707147557,14.1879264116,2.49979400635,11.5204086117
55,82.164694643,0.00015625,7.04192784627,79.6301910284,13.9290366173,2.50000143051,11.5366855189
56,83.9435783068,0.00015625,7.32165549596,81.4268625518,14.1700330973,2.49971103668,11.5206378084
57,77.6390651067,0.00015625,7.42645304998,75.1057525237,13.991099596,2.50000715256,11.5814576708
58,73.0158052444,7.8125e-05,6.7794898351,71.677084434,12.26775828,2.5,11.5663809609
59,71.5785161018,7.8125e-05,7.05513998667,70.3533055464,13.3944371343,2.50000715256,11.5750600025
