epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,164.582368279,0.01,10.3877865314,139.46185691,138.076099396,11.0005760193,127.262672424
1,105.509364446,0.01,8.73136675358,98.9977874279,72.7494792938,7.89742875099,68.6193809509
2,48.2727204641,0.01,5.86017421087,45.0752594233,26.3985581398,4.21143245697,23.9861642122
3,40.3600309054,0.01,5.19937585195,38.1392712037,8.8849864006,2.5,6.74962067604
4,39.1206065655,0.01,5.47055040995,37.1155056596,8.93904304504,2.5,6.9436892271
5,40.9435263554,0.01,5.14518356323,39.047283989,10.4979666471,2.5,8.55448520184
6,40.2619909922,0.01,5.1037466685,38.3530663912,12.922541976,2.5,11.0528591909
7,35.0605003754,0.01,5.14501520793,33.1951083456,12.8366145492,2.5,10.9552793987
8,32.510241429,0.01,4.34042584101,30.6106281916,15.439538002,2.69587135315,13.5177227184
9,36.8181598981,0.01,4.95231316884,34.9494451486,11.177598238,2.5,9.28513118625
10,31.4305227836,0.005,4.49869073232,30.1477187286,9.82784718275,2.5,8.77902826667
11,33.0374023835,0.005,4.82521413167,32.0741792858,10.570039928,2.5,9.61255759001
12,31.3865975062,0.005,4.68920256297,30.5013812487,10.3328794241,2.5,9.45420607924
13,40.1036678155,0.005,5.22506141663,39.253265063,10.6814245582,2.5,9.82816341519
14,36.277168862,0.005,5.16666965485,35.4314947923,12.8747746646,2.5,12.0177731458
15,38.617072018,0.0025,5.16894575755,38.0181387385,12.6919395626,2.5,12.1753263706
16,30.4951077938,0.0025,4.84786475499,30.024962614,11.7573482394,2.5,11.2947918251
17,38.2477039496,0.0025,4.96609745026,37.8195198566,11.5809832215,2.5,11.1507945508
18,31.9575033069,0.0025,4.85942958196,31.5390150189,10.4769114256,2.5,10.0455328077
19,39.5883456786,0.0025,5.08500315348,39.1736428142,9.90235316753,2.5,9.4814337343
20,41.0876170437,0.00125,4.94045534134,40.7912022501,9.3307057023,2.5,9.07782241702
21,39.4615733624,0.00125,5.4056456248,39.2260814349,9.31092977524,2.5,9.07912799716
22,30.5090776821,0.00125,4.27544240952,30.295724834,9.58542868495,2.5,9.36958712339
23,31.896432507,0.00125,4.38243865967,31.6877652158,9.8126129806,2.5,9.59752462804
