epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,432.001769002,0.01,9.96617207527,171.280398742,207.137451172,9.28108310699,92.388502121
1,185.479334513,0.01,7.60768729846,101.536218913,76.5824546814,3.27583599091,16.9811021984
2,120.710887655,0.01,7.07317682902,69.0454425812,51.0384674072,2.5,7.38351726532
3,113.504154968,0.01,7.36598631541,70.3798601786,49.7276268005,2.5,6.60238063335
4,112.984120687,0.01,7.14729156494,71.9939867973,52.3737792969,2.5,9.06495273113
5,111.403966268,0.01,7.25896364848,71.4192621231,49.0461597443,2.5,8.14341145754
6,112.260655721,0.01,7.14048500061,71.9613867442,52.2003898621,2.5,12.3781570503
7,110.40353775,0.01,6.99702504476,70.5573757728,48.7437324524,2.5,8.49653071165
8,110.256439463,0.01,7.20105361938,70.4051708857,49.1238555908,2.5,7.94580000639
9,109.341090647,0.01,7.10459283193,69.4072469076,47.1348571777,2.5,7.97396081686
10,109.318557231,0.01,7.20436375936,69.7555193265,47.5868320465,2.5,8.18693447113
11,113.772826894,0.01,6.91059048971,74.0566951176,54.3185939789,2.67209720612,13.39010341
12,109.713779704,0.01,6.84827880859,69.8613343318,50.3536109924,2.5,7.9885340929
13,110.142071279,0.01,7.29296340942,70.4969079018,49.3809394836,2.5,7.79066634178
14,110.378647868,0.01,7.10968894958,70.1973092715,49.0019321442,2.5,9.84570193291
15,111.431555176,0.01,7.36747614543,71.7056316694,46.4835357666,2.5,7.44730097055
16,110.262377675,0.01,7.01826025645,70.8049137433,49.2258319855,2.5,9.03207156062
17,110.151291148,0.01,6.93649374644,70.3954331716,50.5827331543,2.5,10.8326678351
18,109.689348857,0.01,7.18379294078,70.0465346495,47.6531715393,2.5,7.07666492462
19,109.561566671,0.01,7.24399573008,69.7608504931,49.5427131653,2.5,8.2437620163
20,109.133972677,0.01,7.0678744634,69.3543632348,49.5278720856,2.5,7.93854528666
21,110.675123088,0.01,7.02191149394,70.9982014815,49.1361732483,2.5,9.15080410242
22,95.9195014954,0.005,7.07580038706,69.1070489248,30.3093261719,2.5,8.11771798134
23,88.6506868998,0.005,7.12678896586,68.9817195892,27.9122276306,2.5,7.6120864749
24,87.9241516113,0.005,7.10833244324,69.5941041311,26.1874294281,2.5,8.00489425659
25,87.5327194214,0.005,7.03133875529,69.8800959905,27.2093515396,2.5,9.87583446503
26,86.3807678223,0.005,6.9044878006,68.7359986782,26.5819330215,2.5,8.74536320567
27,87.0946023305,0.005,7.12912686666,69.4693588257,24.9524736404,2.5,7.31403148174
28,89.4498859406,0.005,7.18393103282,71.9127030055,27.0063486099,2.5,8.7506300211
29,86.6196121216,0.005,6.9611846288,69.0379019896,27.4009046555,2.5,9.37600502372
30,86.317345047,0.005,6.96193974813,68.8523888906,26.9600400925,2.5,8.81881570816
31,86.3279435476,0.005,7.02190144857,68.5103248755,26.0713729858,2.5,8.10643011332
32,86.382283783,0.005,7.14010346731,69.0082171122,25.5682640076,2.5,7.3566198349
33,88.0586786906,0.005,7.35785973867,70.3372002602,24.0678043365,2.5,7.17516505718
34,87.5952236176,0.005,7.08028964996,70.1716238022,27.4326705933,2.5,9.47264127433
35,87.8287998199,0.005,6.91798604329,70.0962242126,27.0500173569,2.5,9.31601908803
36,86.787623469,0.005,7.08615601858,69.4373470783,25.815943718,2.5,7.24839484692
37,87.7560597738,0.005,7.14658730825,69.9894924164,25.4349508286,2.5,8.34714031219
38,87.3260494232,0.005,7.00995248159,69.9365623156,28.5796356201,2.5,9.76668684185
39,93.6719839732,0.005,7.57730541229,75.9572421392,24.1531991959,2.5,6.68727314472
40,80.7781796773,0.0025,7.24997889201,68.4424232483,17.7791295052,2.5,7.21730518341
41,78.8612553914,0.0025,7.12372983297,69.1357730865,18.5306944847,2.5,8.57334363461
42,77.5887900035,0.0025,7.045515124,68.5316710472,16.9916858673,2.5,8.10203558207
43,77.3260595322,0.0025,7.02355855306,68.5758814017,17.3761849403,2.5,8.55400168896
44,77.1934375763,0.0025,7.01849397024,68.5186100324,17.1319756508,2.5,8.19495403767
45,77.9636134466,0.0025,7.03159675598,69.215702343,17.4800539017,2.5,8.65561768413
46,77.4653712591,0.0025,6.97429402669,68.7633817514,17.6988668442,2.5,8.95113989711
47,77.093483607,0.0025,6.96734695435,68.3668300311,17.5024318695,2.5,8.53241422772
48,77.6002700806,0.0025,7.05159924825,68.9709708055,16.6980147362,2.5,7.69408333302
49,77.6991778692,0.0025,7.09758141836,68.9297221502,17.334444046,2.5,8.33254319429
50,77.0674769084,0.0025,7.05009708405,68.4105560939,17.1962628365,2.5,8.09949016571
51,77.5104380925,0.0025,7.11457265218,68.77554245,16.4806537628,2.5,7.82540816069
52,78.2097037633,0.0025,7.05446306864,69.5000773271,17.8049712181,2.5,9.03272733092
53,77.0736280441,0.0025,6.96605205536,68.4069802602,17.5258836746,2.5,8.51027405262
54,77.3018294652,0.0025,7.02110271454,68.6021549543,17.1009531021,2.5,8.3148765564
55,77.4707192739,0.0025,7.01773351034,68.7757427692,17.4082660675,2.5,8.69972226024
56,78.2586132685,0.0025,6.99529724121,69.591678985,18.4598474503,2.5,9.2962294817
57,77.3958375931,0.0025,7.06429716746,68.6654506048,16.5427899361,2.5,7.75497251749
58,74.6101811091,0.00125,7.08415203094,68.4608201345,13.2241110802,2.5,8.02953988314
59,73.1662855148,0.00125,7.0614557902,68.2655592918,12.8378303051,2.5,7.93187505007
