epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,4407.48218994,0.01,8.22514959971,98.929961499,5265.15820313,5.43618226051,35.8024406433
1,3031.0896403,0.01,5.04009634654,39.2832587099,671.610931396,2.49978542328,10.6336948052
2,2617.18712565,0.01,4.92734502157,34.0965419778,4735.97314453,2.49903249741,6.84948980808
3,2864.29041748,0.01,4.83662319183,33.8852628241,734.129577637,2.49933481216,10.5852804035
4,2596.7490153,0.01,4.90935465495,34.0253387173,4615.3762207,2.49780797958,9.14272928238
5,2851.5343221,0.01,4.93531157176,34.2347268105,837.528961182,2.49869537354,7.39065670967
6,2602.0346639,0.01,4.80802046458,33.3980127841,4506.29321289,2.49480724335,6.40471196175
7,2844.98749593,0.01,4.9795583725,34.9754386644,941.0652771,2.49748897552,8.27244961262
8,1349.26999512,0.005,4.71189200083,31.9550336132,1898.0904541,2.50061798096,7.64212375879
9,1413.28623047,0.005,4.68403441111,32.3579265237,814.44644165,2.49967908859,7.68473428488
10,1341.51882324,0.005,4.74134508769,32.3132046858,1883.11120605,2.50083208084,7.78032177687
11,1412.15569255,0.005,4.69589487712,32.173433121,829.152740479,2.49896526337,7.30304861069
12,1342.64200439,0.005,4.65570106506,32.4299909696,1868.99780273,2.50045681,8.52789115906
13,782.887984212,0.0025,4.62100416819,31.4584282994,690.159515381,2.50001239777,8.63714599609
14,704.168603516,0.0025,4.68345241547,31.2695793132,671.377197266,2.49881982803,8.29754066467
15,703.132169596,0.0025,4.62275295258,31.4456762811,689.988708496,2.50039148331,8.5242613554
16,704.192732747,0.0025,4.69269841512,31.2815256953,671.505218506,2.49776935577,8.30594056845
17,702.96726888,0.0025,4.72559731801,31.2695767323,689.625274658,2.50118780136,8.28060042858
18,704.181477865,0.0025,4.70931078593,31.2781455835,671.5965271,2.49532794952,8.27343130112
19,703.181925456,0.0025,4.64846865336,31.4762412786,689.720031738,2.50368976593,8.50112116337
20,704.228662109,0.0025,4.66779047648,31.3341057897,671.92855835,2.49143123627,8.47978195548
21,388.797923787,0.00125,4.63461825053,30.8798244119,255.62046814,2.50003433228,8.68432077765
22,361.027508545,0.00125,4.65027497609,30.8404186964,433.674606323,2.49904680252,8.69304504991
23,372.868238322,0.00125,4.63957710266,30.8283405224,256.403419495,2.50038480759,8.8108074069
24,361.057278442,0.00125,4.65321992238,30.822703747,433.147674561,2.49820899963,8.80530273914
25,372.794627889,0.00125,4.65878944397,30.7964116732,257.080436707,2.50099802017,8.85261318088
26,361.125894165,0.00125,4.66445865631,30.8490833958,432.513397217,2.49666547775,8.8016422689
27,372.7431427,0.00125,4.65037708282,30.7869806051,257.5209198,2.50207138062,8.66631603241
28,204.05078125,0.000625,4.61777337392,30.6140374144,148.412010193,2.49999046326,8.59950661659
29,196.714257812,0.000625,4.61046504974,30.5397172133,204.75868988,2.50046491623,8.51274943352
30,200.485644531,0.000625,4.60760873159,30.5512995124,148.532943726,2.49999952316,8.61336654425
31,196.747200521,0.000625,4.62353108724,30.5645713369,204.800483704,2.50126218796,8.6582557857
32,200.511023966,0.000625,4.62351423899,30.5834425449,148.709403992,2.50002193451,8.6865683496
33,196.790778605,0.000625,4.62275664012,30.6012846311,204.725250244,2.50356340408,8.685569942
34,200.50655009,0.000625,4.62637106578,30.5857645114,148.780700684,2.50018453598,8.65612503886
35,118.226622009,0.0003125,4.61207122803,30.461727341,70.3046073914,2.49996232986,8.66130074859
36,112.990698751,0.0003125,4.60983066559,30.4556247393,115.063808441,2.50166082382,8.67424714565
37,115.976289368,0.0003125,4.61705131531,30.4592045784,70.3569889069,2.49987125397,8.67254522443
38,112.990851084,0.0003125,4.61396897634,30.4527846098,115.029010773,2.50268936157,8.67990788817
39,115.968515269,0.0003125,4.61253197988,30.4540708661,70.3739452362,2.49966478348,8.64901420474
40,113.006929016,0.0003125,4.61520964305,30.4661755562,114.994838715,2.50381851196,8.68610450625
41,115.948366038,0.0003125,4.61834697723,30.4366223534,70.3915290833,2.49937534332,8.62630832195
42,73.7224568685,0.00015625,4.60426006317,30.3929849108,45.3248786926,2.49997806549,8.6279129982
43,72.0532325745,0.00015625,4.6076277415,30.3945927858,55.9510936737,2.50011587143,8.62460446358
44,72.765852356,0.00015625,4.60753701528,30.3986599366,45.3255443573,2.49996042252,8.62355142832
45,72.0508847555,0.00015625,4.60626277924,30.3918446382,55.9481735229,2.50021457672,8.62659245729
46,72.7604443868,0.00015625,4.60919087728,30.3935693582,45.3302898407,2.49994421005,8.62337052822
47,72.0537373861,0.00015625,4.60916849772,30.3943648497,55.9394493103,2.50009155273,8.62277778983
48,72.7593615214,0.00015625,4.6073919932,30.3928153475,45.3340454102,2.49992799759,8.6222551167
49,52.4139243444,7.8125e-05,4.60388425191,30.3605972926,22.3939204216,2.50000143051,8.61602830887
50,50.8845283508,7.8125e-05,4.60577449799,30.3599578619,36.856470108,2.50001049042,8.62313047051
51,51.8498559952,7.8125e-05,4.60643081665,30.3616753578,22.4036531448,2.50000190735,8.62247622013
52,50.888540713,7.8125e-05,4.60515200297,30.3637399673,36.8439807892,2.50001096725,8.61390507221
53,51.8548297246,7.8125e-05,4.60367876689,30.3668671012,22.390815258,2.50000286102,8.60639670491
54,50.8835755666,7.8125e-05,4.60446923574,30.3585577329,36.8281288147,2.50000953674,8.60128560662
55,51.8511149724,7.8125e-05,4.60400066376,30.3633725166,22.3906559944,2.50000286102,8.60299873352
56,50.8858678818,7.8125e-05,4.60420856476,30.3606307348,36.8246660233,2.50003480911,8.60107126832
57,51.8485590617,7.8125e-05,4.60469926198,30.3610284845,22.3914198875,2.5000038147,8.60052636266
58,50.89158535,7.8125e-05,4.60568008423,30.3661341588,36.814332962,2.5000371933,8.59396332502
59,51.8563747406,7.8125e-05,4.60535291036,30.3690606674,22.3794250488,2.50000333786,8.58529442549
