epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,nan,1.0,128.458958403,28251.915298,nan,337.552368164,113947.847656
1,nan,1.0,283.246030172,107401.903076,nan,inf,inf
2,nan,1.0,285.280764643,141887.068409,nan,1.25381155886e+28,inf
3,nan,1.0,635.847017161,645758.476587,nan,nan,nan
4,nan,1.0,604.591710409,619041.512891,nan,1958.86413574,3837155.0
5,nan,1.0,1103.078184,1666896.18958,nan,5.11842515363e+36,inf
6,nan,1.0,759.24022522,993700.467399,nan,6.281060534e+30,inf
7,nan,1.0,1044.52490031,1360028.65625,nan,9.29117822561e+33,inf
8,nan,1.0,1278.87407633,2050877.38229,nan,1.65305692523e+33,inf
9,nan,1.0,1157.83233693,1764080.60664,nan,5.4013653222e+35,inf
10,nan,1.0,1359.83585968,2659876.60519,nan,397381024.0,1.57911671003e+17
11,nan,0.5,615.46883901,611930.816058,nan,1.12584649697e+21,inf
12,nan,0.5,766.566896057,822556.393905,nan,8.51073225471e+26,inf
13,nan,0.5,572.842504501,587618.514885,nan,5.44936889995e+27,inf
14,nan,0.5,559.792630514,435067.646615,nan,1.67394419344e+18,2.8020890443e+36
15,nan,0.5,456.364851888,301926.956315,nan,5.49656115451e+21,inf
16,nan,0.5,537.581601206,371473.123796,nan,3.48948536832e+22,inf
17,nan,0.5,356.53695933,191896.157824,nan,4.68193433662e+29,inf
18,nan,0.5,395.784794299,222777.19212,nan,2.60121876858e+28,inf
19,nan,0.5,309.07379837,155715.840158,nan,2.77680827331e+24,inf
20,nan,0.5,293.908031464,108504.28514,nan,1.19146156389e+28,inf
21,nan,0.25,291.515651321,116819.244527,nan,73674.3671875,5427912448.0
22,nan,0.25,257.795598348,105481.478831,nan,5633.54931641,31736884.0
23,nan,0.25,251.00459315,81585.723763,nan,2.03574470509e+14,4.14425673922e+28
24,nan,0.25,279.053248374,99642.2917611,nan,375203823616.0,1.40777912666e+23
25,nan,0.25,155.199069977,43842.0051595,nan,2.55291943394e+15,6.51739767372e+30
26,nan,0.25,200.592243958,63857.8671794,nan,4.80742647288e+16,2.3111348634e+33
27,nan,0.25,189.085545095,64623.7946055,nan,3.8317647368e+15,1.46824210042e+31
28,nan,0.25,139.731690343,24371.5437826,nan,529611.625,280488476672.0
29,nan,0.25,201.724525197,54685.2872396,nan,264115.71875,69757112320.0
